Gemeente;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000;;;;
Aa en Hunze;65;255,5;0;0;0;0;;;WAAR;Aa en Hunze
Aalsmeer;277;869,5;0;0;0;0;;;WAAR;Aalsmeer
Aalten;128;472;0;0;0;0;;;WAAR;Aalten
Achtkarspelen;54;193,9;0;0;0;0;;;WAAR;Achtkarspelen
Alblasserdam;227;1125,7;0;0;4;19,8;;;WAAR;Alblasserdam
Albrandswaard;297;1160,6;1;3,9;1;3,9;;;WAAR;Albrandswaard
Alkmaar;545;498;5;4,6;1;0,9;;;WAAR;Alkmaar
Almelo;563;770,1;0;0;2;2,7;;;WAAR;Almelo
Almere;1176;555;12;5,7;1;0,5;;;WAAR;Almere
Alphen aan den Rijn;973;869,5;8;7,1;3;2,7;;;WAAR;Alphen aan den Rijn
Alphen-Chaam;60;588,1;0;0;0;0;;;WAAR;Alphen-Chaam
Altena;306;546,8;1;1,8;4;7,1;;;WAAR;Altena
Ameland;13;349,8;0;0;0;0;;;WAAR;Ameland
Amersfoort;1165;740,7;7;4,5;1;0,6;;;WAAR;Amersfoort
Amstelveen;701;764,7;5;5,5;4;4,4;;;WAAR;Amstelveen
Amsterdam;8724;999,6;101;11,6;15;1,7;;;WAAR;Amsterdam
Apeldoorn;557;340;5;3,1;3;1,8;;;WAAR;Apeldoorn
Appingedam;14;120,3;2;17,2;0;0;;;WAAR;Appingedam
Arnhem;854;529,3;8;5;1;0,6;;;WAAR;Arnhem
Assen;288;419,8;2;2,9;0;0;;;WAAR;Assen
Asten;85;508,3;0;0;0;0;;;WAAR;Asten
Baarle-Nassau;39;568,6;0;0;0;0;;;WAAR;Baarle-Nassau
Baarn;183;735,9;3;12,1;0;0;;;WAAR;Baarn
Barendrecht;426;874,5;2;4,1;3;6,2;;;WAAR;Barendrecht
Barneveld;390;660,1;2;3,4;1;1,7;;;WAAR;Barneveld
Beek (L.);63;397,1;0;0;2;12,6;;;WAAR;Beek (L.)
Beekdaelen;107;297,7;0;0;2;5,6;;;WAAR;Beekdaelen
Beemster;51;508,9;0;0;0;0;;;WAAR;Beemster
Beesel;80;593,4;0;0;0;0;;;WAAR;Beesel
Berg en Dal;240;685,9;3;8,6;4;11,4;;;WAAR;Berg en Dal
Bergeijk;122;654,7;1;5,4;0;0;;;WAAR;Bergeijk
Bergen (L.);71;542,6;2;15,3;0;0;;;WAAR;Bergen (L.)
Bergen (NH.);206;690,4;1;3,4;5;16,8;;;WAAR;Bergen (NH.)
Bergen op Zoom;633;937,8;6;8,9;1;1,5;;;WAAR;Bergen op Zoom
Berkelland;248;566,9;4;9,1;0;0;;;WAAR;Berkelland
Bernheze;210;672,2;0;0;1;3,2;;;WAAR;Bernheze
Best;188;626,9;3;10;1;3,3;;;WAAR;Best
Beuningen;92;355,3;0;0;1;3,9;;;WAAR;Beuningen
Beverwijk;237;569,4;0;0;1;2,4;;;WAAR;Beverwijk
Bladel;182;892,6;1;4,9;0;0;;;WAAR;Bladel
Blaricum;57;493,9;0;0;0;0;;;WAAR;Blaricum
Bloemendaal;103;437;2;8,5;1;4,2;;;WAAR;Bloemendaal
Bodegraven-Reeuwijk;244;699,7;2;5,7;1;2,9;;;WAAR;Bodegraven-Reeuwijk
Boekel;63;584,1;0;0;0;0;;;WAAR;Boekel
Borger-Odoorn;101;395,2;2;7,8;2;7,8;;;WAAR;Borger-Odoorn
Borne;160;686,3;1;4,3;0;0;;;WAAR;Borne
Borsele;46;202,3;0;0;0;0;;;WAAR;Borsele
Boxmeer;195;664,1;0;0;0;0;;;WAAR;Boxmeer
Boxtel;200;649,3;0;0;0;0;;;WAAR;Boxtel
Breda;1362;739,9;14;7,6;9;4,9;;;WAAR;Breda
Brielle;114;660,1;2;11,6;0;0;;;WAAR;Brielle
Bronckhorst;232;643,5;0;0;0;0;;;WAAR;Bronckhorst
Brummen;58;279,8;1;4,8;0;0;;;WAAR;Brummen
Brunssum;81;291,1;2;7,2;2;7,2;;;WAAR;Brunssum
Bunnik;99;651,7;0;0;0;0;;;WAAR;Bunnik
Bunschoten;308;1408,6;4;18,3;1;4,6;;;WAAR;Bunschoten
Buren;153;572;1;3,7;0;0;;;WAAR;Buren
Capelle aan den IJssel;471;701,7;4;6;0;0;;;WAAR;Capelle aan den IJssel
Castricum;171;475,2;0;0;0;0;;;WAAR;Castricum
Coevorden;117;331,5;0;0;0;0;;;WAAR;Coevorden
Cranendonck;129;610,3;0;0;0;0;;;WAAR;Cranendonck
Cuijk;194;772;1;4;0;0;;;WAAR;Cuijk
Culemborg;193;666,6;3;10,4;1;3,5;;;WAAR;Culemborg
Dalfsen;176;615,7;0;0;0;0;;;WAAR;Dalfsen
Dantumadiel;19;100,4;0;0;0;0;;;WAAR;Dantumadiel
De Bilt;336;778,9;2;4,6;0;0;;;WAAR;De Bilt
De Fryske Marren;165;320;3;5,8;2;3,9;;;WAAR;De Fryske Marren
De Ronde Venen;301;677,1;4;9;0;0;;;WAAR;De Ronde Venen
De Wolden;96;394,6;3;12,3;0;0;;;WAAR;De Wolden
Delft;879;848,5;2;1,9;3;2,9;;;WAAR;Delft
Delfzijl;37;149,9;0;0;0;0;;;WAAR;Delfzijl
Den Helder;190;337,5;1;1,8;0;0;;;WAAR;Den Helder
Deurne;253;779,2;0;0;0;0;;;WAAR;Deurne
Deventer;464;460,7;0;0;2;2;;;WAAR;Deventer
Diemen;285;925,9;4;13;2;6,5;;;WAAR;Diemen
Dinkelland;288;1088,4;1;3,8;0;0;;;WAAR;Dinkelland
Doesburg;50;451,4;0;0;1;9;;;WAAR;Doesburg
Doetinchem;246;424,1;2;3,4;1;1,7;;;WAAR;Doetinchem
Dongen;177;675;0;0;0;0;;;WAAR;Dongen
Dordrecht;1045;876,1;0;0;4;3,4;;;WAAR;Dordrecht
Drechterland;119;603,5;1;5,1;0;0;;;WAAR;Drechterland
Drimmelen;173;634,4;0;0;0;0;;;WAAR;Drimmelen
Dronten;115;276,7;3;7,2;1;2,4;;;WAAR;Dronten
Druten;100;528,4;3;15,9;0;0;;;WAAR;Druten
Duiven;131;521,4;0;0;0;0;;;WAAR;Duiven
Echt-Susteren;78;246,8;1;3,2;1;3,2;;;WAAR;Echt-Susteren
Edam-Volendam;326;900,6;4;11,1;1;2,8;;;WAAR;Edam-Volendam
Ede;720;614,5;3;2,6;4;3,4;;;WAAR;Ede
Eemnes;59;638;0;0;0;0;;;WAAR;Eemnes
Eersel;154;797,4;2;10,4;0;0;;;WAAR;Eersel
Eijsden-Margraten;106;411,4;3;11,6;1;3,9;;;WAAR;Eijsden-Margraten
Eindhoven;1361;580,6;9;3,8;5;2,1;;;WAAR;Eindhoven
Elburg;74;319,5;0;0;0;0;;;WAAR;Elburg
Emmen;464;433,5;5;4,7;4;3,7;;;WAAR;Emmen
Enkhuizen;91;489,5;1;5,4;0;0;;;WAAR;Enkhuizen
Enschede;1320;826,9;4;2,5;7;4,4;;;WAAR;Enschede
Epe;141;425;1;3;0;0;;;WAAR;Epe
Ermelo;92;340,6;0;0;0;0;;;WAAR;Ermelo
Etten-Leur;353;804,5;3;6,8;1;2,3;;;WAAR;Etten-Leur
Geertruidenberg;137;635,9;1;4,6;0;0;;;WAAR;Geertruidenberg
Geldrop-Mierlo;265;667,1;2;5;0;0;;;WAAR;Geldrop-Mierlo
Gemert-Bakel;147;478,5;0;0;0;0;;;WAAR;Gemert-Bakel
Gennep;72;425,5;0;0;0;0;;;WAAR;Gennep
Gilze en Rijen;164;620,5;0;0;1;3,8;;;WAAR;Gilze en Rijen
Goeree-Overflakkee;268;535,5;1;2;0;0;;;WAAR;Goeree-Overflakkee
Goes;86;225,8;1;2,6;0;0;;;WAAR;Goes
Goirle;126;527,1;1;4,2;1;4,2;;;WAAR;Goirle
Gooise Meren;316;544,3;0;0;0;0;;;WAAR;Gooise Meren
Gorinchem;251;678;0;0;0;0;;;WAAR;Gorinchem
Gouda;593;807,6;8;10,9;4;5,4;;;WAAR;Gouda
Grave;97;780;2;16,1;0;0;;;WAAR;Grave
Groningen (gemeente);792;340,1;7;3;1;0,4;;;WAAR;Groningen (gemeente)
Gulpen-Wittem;66;465,7;1;7,1;0;0;;;WAAR;Gulpen-Wittem
Haaksbergen;161;662,3;0;0;2;8,2;;;WAAR;Haaksbergen
Haaren;129;897,7;1;7;0;0;;;WAAR;Haaren
Haarlem;908;557,4;11;6,8;6;3,7;;;WAAR;Haarlem
Haarlemmermeer;969;621,1;6;3,8;2;1,3;;;WAAR;Haarlemmermeer
Halderberge;249;822,2;5;16,5;2;6,6;;;WAAR;Halderberge
Hardenberg;287;470,9;0;0;0;0;;;WAAR;Hardenberg
Harderwijk;167;344,9;2;4,1;1;2,1;;;WAAR;Harderwijk
Hardinxveld-Giessendam;151;825,4;0;0;1;5,5;;;WAAR;Hardinxveld-Giessendam
Harlingen;29;184,5;0;0;0;0;;;WAAR;Harlingen
Hattem;38;311,2;0;0;0;0;;;WAAR;Hattem
Heemskerk;247;630,4;1;2,6;2;5,1;;;WAAR;Heemskerk
Heemstede;116;425,9;1;3,7;2;7,3;;;WAAR;Heemstede
Heerde;38;204,4;0;0;0;0;;;WAAR;Heerde
Heerenveen;96;190,1;1;2;0;0;;;WAAR;Heerenveen
Heerhugowaard;277;481;2;3,5;0;0;;;WAAR;Heerhugowaard
Heerlen;258;296,3;3;3,4;1;1,1;;;WAAR;Heerlen
Heeze-Leende;132;817,2;2;12,4;0;0;;;WAAR;Heeze-Leende
Heiloo;124;517,4;1;4,2;1;4,2;;;WAAR;Heiloo
Hellendoorn;235;654,3;0;0;1;2,8;;;WAAR;Hellendoorn
Hellevoetsluis;244;607,8;1;2,5;2;5;;;WAAR;Hellevoetsluis
Helmond;741;801,7;1;1,1;1;1,1;;;WAAR;Helmond
Hendrik-Ido-Ambacht;253;810,8;0;0;1;3,2;;;WAAR;Hendrik-Ido-Ambacht
Hengelo (O.);577;711,1;3;3,7;0;0;;;WAAR;Hengelo (O.)
Het Hogeland;103;215,5;0;0;2;4,2;;;WAAR;Het Hogeland
Heumen;80;486,2;0;0;2;12,2;;;WAAR;Heumen
Heusden;310;693,6;3;6,7;0;0;;;WAAR;Heusden
Hillegom;130;585,3;0;0;0;0;;;WAAR;Hillegom
Hilvarenbeek;128;824,8;2;12,9;1;6,4;;;WAAR;Hilvarenbeek
Hilversum;541;595,6;2;2,2;0;0;;;WAAR;Hilversum
Hoeksche Waard;581;664,8;2;2,3;6;6,9;;;WAAR;Hoeksche Waard
Hof van Twente;197;562,6;0;0;0;0;;;WAAR;Hof van Twente
Hollands Kroon;178;367,5;0;0;0;0;;;WAAR;Hollands Kroon
Hoogeveen;278;499,1;1;1,8;3;5,4;;;WAAR;Hoogeveen
Hoorn;381;520,1;0;0;2;2,7;;;WAAR;Hoorn
Horst aan de Maas;280;659,9;0;0;0;0;;;WAAR;Horst aan de Maas
Houten;383;763,8;2;4;2;4;;;WAAR;Houten
Huizen;303;734,1;2;4,8;0;0;;;WAAR;Huizen
Hulst;106;384,7;1;3,6;0;0;;;WAAR;Hulst
IJsselstein;269;788,6;5;14,7;0;0;;;WAAR;IJsselstein
Kaag en Braassem;236;864,6;0;0;0;0;;;WAAR;Kaag en Braassem
Kampen;133;244,8;0;0;0;0;;;WAAR;Kampen
Kapelle;26;204,8;0;0;0;0;;;WAAR;Kapelle
Katwijk;728;1107,2;5;7,6;3;4,6;;;WAAR;Katwijk
Kerkrade;143;312,6;4;8,7;1;2,2;;;WAAR;Kerkrade
Koggenland;94;413,2;2;8,8;0;0;;;WAAR;Koggenland
Krimpen aan den IJssel;254;860,3;0;0;1;3,4;;;WAAR;Krimpen aan den IJssel
Krimpenerwaard;422;749,3;3;5,3;1;1,8;;;WAAR;Krimpenerwaard
Laarbeek;137;608,3;0;0;0;0;;;WAAR;Laarbeek
Landerd;125;794,7;0;0;0;0;;;WAAR;Landerd
Landgraaf;91;243;1;2,7;0;0;;;WAAR;Landgraaf
Landsmeer;71;617,9;0;0;0;0;;;WAAR;Landsmeer
Langedijk;135;479,4;1;3,6;1;3,6;;;WAAR;Langedijk
Lansingerland;514;823,9;0;0;0;0;;;WAAR;Lansingerland
Laren (NH.);63;558,5;0;0;0;0;;;WAAR;Laren (NH.)
Leeuwarden;289;232,9;3;2,4;2;1,6;;;WAAR;Leeuwarden
Leiden;1172;936,9;8;6,4;2;1,6;;;WAAR;Leiden
Leiderdorp;243;898,1;6;22,2;0;0;;;WAAR;Leiderdorp
Leidschendam-Voorburg;507;662,5;1;1,3;2;2,6;;;WAAR;Leidschendam-Voorburg
Lelystad;300;381,7;3;3,8;2;2,5;;;WAAR;Lelystad
Leudal;110;306,6;0;0;0;0;;;WAAR;Leudal
Leusden;188;618,4;1;3,3;0;0;;;WAAR;Leusden
Lingewaard;313;671,7;2;4,3;1;2,1;;;WAAR;Lingewaard
Lisse;189;823,4;2;8,7;2;8,7;;;WAAR;Lisse
Lochem;120;355,8;1;3;0;0;;;WAAR;Lochem
Loon op Zand;148;632,3;0;0;6;25,6;;;WAAR;Loon op Zand
Lopik;97;670,5;2;13,8;0;0;;;WAAR;Lopik
