Municipality_code;Total_reported;Total_reported_per_100000;Hospital_admission;Hospital_admission_per_100000;Deceased;Deceased_per_100000;;;;
Aa en Hunze;3;11,8;0;0;0;0;;;WAAR;Aa en Hunze
Aalsmeer;6;18,8;0;0;0;0;;;WAAR;Aalsmeer
Aalten;24;88,5;2;7,4;2;7,4;;;WAAR;Aalten
Achtkarspelen;5;18;0;0;0;0;;;WAAR;Achtkarspelen
Alblasserdam;11;54,5;2;9,9;1;5;;;WAAR;Alblasserdam
Albrandswaard;25;97,7;1;3,9;3;11,7;;;WAAR;Albrandswaard
Alkmaar;45;41,1;3;2,7;5;4,6;;;WAAR;Alkmaar
Almelo;19;26;2;2,7;4;5,5;;;WAAR;Almelo
Almere;126;59,5;15;7,1;10;4,7;;;WAAR;Almere
Alphen aan den Rijn;47;42;5;4,5;10;8,9;;;WAAR;Alphen aan den Rijn
Alphen-Chaam;6;58,8;0;0;1;9,8;;;WAAR;Alphen-Chaam
Altena;27;48,2;0;0;1;1,8;;;WAAR;Altena
Ameland;0;0;0;0;0;0;;;WAAR;Ameland
Amersfoort;43;27,3;3;1,9;5;3,2;;;WAAR;Amersfoort
Amstelveen;75;81,8;6;6,5;6;6,5;;;WAAR;Amstelveen
Amsterdam;595;68,2;74;8,5;84;9,6;;;WAAR;Amsterdam
Apeldoorn;149;91;15;9,2;16;9,8;;;WAAR;Apeldoorn
Appingedam;3;25,8;1;8,6;0;0;;;WAAR;Appingedam
Arnhem;69;42,8;6;3,7;8;5;;;WAAR;Arnhem
Assen;7;10,2;0;0;0;0;;;WAAR;Assen
Asten;19;113,6;3;17,9;4;23,9;;;WAAR;Asten
Baarle-Nassau;6;87,5;1;14,6;0;0;;;WAAR;Baarle-Nassau
Baarn;17;68,4;1;4;5;20,1;;;WAAR;Baarn
Barendrecht;30;61,6;5;10,3;4;8,2;;;WAAR;Barendrecht
Barneveld;25;42,3;5;8,5;1;1,7;;;WAAR;Barneveld
Beek (L.);11;69,3;1;6,3;1;6,3;;;WAAR;Beek (L.)
Beekdaelen;57;158,6;8;22,3;2;5,6;;;WAAR;Beekdaelen
Beemster;1;10;0;0;0;0;;;WAAR;Beemster
Beesel;8;59,3;0;0;1;7,4;;;WAAR;Beesel
Berg en Dal;33;94,3;2;5,7;3;8,6;;;WAAR;Berg en Dal
Bergeijk;12;64,4;2;10,7;0;0;;;WAAR;Bergeijk
Bergen (L.);8;61,1;0;0;0;0;;;WAAR;Bergen (L.)
Bergen (NH.);5;16,8;0;0;0;0;;;WAAR;Bergen (NH.)
Bergen op Zoom;40;59,3;0;0;4;5,9;;;WAAR;Bergen op Zoom
Berkelland;32;73,1;0;0;5;11,4;;;WAAR;Berkelland
Bernheze;50;160,1;5;16;11;35,2;;;WAAR;Bernheze
Best;15;50;0;0;3;10;;;WAAR;Best
Beuningen;17;65,7;0;0;1;3,9;;;WAAR;Beuningen
Beverwijk;13;31,2;0;0;3;7,2;;;WAAR;Beverwijk
Bladel;10;49;2;9,8;1;4,9;;;WAAR;Bladel
Blaricum;7;60,7;2;17,3;0;0;;;WAAR;Blaricum
Bloemendaal;6;25,5;1;4,2;1;4,2;;;WAAR;Bloemendaal
Bodegraven-Reeuwijk;17;48,7;0;0;0;0;;;WAAR;Bodegraven-Reeuwijk
Boekel;5;46,4;0;0;3;27,8;;;WAAR;Boekel
Borger-Odoorn;4;15,7;1;3,9;0;0;;;WAAR;Borger-Odoorn
Borne;7;30;0;0;0;0;;;WAAR;Borne
Borsele;3;13,2;0;0;0;0;;;WAAR;Borsele
Boxmeer;31;105,6;0;0;8;27,2;;;WAAR;Boxmeer
Boxtel;18;58,4;3;9,7;2;6,5;;;WAAR;Boxtel
Breda;66;35,9;5;2,7;5;2,7;;;WAAR;Breda
Brielle;4;23,2;0;0;0;0;;;WAAR;Brielle
Bronckhorst;31;86;4;11,1;2;5,5;;;WAAR;Bronckhorst
Brummen;8;38,6;2;9,6;2;9,6;;;WAAR;Brummen
Brunssum;20;71,9;8;28,8;4;14,4;;;WAAR;Brunssum
Bunnik;14;92,2;1;6,6;0;0;;;WAAR;Bunnik
Bunschoten;22;100,6;3;13,7;4;18,3;;;WAAR;Bunschoten
Buren;14;52,3;5;18,7;3;11,2;;;WAAR;Buren
Capelle aan den IJssel;75;111,7;6;8,9;21;31,3;;;WAAR;Capelle aan den IJssel
Castricum;18;50;1;2,8;1;2,8;;;WAAR;Castricum
Coevorden;12;34;1;2,8;1;2,8;;;WAAR;Coevorden
Cranendonck;17;80,4;3;14,2;13;61,5;;;WAAR;Cranendonck
Cuijk;24;95,5;1;4;2;8;;;WAAR;Cuijk
Culemborg;12;41,4;1;3,5;1;3,5;;;WAAR;Culemborg
Dalfsen;19;66,5;0;0;0;0;;;WAAR;Dalfsen
Dantumadiel;0;0;0;0;0;0;;;WAAR;Dantumadiel
De Bilt;38;88,1;1;2,3;4;9,3;;;WAAR;De Bilt
De Fryske Marren;9;17,5;1;1,9;0;0;;;WAAR;De Fryske Marren
De Ronde Venen;25;56,2;7;15,7;7;15,7;;;WAAR;De Ronde Venen
De Wolden;15;61,7;2;8,2;3;12,3;;;WAAR;De Wolden
Delft;24;23,2;1;1;3;2,9;;;WAAR;Delft
Delfzijl;3;12,2;0;0;0;0;;;WAAR;Delfzijl
Den Helder;3;5,3;0;0;1;1,8;;;WAAR;Den Helder
Deurne;23;70,8;2;6,2;3;9,2;;;WAAR;Deurne
Deventer;78;77,4;3;3;8;7,9;;;WAAR;Deventer
Diemen;39;126,7;3;9,7;6;19,5;;;WAAR;Diemen
Dinkelland;8;30,2;0;0;3;11,3;;;WAAR;Dinkelland
Doesburg;9;81,2;2;18,1;1;9;;;WAAR;Doesburg
Doetinchem;27;46,6;4;6,9;7;12,1;;;WAAR;Doetinchem
Dongen;18;68,6;4;15,3;2;7,6;;;WAAR;Dongen
Dordrecht;78;65,4;11;9,2;8;6,7;;;WAAR;Dordrecht
Drechterland;8;40,6;1;5,1;0;0;;;WAAR;Drechterland
Drimmelen;18;66;0;0;2;7,3;;;WAAR;Drimmelen
