Gemeente;Gemnr;Gemeente;Bev_2020;van_datum;tot_datum;;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000;;
Aa en Hunze;1680;Aa en Hunze;25445;11-11-2020;2020-11-24;Aa en Hunze;46;180,8;0;0;0;0;;WAAR
Aalsmeer;358;Aalsmeer;31859;11-11-2020;2020-11-24;Aalsmeer;131;411,2;2;6,3;4;12,6;;WAAR
Aalten;197;Aalten;27121;11-11-2020;2020-11-24;Aalten;92;339,2;0;0;1;3,7;;WAAR
Achtkarspelen;59;Achtkarspelen;27843;11-11-2020;2020-11-24;Achtkarspelen;44;158;0;0;0;0;;WAAR
Alblasserdam;482;Alblasserdam;20165;11-11-2020;2020-11-24;Alblasserdam;91;451,3;0;0;1;5;;WAAR
Albrandswaard;613;Albrandswaard;25590;11-11-2020;2020-11-24;Albrandswaard;135;527,5;3;11,7;0;0;;WAAR
Alkmaar;361;Alkmaar;109436;11-11-2020;2020-11-24;Alkmaar;402;367,3;4;3,7;3;2,7;;WAAR
Almelo;141;Almelo;73107;11-11-2020;2020-11-24;Almelo;483;660,7;1;1,4;3;4,1;;WAAR
Almere;34;Almere;211893;11-11-2020;2020-11-24;Almere;896;422,9;4;1,9;2;0,9;;WAAR
Alphen aan den Rijn;484;Alphen aan den Rijn;111897;11-11-2020;2020-11-24;Alphen aan den Rijn;659;588,9;6;5,4;4;3,6;;WAAR
Alphen-Chaam;1723;Alphen-Chaam;10203;11-11-2020;2020-11-24;Alphen-Chaam;76;744,9;2;19,6;0;0;;WAAR
Altena;1959;Altena;55967;11-11-2020;2020-11-24;Altena;391;698,6;1;1,8;4;7,1;;WAAR
Ameland;60;Ameland;3716;11-11-2020;2020-11-24;Ameland;0;0;0;0;0;0;;WAAR
Amersfoort;307;Amersfoort;157276;11-11-2020;2020-11-24;Amersfoort;697;443,2;8;5,1;8;5,1;;WAAR
Amstelveen;362;Amstelveen;91675;11-11-2020;2020-11-24;Amstelveen;263;286,9;2;2,2;4;4,4;;WAAR
Amsterdam;363;Amsterdam;872757;11-11-2020;2020-11-24;Amsterdam;3938;451,2;46;5,3;29;3,3;;WAAR
Apeldoorn;200;Apeldoorn;163818;11-11-2020;2020-11-24;Apeldoorn;414;252,7;5;3,1;5;3,1;;WAAR
Appingedam;3;Appingedam;11642;11-11-2020;2020-11-24;Appingedam;23;197,6;0;0;0;0;;WAAR
Arnhem;202;Arnhem;161348;11-11-2020;2020-11-24;Arnhem;653;404,7;1;0,6;10;6,2;;WAAR
Assen;106;Assen;68599;11-11-2020;2020-11-24;Assen;157;228,9;4;5,8;2;2,9;;WAAR
Asten;743;Asten;16721;11-11-2020;2020-11-24;Asten;65;388,7;0;0;0;0;;WAAR
Baarle-Nassau;744;Baarle-Nassau;6859;11-11-2020;2020-11-24;Baarle-Nassau;34;495,7;0;0;0;0;;WAAR
Baarn;308;Baarn;24868;11-11-2020;2020-11-24;Baarn;81;325,7;4;16,1;0;0;;WAAR
Barendrecht;489;Barendrecht;48714;11-11-2020;2020-11-24;Barendrecht;187;383,9;4;8,2;1;2,1;;WAAR
Barneveld;203;Barneveld;59082;11-11-2020;2020-11-24;Barneveld;336;568,7;1;1,7;3;5,1;;WAAR
Beek (L.);888;Beek (L.);15865;11-11-2020;2020-11-24;Beek (L.);67;422,3;0;0;0;0;;WAAR
Beekdaelen;1954;Beekdaelen;35938;11-11-2020;2020-11-24;Beekdaelen;106;295;0;0;0;0;;WAAR
Beemster;370;Beemster;10022;11-11-2020;2020-11-24;Beemster;26;259,4;0;0;0;0;;WAAR
Beesel;889;Beesel;13482;11-11-2020;2020-11-24;Beesel;35;259,6;2;14,8;1;7,4;;WAAR
Berg en Dal;1945;Berg en Dal;34992;11-11-2020;2020-11-24;Berg en Dal;133;380,1;1;2,9;2;5,7;;WAAR
Bergeijk;1724;Bergeijk;18635;11-11-2020;2020-11-24;Bergeijk;74;397,1;1;5,4;0;0;;WAAR
Bergen (L.);893;Bergen (L.);13085;11-11-2020;2020-11-24;Bergen (L.);26;198,7;1;7,6;0;0;;WAAR
Bergen (NH.);373;Bergen (NH.);29839;11-11-2020;2020-11-24;Bergen (NH.);71;237,9;1;3,4;0;0;;WAAR
Bergen op Zoom;748;Bergen op Zoom;67496;11-11-2020;2020-11-24;Bergen op Zoom;430;637,1;2;3;4;5,9;;WAAR
Berkelland;1859;Berkelland;43747;11-11-2020;2020-11-24;Berkelland;174;397,7;2;4,6;5;11,4;;WAAR
Bernheze;1721;Bernheze;31240;11-11-2020;2020-11-24;Bernheze;128;409,7;0;0;0;0;;WAAR
Best;753;Best;29988;11-11-2020;2020-11-24;Best;89;296,8;0;0;0;0;;WAAR
Beuningen;209;Beuningen;25890;11-11-2020;2020-11-24;Beuningen;80;309;0;0;1;3,9;;WAAR
Beverwijk;375;Beverwijk;41626;11-11-2020;2020-11-24;Beverwijk;133;319,5;1;2,4;0;0;;WAAR
Bladel;1728;Bladel;20390;11-11-2020;2020-11-24;Bladel;96;470,8;1;4,9;0;0;;WAAR
Blaricum;376;Blaricum;11540;11-11-2020;2020-11-24;Blaricum;48;415,9;0;0;0;0;;WAAR
Bloemendaal;377;Bloemendaal;23571;11-11-2020;2020-11-24;Bloemendaal;48;203,6;0;0;0;0;;WAAR
Bodegraven-Reeuwijk;1901;Bodegraven-Reeuwijk;34872;11-11-2020;2020-11-24;Bodegraven-Reeuwijk;200;573,5;3;8,6;1;2,9;;WAAR
Boekel;755;Boekel;10785;11-11-2020;2020-11-24;Boekel;17;157,6;0;0;0;0;;WAAR
Borger-Odoorn;1681;Borger-Odoorn;25559;11-11-2020;2020-11-24;Borger-Odoorn;63;246,5;1;3,9;0;0;;WAAR
Borne;147;Borne;23312;11-11-2020;2020-11-24;Borne;93;398,9;0;0;0;0;;WAAR
Borsele;654;Borsele;22739;11-11-2020;2020-11-24;Borsele;46;202,3;0;0;1;4,4;;WAAR
Boxmeer;756;Boxmeer;29365;11-11-2020;2020-11-24;Boxmeer;98;333,7;0;0;0;0;;WAAR
Boxtel;757;Boxtel;30801;11-11-2020;2020-11-24;Boxtel;116;376,6;1;3,2;1;3,2;;WAAR
Breda;758;Breda;184069;11-11-2020;2020-11-24;Breda;700;380,3;2;1,1;3;1,6;;WAAR
Brielle;501;Brielle;17271;11-11-2020;2020-11-24;Brielle;54;312,7;0;0;0;0;;WAAR
Bronckhorst;1876;Bronckhorst;36055;11-11-2020;2020-11-24;Bronckhorst;124;343,9;1;2,8;0;0;;WAAR
Brummen;213;Brummen;20726;11-11-2020;2020-11-24;Brummen;45;217,1;0;0;0;0;;WAAR
Brunssum;899;Brunssum;27821;11-11-2020;2020-11-24;Brunssum;63;226,4;1;3,6;0;0;;WAAR
Bunnik;312;Bunnik;15191;11-11-2020;2020-11-24;Bunnik;63;414,7;0;0;0;0;;WAAR
Bunschoten;313;Bunschoten;21866;11-11-2020;2020-11-24;Bunschoten;220;1006,1;4;18,3;2;9,1;;WAAR
Buren;214;Buren;26749;11-11-2020;2020-11-24;Buren;94;351,4;2;7,5;2;7,5;;WAAR
Capelle aan den IJssel;502;Capelle aan den IJssel;67122;11-11-2020;2020-11-24;Capelle aan den IJssel;299;445,5;5;7,4;1;1,5;;WAAR
Castricum;383;Castricum;35986;11-11-2020;2020-11-24;Castricum;116;322,3;0;0;1;2,8;;WAAR
Coevorden;109;Coevorden;35297;11-11-2020;2020-11-24;Coevorden;122;345,6;1;2,8;2;5,7;;WAAR
Cranendonck;1706;Cranendonck;21138;11-11-2020;2020-11-24;Cranendonck;112;529,9;0;0;1;4,7;;WAAR
Cuijk;1684;Cuijk;25130;11-11-2020;2020-11-24;Cuijk;82;326,3;0;0;0;0;;WAAR
Culemborg;216;Culemborg;28955;11-11-2020;2020-11-24;Culemborg;126;435,2;2;6,9;0;0;;WAAR
Dalfsen;148;Dalfsen;28587;11-11-2020;2020-11-24;Dalfsen;82;286,8;0;0;0;0;;WAAR
Dantumadiel;1891;Dantumadiel;18922;11-11-2020;2020-11-24;Dantumadiel;30;158,5;0;0;0;0;;WAAR
De Bilt;310;De Bilt;43137;11-11-2020;2020-11-24;De Bilt;159;368,6;2;4,6;5;11,6;;WAAR
De Fryske Marren;1940;De Fryske Marren;51564;11-11-2020;2020-11-24;De Fryske Marren;71;137,7;2;3,9;1;1,9;;WAAR
De Ronde Venen;736;De Ronde Venen;44456;11-11-2020;2020-11-24;De Ronde Venen;185;416,1;4;9;1;2,2;;WAAR
De Wolden;1690;De Wolden;24330;11-11-2020;2020-11-24;De Wolden;45;185;0;0;0;0;;WAAR
Delft;503;Delft;103595;11-11-2020;2020-11-24;Delft;462;446;4;3,9;5;4,8;;WAAR
Delfzijl;10;Delfzijl;24678;11-11-2020;2020-11-24;Delfzijl;45;182,3;1;4,1;0;0;;WAAR
Den Helder;400;Den Helder;56296;11-11-2020;2020-11-24;Den Helder;175;310,9;0;0;1;1,8;;WAAR
Deurne;762;Deurne;32471;11-11-2020;2020-11-24;Deurne;127;391,1;0;0;2;6,2;;WAAR
Deventer;150;Deventer;100719;11-11-2020;2020-11-24;Deventer;308;305,8;0;0;2;2;;WAAR
Diemen;384;Diemen;30780;11-11-2020;2020-11-24;Diemen;135;438,6;2;6,5;1;3,2;;WAAR
Dinkelland;1774;Dinkelland;26461;11-11-2020;2020-11-24;Dinkelland;144;544,2;0;0;2;7,6;;WAAR
Doesburg;221;Doesburg;11077;11-11-2020;2020-11-24;Doesburg;24;216,7;0;0;0;0;;WAAR
Doetinchem;222;Doetinchem;58001;11-11-2020;2020-11-24;Doetinchem;165;284,5;1;1,7;1;1,7;;WAAR
Dongen;766;Dongen;26222;11-11-2020;2020-11-24;Dongen;153;583,5;4;15,3;1;3,8;;WAAR
Dordrecht;505;Dordrecht;119284;11-11-2020;2020-11-24;Dordrecht;603;505,5;1;0,8;6;5;;WAAR
Drechterland;498;Drechterland;19719;11-11-2020;2020-11-24;Drechterland;62;314,4;0;0;0;0;;WAAR
Drimmelen;1719;Drimmelen;27272;11-11-2020;2020-11-24;Drimmelen;100;366,7;2;7,3;2;7,3;;WAAR
Dronten;303;Dronten;41555;11-11-2020;2020-11-24;Dronten;131;315,2;3;7,2;1;2,4;;WAAR
Druten;225;Druten;18926;11-11-2020;2020-11-24;Druten;48;253,6;0;0;0;0;;WAAR
Duiven;226;Duiven;25126;11-11-2020;2020-11-24;Duiven;151;601;0;0;1;4;;WAAR
Echt-Susteren;1711;Echt-Susteren;31610;11-11-2020;2020-11-24;Echt-Susteren;54;170,8;1;3,2;1;3,2;;WAAR
Edam-Volendam;385;Edam-Volendam;36197;11-11-2020;2020-11-24;Edam-Volendam;138;381,2;5;13,8;2;5,5;;WAAR
Ede;228;Ede;117165;11-11-2020;2020-11-24;Ede;495;422,5;3;2,6;3;2,6;;WAAR
Eemnes;317;Eemnes;9247;11-11-2020;2020-11-24;Eemnes;55;594,8;0;0;0;0;;WAAR
Eersel;770;Eersel;19313;11-11-2020;2020-11-24;Eersel;132;683,5;0;0;1;5,2;;WAAR
Eijsden-Margraten;1903;Eijsden-Margraten;25768;11-11-2020;2020-11-24;Eijsden-Margraten;47;182,4;1;3,9;0;0;;WAAR
Eindhoven;772;Eindhoven;234394;11-11-2020;2020-11-24;Eindhoven;964;411,3;10;4,3;7;3;;WAAR
Elburg;230;Elburg;23161;11-11-2020;2020-11-24;Elburg;90;388,6;0;0;1;4,3;;WAAR
Emmen;114;Emmen;107048;11-11-2020;2020-11-24;Emmen;289;270;0;0;2;1,9;;WAAR
Enkhuizen;388;Enkhuizen;18591;11-11-2020;2020-11-24;Enkhuizen;80;430,3;0;0;0;0;;WAAR
Enschede;153;Enschede;159640;11-11-2020;2020-11-24;Enschede;726;454,8;10;6,3;8;5;;WAAR
Epe;232;Epe;33178;11-11-2020;2020-11-24;Epe;60;180,8;0;0;1;3;;WAAR
Ermelo;233;Ermelo;27008;11-11-2020;2020-11-24;Ermelo;110;407,3;0;0;1;3,7;;WAAR
Etten-Leur;777;Etten-Leur;43878;11-11-2020;2020-11-24;Etten-Leur;163;371,5;1;2,3;1;2,3;;WAAR
Geertruidenberg;779;Geertruidenberg;21544;11-11-2020;2020-11-24;Geertruidenberg;108;501,3;0;0;0;0;;WAAR
Geldrop-Mierlo;1771;Geldrop-Mierlo;39726;11-11-2020;2020-11-24;Geldrop-Mierlo;212;533,7;2;5;0;0;;WAAR
Gemert-Bakel;1652;Gemert-Bakel;30723;11-11-2020;2020-11-24;Gemert-Bakel;82;266,9;0;0;0;0;;WAAR
Gennep;907;Gennep;16921;11-11-2020;2020-11-24;Gennep;74;437,3;0;0;4;23,6;;WAAR
Gilze en Rijen;784;Gilze en Rijen;26431;11-11-2020;2020-11-24;Gilze en Rijen;117;442,7;0;0;1;3,8;;WAAR
Goeree-Overflakkee;1924;Goeree-Overflakkee;50049;11-11-2020;2020-11-24;Goeree-Overflakkee;185;369,6;0;0;1;2;;WAAR
Goes;664;Goes;38082;11-11-2020;2020-11-24;Goes;75;196,9;2;5,3;0;0;;WAAR
Goirle;785;Goirle;23904;11-11-2020;2020-11-24;Goirle;122;510,4;0;0;0;0;;WAAR
Gooise Meren;1942;Gooise Meren;58055;11-11-2020;2020-11-24;Gooise Meren;201;346,2;1;1,7;0;0;;WAAR
Gorinchem;512;Gorinchem;37022;11-11-2020;2020-11-24;Gorinchem;194;524;0;0;0;0;;WAAR
Gouda;513;Gouda;73427;11-11-2020;2020-11-24;Gouda;407;554,3;14;19,1;7;9,5;;WAAR
Grave;786;Grave;12436;11-11-2020;2020-11-24;Grave;60;482,5;0;0;3;24,1;;WAAR
Groningen (gemeente);14;Groningen (gemeente);232874;11-11-2020;2020-11-24;Groningen (gemeente);355;152,4;2;0,9;0;0;;WAAR
Gulpen-Wittem;1729;Gulpen-Wittem;14171;11-11-2020;2020-11-24;Gulpen-Wittem;29;204,6;0;0;0;0;;WAAR
Haaksbergen;158;Haaksbergen;24311;11-11-2020;2020-11-24;Haaksbergen;131;538,9;1;4,1;4;16,5;;WAAR
Haaren;788;Haaren;14370;11-11-2020;2020-11-24;Haaren;68;473,2;0;0;0;0;;WAAR
Haarlem;392;Haarlem;162902;11-11-2020;2020-11-24;Haarlem;479;294;2;1,2;3;1,8;;WAAR
Haarlemmermeer;394;Haarlemmermeer;156002;11-11-2020;2020-11-24;Haarlemmermeer;585;375;4;2,6;2;1,3;;WAAR
Halderberge;1655;Halderberge;30284;11-11-2020;2020-11-24;Halderberge;153;505,2;2;6,6;0;0;;WAAR
Hardenberg;160;Hardenberg;60948;11-11-2020;2020-11-24;Hardenberg;191;313,4;2;3,3;2;3,3;;WAAR
Harderwijk;243;Harderwijk;48414;11-11-2020;2020-11-24;Harderwijk;159;328,4;4;8,3;0;0;;WAAR
Hardinxveld-Giessendam;523;Hardinxveld-Giessendam;18295;11-11-2020;2020-11-24;Hardinxveld-Giessendam;105;573,9;0;0;0;0;;WAAR
Harlingen;72;Harlingen;15722;11-11-2020;2020-11-24;Harlingen;14;89;0;0;0;0;;WAAR
Hattem;244;Hattem;12209;11-11-2020;2020-11-24;Hattem;40;327,6;0;0;0;0;;WAAR
Heemskerk;396;Heemskerk;39182;11-11-2020;2020-11-24;Heemskerk;166;423,7;2;5,1;1;2,6;;WAAR
Heemstede;397;Heemstede;27234;11-11-2020;2020-11-24;Heemstede;89;326,8;1;3,7;0;0;;WAAR
Heerde;246;Heerde;18589;11-11-2020;2020-11-24;Heerde;23;123,7;0;0;0;0;;WAAR
Heerenveen;74;Heerenveen;50493;11-11-2020;2020-11-24;Heerenveen;62;122,8;0;0;0;0;;WAAR
Heerhugowaard;398;Heerhugowaard;57587;11-11-2020;2020-11-24;Heerhugowaard;189;328,2;0;0;0;0;;WAAR
Heerlen;917;Heerlen;87086;11-11-2020;2020-11-24;Heerlen;231;265,3;2;2,3;2;2,3;;WAAR
Heeze-Leende;1658;Heeze-Leende;16152;11-11-2020;2020-11-24;Heeze-Leende;67;414,8;0;0;0;0;;WAAR
Heiloo;399;Heiloo;23968;11-11-2020;2020-11-24;Heiloo;84;350,5;1;4,2;0;0;;WAAR
Hellendoorn;163;Hellendoorn;35916;11-11-2020;2020-11-24;Hellendoorn;175;487,2;1;2,8;1;2,8;;WAAR
Hellevoetsluis;530;Hellevoetsluis;40142;11-11-2020;2020-11-24;Hellevoetsluis;164;408,5;2;5;0;0;;WAAR
Helmond;794;Helmond;92423;11-11-2020;2020-11-24;Helmond;351;379,8;4;4,3;0;0;;WAAR
Hendrik-Ido-Ambacht;531;Hendrik-Ido-Ambacht;31202;11-11-2020;2020-11-24;Hendrik-Ido-Ambacht;131;419,8;0;0;1;3,2;;WAAR
Hengelo (O.);164;Hengelo (O.);81140;11-11-2020;2020-11-24;Hengelo (O.);342;421,5;1;1,2;3;3,7;;WAAR
Het Hogeland;1966;Het Hogeland;47801;11-11-2020;2020-11-24;Het Hogeland;66;138,1;0;0;0;0;;WAAR
Heumen;252;Heumen;16454;11-11-2020;2020-11-24;Heumen;57;346,4;0;0;0;0;;WAAR
Heusden;797;Heusden;44692;11-11-2020;2020-11-24;Heusden;267;597,4;2;4,5;2;4,5;;WAAR
Hillegom;534;Hillegom;22209;11-11-2020;2020-11-24;Hillegom;60;270,2;0;0;0;0;;WAAR
Hilvarenbeek;798;Hilvarenbeek;15518;11-11-2020;2020-11-24;Hilvarenbeek;46;296,4;0;0;1;6,4;;WAAR
Hilversum;402;Hilversum;90831;11-11-2020;2020-11-24;Hilversum;261;287,3;0;0;1;1,1;;WAAR
Hoeksche Waard;1963;Hoeksche Waard;87401;11-11-2020;2020-11-24;Hoeksche Waard;272;311,2;0;0;1;1,1;;WAAR
Hof van Twente;1735;Hof van Twente;35017;11-11-2020;2020-11-24;Hof van Twente;196;559,7;2;5,7;2;5,7;;WAAR
Hollands Kroon;1911;Hollands Kroon;48432;11-11-2020;2020-11-24;Hollands Kroon;123;254;2;4,1;0;0;;WAAR
Hoogeveen;118;Hoogeveen;55699;11-11-2020;2020-11-24;Hoogeveen;131;235,2;0;0;0;0;;WAAR
Hoorn;405;Hoorn;73261;11-11-2020;2020-11-24;Hoorn;297;405,4;4;5,5;1;1,4;;WAAR
Horst aan de Maas;1507;Horst aan de Maas;42429;11-11-2020;2020-11-24;Horst aan de Maas;218;513,8;0;0;3;7,1;;WAAR
Houten;321;Houten;50146;11-11-2020;2020-11-24;Houten;136;271,2;1;2;3;6;;WAAR
Huizen;406;Huizen;41273;11-11-2020;2020-11-24;Huizen;183;443,4;0;0;0;0;;WAAR
Hulst;677;Hulst;27556;11-11-2020;2020-11-24;Hulst;121;439,1;1;3,6;2;7,3;;WAAR
IJsselstein;353;IJsselstein;34109;11-11-2020;2020-11-24;IJsselstein;129;378,2;1;2,9;1;2,9;;WAAR
Kaag en Braassem;1884;Kaag en Braassem;27297;11-11-2020;2020-11-24;Kaag en Braassem;97;355,4;1;3,7;0;0;;WAAR
Kampen;166;Kampen;54319;11-11-2020;2020-11-24;Kampen;150;276,1;0;0;0;0;;WAAR
Kapelle;678;Kapelle;12695;11-11-2020;2020-11-24;Kapelle;12;94,5;0;0;0;0;;WAAR
Katwijk;537;Katwijk;65753;11-11-2020;2020-11-24;Katwijk;266;404,5;3;4,6;2;3;;WAAR
Kerkrade;928;Kerkrade;45749;11-11-2020;2020-11-24;Kerkrade;63;137,7;1;2,2;2;4,4;;WAAR
Koggenland;1598;Koggenland;22749;11-11-2020;2020-11-24;Koggenland;103;452,8;1;4,4;1;4,4;;WAAR
Krimpen aan den IJssel;542;Krimpen aan den IJssel;29526;11-11-2020;2020-11-24;Krimpen aan den IJssel;130;440,3;2;6,8;3;10,2;;WAAR
Krimpenerwaard;1931;Krimpenerwaard;56319;11-11-2020;2020-11-24;Krimpenerwaard;294;522;5;8,9;6;10,7;;WAAR
Laarbeek;1659;Laarbeek;22523;11-11-2020;2020-11-24;Laarbeek;116;515;0;0;0;0;;WAAR
Landerd;1685;Landerd;15730;11-11-2020;2020-11-24;Landerd;69;438,7;1;6,4;0;0;;WAAR
Landgraaf;882;Landgraaf;37445;11-11-2020;2020-11-24;Landgraaf;93;248,4;0;0;2;5,3;;WAAR
Landsmeer;415;Landsmeer;11491;11-11-2020;2020-11-24;Landsmeer;64;557;0;0;0;0;;WAAR
Langedijk;416;Langedijk;28163;11-11-2020;2020-11-24;Langedijk;105;372,8;0;0;0;0;;WAAR
Lansingerland;1621;Lansingerland;62384;11-11-2020;2020-11-24;Lansingerland;227;363,9;0;0;1;1,6;;WAAR
Laren (NH.);417;Laren (NH.);11280;11-11-2020;2020-11-24;Laren (NH.);54;478,7;0;0;0;0;;WAAR
Leeuwarden;80;Leeuwarden;124084;11-11-2020;2020-11-24;Leeuwarden;229;184,6;2;1,6;4;3,2;;WAAR
Leiden;546;Leiden;125099;11-11-2020;2020-11-24;Leiden;467;373,3;4;3,2;5;4;;WAAR
Leiderdorp;547;Leiderdorp;27056;11-11-2020;2020-11-24;Leiderdorp;97;358,5;0;0;0;0;;WAAR
Leidschendam-Voorburg;1916;Leidschendam-Voorburg;76534;11-11-2020;2020-11-24;Leidschendam-Voorburg;278;363,2;2;2,6;5;6,5;;WAAR
Lelystad;995;Lelystad;78598;11-11-2020;2020-11-24;Lelystad;269;342,2;3;3,8;3;3,8;;WAAR
Leudal;1640;Leudal;35879;11-11-2020;2020-11-24;Leudal;142;395,8;2;5,6;1;2,8;;WAAR
Leusden;327;Leusden;30401;11-11-2020;2020-11-24;Leusden;108;355,3;2;6,6;1;3,3;;WAAR
Lingewaard;1705;Lingewaard;46601;11-11-2020;2020-11-24;Lingewaard;150;321,9;2;4,3;1;2,1;;WAAR
Lisse;553;Lisse;22955;11-11-2020;2020-11-24;Lisse;62;270,1;0;0;0;0;;WAAR
Lochem;262;Lochem;33729;11-11-2020;2020-11-24;Lochem;103;305,4;3;8,9;1;3;;WAAR
Loon op Zand;809;Loon op Zand;23408;11-11-2020;2020-11-24;Loon op Zand;132;563,9;1;4,3;2;8,5;;WAAR
Lopik;331;Lopik;14467;11-11-2020;2020-11-24;Lopik;54;373,3;0;0;0;0;;WAAR
Loppersum;24;Loppersum;9537;11-11-2020;2020-11-24;Loppersum;13;136,3;1;10,5;0;0;;WAAR
Losser;168;Losser;22683;11-11-2020;2020-11-24;Losser;141;621,6;0;0;0;0;;WAAR
Maasdriel;263;Maasdriel;25030;11-11-2020;2020-11-24;Maasdriel;161;643,2;0;0;4;16;;WAAR
Maasgouw;1641;Maasgouw;23965;11-11-2020;2020-11-24;Maasgouw;62;258,7;0;0;0;0;;WAAR
Maassluis;556;Maassluis;33213;11-11-2020;2020-11-24;Maassluis;162;487,8;4;12;0;0;;WAAR
Maastricht;935;Maastricht;121575;11-11-2020;2020-11-24;Maastricht;365;300,2;1;0,8;1;0,8;;WAAR
Medemblik;420;Medemblik;45101;11-11-2020;2020-11-24;Medemblik;126;279,4;0;0;0;0;;WAAR
Meerssen;938;Meerssen;18828;11-11-2020;2020-11-24;Meerssen;38;201,8;1;5,3;0;0;;WAAR
Meierijstad;1948;Meierijstad;81194;11-11-2020;2020-11-24;Meierijstad;298;367;2;2,5;0;0;;WAAR
Meppel;119;Meppel;33920;11-11-2020;2020-11-24;Meppel;83;244,7;2;5,9;0;0;;WAAR
Middelburg (Z.);687;Middelburg (Z.);48822;11-11-2020;2020-11-24;Middelburg (Z.);69;141,3;0;0;1;2;;WAAR
Midden-Delfland;1842;Midden-Delfland;19341;11-11-2020;2020-11-24;Midden-Delfland;105;542,9;2;10,3;0;0;;WAAR
Midden-Drenthe;1731;Midden-Drenthe;33185;11-11-2020;2020-11-24;Midden-Drenthe;82;247,1;2;6;1;3;;WAAR
Midden-Groningen;1952;Midden-Groningen;60797;11-11-2020;2020-11-24;Midden-Groningen;154;253,3;4;6,6;3;4,9;;WAAR
Mill en Sint Hubert;815;Mill en Sint Hubert;10939;11-11-2020;2020-11-24;Mill en Sint Hubert;38;347,4;0;0;0;0;;WAAR
Moerdijk;1709;Moerdijk;37129;11-11-2020;2020-11-24;Moerdijk;129;347,4;0;0;2;5,4;;WAAR
Molenlanden;1978;Molenlanden;43909;11-11-2020;2020-11-24;Molenlanden;244;555,7;0;0;4;9,1;;WAAR
Montferland;1955;Montferland;36011;11-11-2020;2020-11-24;Montferland;96;266,6;1;2,8;1;2,8;;WAAR
Montfoort;335;Montfoort;13917;11-11-2020;2020-11-24;Montfoort;75;538,9;0;0;0;0;;WAAR
Mook en Middelaar;944;Mook en Middelaar;7847;11-11-2020;2020-11-24;Mook en Middelaar;22;280,4;0;0;0;0;;WAAR
