Gemeente;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000;;;;Municipality_name
Aa en Hunze;7;27,5;0;0;0;0;;;WAAR;Aa en Hunze
Aalsmeer;33;103,6;0;0;0;0;;;WAAR;Aalsmeer
Aalten;17;62,7;0;0;0;0;;;WAAR;Aalten
Achtkarspelen;6;21,5;0;0;0;0;;;WAAR;Achtkarspelen
Alblasserdam;33;163,6;0;0;1;5;;;WAAR;Alblasserdam
Albrandswaard;33;129;0;0;0;0;;;WAAR;Albrandswaard
Alkmaar;78;71,3;2;1,8;0;0;;;WAAR;Alkmaar
Almelo;44;60,2;0;0;0;0;;;WAAR;Almelo
Almere;252;118,9;3;1,4;1;0,5;;;WAAR;Almere
Alphen aan den Rijn;155;138,5;2;1,8;0;0;;;WAAR;Alphen aan den Rijn
Alphen-Chaam;8;78,4;0;0;0;0;;;WAAR;Alphen-Chaam
Altena;9;16,1;0;0;0;0;;;WAAR;Altena
Ameland;0;0;0;0;0;0;;;WAAR;Ameland
Amersfoort;158;100,5;5;3,2;1;0,6;;;WAAR;Amersfoort
Amstelveen;203;221,4;1;1,1;2;2,2;;;WAAR;Amstelveen
Amsterdam;3211;367,9;30;3,4;3;0,3;;;WAAR;Amsterdam
Apeldoorn;86;52,5;3;1,8;1;0,6;;;WAAR;Apeldoorn
Appingedam;5;42,9;0;0;0;0;;;WAAR;Appingedam
Arnhem;134;83,1;0;0;0;0;;;WAAR;Arnhem
Assen;24;35;0;0;0;0;;;WAAR;Assen
Asten;6;35,9;0;0;0;0;;;WAAR;Asten
Baarle-Nassau;0;0;0;0;0;0;;;WAAR;Baarle-Nassau
Baarn;18;72,4;0;0;0;0;;;WAAR;Baarn
Barendrecht;105;215,5;0;0;0;0;;;WAAR;Barendrecht
Barneveld;17;28,8;0;0;1;1,7;;;WAAR;Barneveld
Beek (L.);2;12,6;0;0;0;0;;;WAAR;Beek (L.)
Beekdaelen;15;41,7;0;0;0;0;;;WAAR;Beekdaelen
Beemster;8;79,8;0;0;0;0;;;WAAR;Beemster
Beesel;1;7,4;0;0;0;0;;;WAAR;Beesel
Berg en Dal;28;80;2;5,7;0;0;;;WAAR;Berg en Dal
Bergeijk;58;311,2;0;0;0;0;;;WAAR;Bergeijk
Bergen (L.);6;45,9;0;0;0;0;;;WAAR;Bergen (L.)
Bergen (NH.);22;73,7;1;3,4;0;0;;;WAAR;Bergen (NH.)
Bergen op Zoom;66;97,8;1;1,5;0;0;;;WAAR;Bergen op Zoom
Berkelland;17;38,9;0;0;0;0;;;WAAR;Berkelland
Bernheze;22;70,4;0;0;0;0;;;WAAR;Bernheze
Best;12;40;0;0;0;0;;;WAAR;Best
Beuningen;30;115,9;0;0;0;0;;;WAAR;Beuningen
Beverwijk;46;110,5;0;0;0;0;;;WAAR;Beverwijk
Bladel;21;103;0;0;0;0;;;WAAR;Bladel
Blaricum;8;69,3;0;0;0;0;;;WAAR;Blaricum
Bloemendaal;28;118,8;0;0;0;0;;;WAAR;Bloemendaal
Bodegraven-Reeuwijk;59;169,2;1;2,9;1;2,9;;;WAAR;Bodegraven-Reeuwijk
Boekel;4;37,1;0;0;0;0;;;WAAR;Boekel
Borger-Odoorn;5;19,6;0;0;0;0;;;WAAR;Borger-Odoorn
Borne;9;38,6;0;0;0;0;;;WAAR;Borne
Borsele;11;48,4;0;0;0;0;;;WAAR;Borsele
Boxmeer;14;47,7;0;0;0;0;;;WAAR;Boxmeer
Boxtel;10;32,5;0;0;0;0;;;WAAR;Boxtel
Breda;114;61,9;0;0;0;0;;;WAAR;Breda
Brielle;16;92,6;0;0;0;0;;;WAAR;Brielle
Bronckhorst;17;47,2;0;0;0;0;;;WAAR;Bronckhorst
Brummen;7;33,8;0;0;0;0;;;WAAR;Brummen
Brunssum;17;61,1;1;3,6;0;0;;;WAAR;Brunssum
Bunnik;15;98,7;0;0;0;0;;;WAAR;Bunnik
Bunschoten;10;45,7;0;0;0;0;;;WAAR;Bunschoten
Buren;7;26,2;0;0;0;0;;;WAAR;Buren
Capelle aan den IJssel;120;178,8;1;1,5;1;1,5;;;WAAR;Capelle aan den IJssel
Castricum;10;27,8;0;0;0;0;;;WAAR;Castricum
Coevorden;15;42,5;0;0;0;0;;;WAAR;Coevorden
Cranendonck;6;28,4;0;0;0;0;;;WAAR;Cranendonck
Cuijk;22;87,5;0;0;0;0;;;WAAR;Cuijk
Culemborg;37;127,8;1;3,5;0;0;;;WAAR;Culemborg
Dalfsen;11;38,5;0;0;0;0;;;WAAR;Dalfsen
Dantumadiel;15;79,3;0;0;0;0;;;WAAR;Dantumadiel
De Bilt;36;83,5;1;2,3;0;0;;;WAAR;De Bilt
De Fryske Marren;21;40,7;0;0;0;0;;;WAAR;De Fryske Marren
De Ronde Venen;56;126;1;2,2;0;0;;;WAAR;De Ronde Venen
De Wolden;4;16,4;0;0;0;0;;;WAAR;De Wolden
Delft;292;281,9;1;1;0;0;;;WAAR;Delft
Delfzijl;3;12,2;0;0;0;0;;;WAAR;Delfzijl
Den Helder;11;19,5;0;0;0;0;;;WAAR;Den Helder
Deurne;13;40;0;0;0;0;;;WAAR;Deurne
Deventer;47;46,7;0;0;0;0;;;WAAR;Deventer
Diemen;85;276,2;0;0;0;0;;;WAAR;Diemen
Dinkelland;7;26,5;0;0;0;0;;;WAAR;Dinkelland
Doesburg;7;63,2;0;0;0;0;;;WAAR;Doesburg
Doetinchem;45;77,6;1;1,7;0;0;;;WAAR;Doetinchem
Dongen;11;41,9;0;0;0;0;;;WAAR;Dongen
Dordrecht;109;91,4;0;0;1;0,8;;;WAAR;Dordrecht
Drechterland;12;60,9;0;0;0;0;;;WAAR;Drechterland
Drimmelen;15;55;0;0;0;0;;;WAAR;Drimmelen
Dronten;11;26,5;0;0;0;0;;;WAAR;Dronten
Druten;12;63,4;0;0;0;0;;;WAAR;Druten
Duiven;20;79,6;0;0;0;0;;;WAAR;Duiven
Echt-Susteren;6;19;0;0;0;0;;;WAAR;Echt-Susteren
Edam-Volendam;47;129,8;0;0;0;0;;;WAAR;Edam-Volendam
Ede;113;96,4;1;0,9;0;0;;;WAAR;Ede
Eemnes;3;32,4;0;0;0;0;;;WAAR;Eemnes
Eersel;38;196,8;0;0;0;0;;;WAAR;Eersel
Eijsden-Margraten;5;19,4;0;0;0;0;;;WAAR;Eijsden-Margraten
Eindhoven;260;110,9;1;0,4;1;0,4;;;WAAR;Eindhoven
Elburg;11;47,5;0;0;0;0;;;WAAR;Elburg
Emmen;66;61,7;0;0;0;0;;;WAAR;Emmen
Enkhuizen;9;48,4;0;0;0;0;;;WAAR;Enkhuizen
Enschede;76;47,6;1;0,6;0;0;;;WAAR;Enschede
Epe;17;51,2;0;0;0;0;;;WAAR;Epe
Ermelo;20;74,1;0;0;0;0;;;WAAR;Ermelo
Etten-Leur;37;84,3;1;2,3;0;0;;;WAAR;Etten-Leur
Geertruidenberg;7;32,5;0;0;0;0;;;WAAR;Geertruidenberg
Geldrop-Mierlo;13;32,7;0;0;0;0;;;WAAR;Geldrop-Mierlo
Gemert-Bakel;9;29,3;0;0;0;0;;;WAAR;Gemert-Bakel
Gennep;5;29,5;0;0;0;0;;;WAAR;Gennep
Gilze en Rijen;12;45,4;0;0;0;0;;;WAAR;Gilze en Rijen
Goeree-Overflakkee;52;103,9;0;0;0;0;;;WAAR;Goeree-Overflakkee
Goes;22;57,8;0;0;0;0;;;WAAR;Goes
Goirle;45;188,3;0;0;0;0;;;WAAR;Goirle
Gooise Meren;79;136,1;1;1,7;0;0;;;WAAR;Gooise Meren
Gorinchem;47;127;0;0;0;0;;;WAAR;Gorinchem
Gouda;90;122,6;1;1,4;1;1,4;;;WAAR;Gouda
Grave;14;112,6;0;0;0;0;;;WAAR;Grave
Groningen (gemeente);403;173,1;0;0;0;0;;;WAAR;Groningen (gemeente)
Gulpen-Wittem;6;42,3;0;0;0;0;;;WAAR;Gulpen-Wittem
Haaksbergen;56;230,3;1;4,1;0;0;;;WAAR;Haaksbergen
Haaren;2;13,9;0;0;0;0;;;WAAR;Haaren
Haarlem;210;128,9;5;3,1;2;1,2;;;WAAR;Haarlem
Haarlemmermeer;235;150,6;4;2,6;0;0;;;WAAR;Haarlemmermeer
Halderberge;23;75,9;0;0;0;0;;;WAAR;Halderberge
Hardenberg;10;16,4;0;0;0;0;;;WAAR;Hardenberg
Harderwijk;41;84,7;0;0;0;0;;;WAAR;Harderwijk
Hardinxveld-Giessendam;9;49,2;0;0;0;0;;;WAAR;Hardinxveld-Giessendam
Harlingen;4;25,4;0;0;0;0;;;WAAR;Harlingen
Hattem;9;73,7;2;16,4;0;0;;;WAAR;Hattem
Heemskerk;28;71,5;0;0;0;0;;;WAAR;Heemskerk
Heemstede;27;99,1;0;0;1;3,7;;;WAAR;Heemstede
