Gemeente;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000;;;;Municipality_name
Zaanstad;1035;660,1;8;5,1;2;1,3;;;WAAR;Zaanstad
Zaltbommel;144;498,6;2;6,9;1;3,5;;;WAAR;Zaltbommel
Zandvoort;55;321,3;0;0;0;0;;;WAAR;Zandvoort
Zeewolde;67;295,8;1;4,4;0;0;;;WAAR;Zeewolde
Zeist;389;599,3;2;3,1;0;0;;;WAAR;Zeist
Zevenaar;134;306,3;3;6,9;0;0;;;WAAR;Zevenaar
Zoetermeer;714;569,9;1;0,8;0;0;;;WAAR;Zoetermeer
Zoeterwoude;52;604,3;1;11,6;0;0;;;WAAR;Zoeterwoude
Zuidplas;276;628,9;1;2,3;0;0;;;WAAR;Zuidplas
Zundert;140;641,3;0;0;0;0;;;WAAR;Zundert
Zutphen;138;287,9;1;2,1;0;0;;;WAAR;Zutphen
Zwartewaterland;83;365,9;0;0;1;4,4;;;WAAR;Zwartewaterland
Zwijndrecht;303;677,3;0;0;2;4,5;;;WAAR;Zwijndrecht
Zwolle;385;298,8;0;0;0;0;;;WAAR;Zwolle
