Gemeente;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000;;;;Municipality_name
Aa en Hunze;96;377,3;0;0;1;3,9;;;WAAR;Aa en Hunze
Aalsmeer;196;615,2;0;0;1;3,1;;;WAAR;Aalsmeer
Aalten;147;542;2;7,4;0;0;;;WAAR;Aalten
Achtkarspelen;75;269,4;0;0;0;0;;;WAAR;Achtkarspelen
Alblasserdam;161;798,4;0;0;0;0;;;WAAR;Alblasserdam
Albrandswaard;189;738,6;1;3,9;0;0;;;WAAR;Albrandswaard
Alkmaar;403;368,3;3;2,7;0;0;;;WAAR;Alkmaar
Almelo;336;459,6;1;1,4;3;4,1;;;WAAR;Almelo
Almere;898;423,8;13;6,1;0;0;;;WAAR;Almere
Alphen aan den Rijn;683;610,4;6;5,4;5;4,5;;;WAAR;Alphen aan den Rijn
Alphen-Chaam;43;421,4;0;0;0;0;;;WAAR;Alphen-Chaam
Altena;325;580,7;0;0;1;1,8;;;WAAR;Altena
Ameland;16;430,6;0;0;0;0;;;WAAR;Ameland
Amersfoort;867;551,3;1;0,6;3;1,9;;;WAAR;Amersfoort
Amstelveen;569;620,7;3;3,3;2;2,2;;;WAAR;Amstelveen
Amsterdam;7837;898;81;9,3;6;0,7;;;WAAR;Amsterdam
Apeldoorn;426;260;2;1,2;1;0,6;;;WAAR;Apeldoorn
Appingedam;17;146;2;17,2;0;0;;;WAAR;Appingedam
Arnhem;644;399,1;3;1,9;0;0;;;WAAR;Arnhem
Assen;247;360,1;1;1,5;0;0;;;WAAR;Assen
Asten;58;346,9;0;0;0;0;;;WAAR;Asten
Baarle-Nassau;25;364,5;0;0;0;0;;;WAAR;Baarle-Nassau
Baarn;135;542,9;0;0;0;0;;;WAAR;Baarn
Barendrecht;384;788,3;0;0;2;4,1;;;WAAR;Barendrecht
Barneveld;262;443,5;2;3,4;1;1,7;;;WAAR;Barneveld
Beek (L.);46;289,9;1;6,3;0;0;;;WAAR;Beek (L.)
Beekdaelen;68;189,2;0;0;2;5,6;;;WAAR;Beekdaelen
Beemster;32;319,3;0;0;0;0;;;WAAR;Beemster
Beesel;63;467,3;0;0;0;0;;;WAAR;Beesel
Berg en Dal;214;611,6;2;5,7;1;2,9;;;WAAR;Berg en Dal
Bergeijk;95;509,8;0;0;0;0;;;WAAR;Bergeijk
Bergen (L.);47;359,2;1;7,6;0;0;;;WAAR;Bergen (L.)
Bergen (NH.);159;532,9;1;3,4;0;0;;;WAAR;Bergen (NH.)
Bergen op Zoom;478;708,2;7;10,4;2;3;;;WAAR;Bergen op Zoom
Berkelland;213;486,9;3;6,9;2;4,6;;;WAAR;Berkelland
Bernheze;163;521,8;1;3,2;0;0;;;WAAR;Bernheze
Best;133;443,5;0;0;1;3,3;;;WAAR;Best
Beuningen;86;332,2;0;0;0;0;;;WAAR;Beuningen
Beverwijk;202;485,3;3;7,2;1;2,4;;;WAAR;Beverwijk
Bladel;227;1113,3;0;0;0;0;;;WAAR;Bladel
Blaricum;49;424,6;0;0;0;0;;;WAAR;Blaricum
Bloemendaal;96;407,3;1;4,2;1;4,2;;;WAAR;Bloemendaal
Bodegraven-Reeuwijk;201;576,4;2;5,7;1;2,9;;;WAAR;Bodegraven-Reeuwijk
Boekel;40;370,9;2;18,5;0;0;;;WAAR;Boekel
Borger-Odoorn;140;547,8;1;3,9;0;0;;;WAAR;Borger-Odoorn
Borne;140;600,5;1;4,3;0;0;;;WAAR;Borne
Borsele;33;145,1;0;0;0;0;;;WAAR;Borsele
Boxmeer;147;500,6;0;0;0;0;;;WAAR;Boxmeer
Boxtel;116;376,6;0;0;0;0;;;WAAR;Boxtel
Breda;1103;599,2;8;4,3;2;1,1;;;WAAR;Breda
Brielle;113;654,3;1;5,8;0;0;;;WAAR;Brielle
Bronckhorst;205;568,6;1;2,8;0;0;;;WAAR;Bronckhorst
Brummen;46;221,9;0;0;0;0;;;WAAR;Brummen
Brunssum;63;226,4;3;10,8;0;0;;;WAAR;Brunssum
Bunnik;65;427,9;2;13,2;0;0;;;WAAR;Bunnik
Bunschoten;198;905,5;1;4,6;0;0;;;WAAR;Bunschoten
Buren;137;512,2;2;7,5;0;0;;;WAAR;Buren
Capelle aan den IJssel;443;660;3;4,5;0;0;;;WAAR;Capelle aan den IJssel
Castricum;136;377,9;2;5,6;0;0;;;WAAR;Castricum
Coevorden;117;331,5;0;0;0;0;;;WAAR;Coevorden
Cranendonck;110;520,4;0;0;0;0;;;WAAR;Cranendonck
Cuijk;118;469,6;1;4;0;0;;;WAAR;Cuijk
Culemborg;186;642,4;0;0;1;3,5;;;WAAR;Culemborg
Dalfsen;140;489,7;0;0;0;0;;;WAAR;Dalfsen
Dantumadiel;29;153,3;0;0;0;0;;;WAAR;Dantumadiel
De Bilt;306;709,4;1;2,3;0;0;;;WAAR;De Bilt
De Fryske Marren;159;308,4;3;5,8;0;0;;;WAAR;De Fryske Marren
De Ronde Venen;242;544,4;2;4,5;1;2,2;;;WAAR;De Ronde Venen
De Wolden;83;341,1;3;12,3;0;0;;;WAAR;De Wolden
Delft;677;653,5;0;0;2;1,9;;;WAAR;Delft
Delfzijl;18;72,9;0;0;0;0;;;WAAR;Delfzijl
Den Helder;124;220,3;2;3,6;0;0;;;WAAR;Den Helder
Deurne;172;529,7;0;0;1;3,1;;;WAAR;Deurne
Deventer;387;384,2;0;0;2;2;;;WAAR;Deventer
Diemen;270;877,2;2;6,5;0;0;;;WAAR;Diemen
Dinkelland;195;736,9;0;0;0;0;;;WAAR;Dinkelland
Doesburg;70;631,9;0;0;0;0;;;WAAR;Doesburg
Doetinchem;264;455,2;1;1,7;0;0;;;WAAR;Doetinchem
Dongen;124;472,9;0;0;0;0;;;WAAR;Dongen
Dordrecht;752;630,4;1;0,8;6;5;;;WAAR;Dordrecht
Drechterland;95;481,8;0;0;0;0;;;WAAR;Drechterland
Drimmelen;110;403,3;0;0;0;0;;;WAAR;Drimmelen
Dronten;88;211,8;3;7,2;1;2,4;;;WAAR;Dronten
Druten;82;433,3;0;0;0;0;;;WAAR;Druten
Duiven;104;413,9;1;4;0;0;;;WAAR;Duiven
Echt-Susteren;64;202,5;1;3,2;1;3,2;;;WAAR;Echt-Susteren
Edam-Volendam;320;884,1;5;13,8;1;2,8;;;WAAR;Edam-Volendam
Ede;554;472,8;7;6;2;1,7;;;WAAR;Ede
Eemnes;37;400,1;0;0;0;0;;;WAAR;Eemnes
Eersel;127;657,6;1;5,2;0;0;;;WAAR;Eersel
Eijsden-Margraten;92;357;1;3,9;0;0;;;WAAR;Eijsden-Margraten
Eindhoven;1083;462;2;0,9;3;1,3;;;WAAR;Eindhoven
Elburg;66;285;0;0;0;0;;;WAAR;Elburg
Emmen;543;507,2;9;8,4;2;1,9;;;WAAR;Emmen
Enkhuizen;42;225,9;0;0;0;0;;;WAAR;Enkhuizen
Enschede;800;501,1;0;0;2;1,3;;;WAAR;Enschede
Epe;91;274,3;0;0;0;0;;;WAAR;Epe
Ermelo;53;196,2;0;0;0;0;;;WAAR;Ermelo
Etten-Leur;297;676,9;2;4,6;0;0;;;WAAR;Etten-Leur
Geertruidenberg;112;519,9;0;0;0;0;;;WAAR;Geertruidenberg
Geldrop-Mierlo;170;427,9;0;0;0;0;;;WAAR;Geldrop-Mierlo
Gemert-Bakel;120;390,6;0;0;0;0;;;WAAR;Gemert-Bakel
Gennep;44;260;0;0;0;0;;;WAAR;Gennep
Gilze en Rijen;123;465,4;0;0;0;0;;;WAAR;Gilze en Rijen
Goeree-Overflakkee;193;385,6;0;0;0;0;;;WAAR;Goeree-Overflakkee
Goes;74;194,3;1;2,6;0;0;;;WAAR;Goes
Goirle;105;439,3;0;0;1;4,2;;;WAAR;Goirle
Gooise Meren;313;539,1;2;3,4;0;0;;;WAAR;Gooise Meren
Gorinchem;183;494,3;0;0;0;0;;;WAAR;Gorinchem
Gouda;480;653,7;3;4,1;2;2,7;;;WAAR;Gouda
Grave;70;562,9;0;0;0;0;;;WAAR;Grave
Groningen (gemeente);1041;447;1;0,4;0;0;;;WAAR;Groningen (gemeente)
Gulpen-Wittem;56;395,2;1;7,1;0;0;;;WAAR;Gulpen-Wittem
Haaksbergen;107;440,1;1;4,1;3;12,3;;;WAAR;Haaksbergen
Haaren;63;438,4;0;0;0;0;;;WAAR;Haaren
Haarlem;797;489,3;9;5,5;2;1,2;;;WAAR;Haarlem
Haarlemmermeer;947;607;9;5,8;5;3,2;;;WAAR;Haarlemmermeer
Halderberge;191;630,7;7;23,1;1;3,3;;;WAAR;Halderberge
Hardenberg;222;364,2;0;0;0;0;;;WAAR;Hardenberg
Harderwijk;190;392,4;2;4,1;0;0;;;WAAR;Harderwijk
Hardinxveld-Giessendam;102;557,5;0;0;0;0;;;WAAR;Hardinxveld-Giessendam
Harlingen;36;229;0;0;0;0;;;WAAR;Harlingen
Hattem;35;286,7;0;0;0;0;;;WAAR;Hattem
Heemskerk;193;492,6;2;5,1;1;2,6;;;WAAR;Heemskerk
Heemstede;91;334,1;2;7,3;2;7,3;;;WAAR;Heemstede
Heerde;31;166,8;0;0;0;0;;;WAAR;Heerde
Heerenveen;121;239,6;2;4;1;2;;;WAAR;Heerenveen
Heerhugowaard;163;283;1;1,7;0;0;;;WAAR;Heerhugowaard
Heerlen;147;168,8;1;1,1;0;0;;;WAAR;Heerlen
Heeze-Leende;101;625,3;1;6,2;0;0;;;WAAR;Heeze-Leende
Heiloo;86;358,8;1;4,2;0;0;;;WAAR;Heiloo
Hellendoorn;160;445,5;5;13,9;1;2,8;;;WAAR;Hellendoorn
Hellevoetsluis;183;455,9;1;2,5;0;0;;;WAAR;Hellevoetsluis
Helmond;630;681,6;3;3,2;0;0;;;WAAR;Helmond
Hendrik-Ido-Ambacht;203;650,6;0;0;0;0;;;WAAR;Hendrik-Ido-Ambacht
Hengelo (O.);477;587,9;3;3,7;3;3,7;;;WAAR;Hengelo (O.)
Het Hogeland;112;234,3;0;0;1;2,1;;;WAAR;Het Hogeland
Heumen;102;619,9;0;0;2;12,2;;;WAAR;Heumen
Heusden;224;501,2;2;4,5;1;2,2;;;WAAR;Heusden
Hillegom;108;486,3;0;0;0;0;;;WAAR;Hillegom
Hilvarenbeek;55;354,4;1;6,4;1;6,4;;;WAAR;Hilvarenbeek
Hilversum;404;444,8;0;0;1;1,1;;;WAAR;Hilversum
Hoeksche Waard;505;577,8;2;2,3;2;2,3;;;WAAR;Hoeksche Waard
Hof van Twente;170;485,5;0;0;1;2,9;;;WAAR;Hof van Twente
Hollands Kroon;129;266,4;0;0;0;0;;;WAAR;Hollands Kroon
Hoogeveen;214;384,2;3;5,4;2;3,6;;;WAAR;Hoogeveen
Hoorn;272;371,3;2;2,7;0;0;;;WAAR;Hoorn
Horst aan de Maas;205;483,2;0;0;1;2,4;;;WAAR;Horst aan de Maas
Houten;244;486,6;3;6;1;2;;;WAAR;Houten
Huizen;250;605,7;1;2,4;0;0;;;WAAR;Huizen
Hulst;77;279,4;1;3,6;0;0;;;WAAR;Hulst
IJsselstein;232;680,2;2;5,9;0;0;;;WAAR;IJsselstein
Kaag en Braassem;170;622,8;0;0;0;0;;;WAAR;Kaag en Braassem
Kampen;106;195,1;0;0;0;0;;;WAAR;Kampen
Kapelle;27;212,7;0;0;0;0;;;WAAR;Kapelle
Katwijk;530;806;4;6,1;2;3;;;WAAR;Katwijk
Kerkrade;111;242,6;2;4,4;1;2,2;;;WAAR;Kerkrade
Koggenland;55;241,8;0;0;0;0;;;WAAR;Koggenland
Krimpen aan den IJssel;233;789,1;0;0;0;0;;;WAAR;Krimpen aan den IJssel
Krimpenerwaard;347;616,1;2;3,6;1;1,8;;;WAAR;Krimpenerwaard
Laarbeek;100;444;0;0;0;0;;;WAAR;Laarbeek
Landerd;112;712;0;0;0;0;;;WAAR;Landerd
Landgraaf;59;157,6;0;0;0;0;;;WAAR;Landgraaf
Landsmeer;49;426,4;2;17,4;0;0;;;WAAR;Landsmeer
Langedijk;101;358,6;1;3,6;3;10,7;;;WAAR;Langedijk
Lansingerland;404;647,6;0;0;0;0;;;WAAR;Lansingerland
Laren (NH.);48;425,5;1;8,9;1;8,9;;;WAAR;Laren (NH.)
Leeuwarden;414;333,6;3;2,4;2;1,6;;;WAAR;Leeuwarden
Leiden;803;641,9;2;1,6;2;1,6;;;WAAR;Leiden
Leiderdorp;206;761,4;1;3,7;0;0;;;WAAR;Leiderdorp
Leidschendam-Voorburg;402;525,3;1;1,3;4;5,2;;;WAAR;Leidschendam-Voorburg
Lelystad;252;320,6;5;6,4;0;0;;;WAAR;Lelystad
Leudal;102;284,3;0;0;0;0;;;WAAR;Leudal
Leusden;139;457,2;1;3,3;1;3,3;;;WAAR;Leusden
Lingewaard;216;463,5;2;4,3;0;0;;;WAAR;Lingewaard
Lisse;139;605,5;1;4,4;0;0;;;WAAR;Lisse
Lochem;123;364,7;0;0;0;0;;;WAAR;Lochem
Loon op Zand;117;499,8;0;0;7;29,9;;;WAAR;Loon op Zand
Lopik;78;539,2;2;13,8;0;0;;;WAAR;Lopik
Loppersum;11;115,3;0;0;0;0;;;WAAR;Loppersum
Losser;106;467,3;0;0;2;8,8;;;WAAR;Losser
Maasdriel;129;515,4;0;0;1;4;;;WAAR;Maasdriel
Maasgouw;50;208,6;0;0;0;0;;;WAAR;Maasgouw
Maassluis;252;758,7;1;3;0;0;;;WAAR;Maassluis
Maastricht;259;213;0;0;0;0;;;WAAR;Maastricht
Medemblik;149;330,4;0;0;0;0;;;WAAR;Medemblik
Meerssen;31;164,6;0;0;0;0;;;WAAR;Meerssen
Meierijstad;347;427,4;0;0;0;0;;;WAAR;Meierijstad
Meppel;74;218,2;0;0;0;0;;;WAAR;Meppel
Middelburg (Z.);60;122,9;0;0;0;0;;;WAAR;Middelburg (Z.)
Midden-Delfland;126;651,5;0;0;0;0;;;WAAR;Midden-Delfland
Midden-Drenthe;122;367,6;0;0;0;0;;;WAAR;Midden-Drenthe
Midden-Groningen;148;243,4;2;3,3;0;0;;;WAAR;Midden-Groningen
Mill en Sint Hubert;81;740,5;0;0;0;0;;;WAAR;Mill en Sint Hubert
Moerdijk;228;614,1;1;2,7;0;0;;;WAAR;Moerdijk
Molenlanden;213;485,1;0;0;0;0;;;WAAR;Molenlanden
Montferland;143;397,1;2;5,6;0;0;;;WAAR;Montferland
Montfoort;62;445,5;0;0;0;0;;;WAAR;Montfoort
Mook en Middelaar;38;484,3;0;0;0;0;;;WAAR;Mook en Middelaar
Neder-Betuwe;156;640,9;1;4,1;1;4,1;;;WAAR;Neder-Betuwe
Nederweert;60;352,5;2;11,8;0;0;;;WAAR;Nederweert
Nieuwegein;350;551,5;4;6,3;0;0;;;WAAR;Nieuwegein
Nieuwkoop;139;482,5;2;6,9;0;0;;;WAAR;Nieuwkoop
Nijkerk;255;590,7;1;2,3;1;2,3;;;WAAR;Nijkerk
Nijmegen;787;443;11;6,2;2;1,1;;;WAAR;Nijmegen
Nissewaard;560;657,1;2;2,3;0;0;;;WAAR;Nissewaard
Noardeast-Fryslan;60;132,7;0;0;0;0;;;WAAR;Noardeast-Fryslan
Noord-Beveland;18;243,5;0;0;0;0;;;WAAR;Noord-Beveland
Noordenveld;72;230,4;2;6,4;1;3,2;;;WAAR;Noordenveld
Noordoostpolder;155;327,8;1;2,1;1;2,1;;;WAAR;Noordoostpolder
Noordwijk;243;558,5;3;6,9;1;2,3;;;WAAR;Noordwijk
Nuenen, Gerwen en Nederwetten;110;470,4;1;4,3;1;4,3;;;WAAR;Nuenen, Gerwen en Nederwetten
Nunspeet;78;280,1;2;7,2;0;0;;;WAAR;Nunspeet
Oegstgeest;141;567,6;1;4;0;0;;;WAAR;Oegstgeest
Oirschot;123;657,3;3;16;0;0;;;WAAR;Oirschot
Oisterwijk;113;430,6;2;7,6;0;0;;;WAAR;Oisterwijk
Oldambt;72;188,4;1;2,6;0;0;;;WAAR;Oldambt
Oldebroek;43;181,8;0;0;0;0;;;WAAR;Oldebroek
Oldenzaal;243;763,3;1;3,1;4;12,6;;;WAAR;Oldenzaal
Olst-Wijhe;63;345,2;0;0;0;0;;;WAAR;Olst-Wijhe
Ommen;30;166,6;0;0;0;0;;;WAAR;Ommen
Oost Gelre;188;634,6;1;3,4;3;10,1;;;WAAR;Oost Gelre
Oosterhout;299;534,1;1;1,8;0;0;;;WAAR;Oosterhout
Ooststellingwerf;60;235,6;2;7,9;0;0;;;WAAR;Ooststellingwerf
Oostzaan;99;1016,9;0;0;0;0;;;WAAR;Oostzaan
Opmeer;21;177,4;0;0;0;0;;;WAAR;Opmeer
Opsterland;73;245,5;0;0;0;0;;;WAAR;Opsterland
Oss;542;589,7;2;2,2;2;2,2;;;WAAR;Oss
Oude IJsselstreek;125;317,4;2;5,1;0;0;;;WAAR;Oude IJsselstreek
Ouder-Amstel;115;819,9;1;7,1;0;0;;;WAAR;Ouder-Amstel
Oudewater;59;576,7;1;9,8;0;0;;;WAAR;Oudewater
Overbetuwe;172;359;3;6,3;0;0;;;WAAR;Overbetuwe
Papendrecht;152;473;0;0;1;3,1;;;WAAR;Papendrecht
Peel en Maas;225;518,1;0;0;0;0;;;WAAR;Peel en Maas
Pekela;35;287;1;8,2;0;0;;;WAAR;Pekela
Pijnacker-Nootdorp;374;676,2;0;0;1;1,8;;;WAAR;Pijnacker-Nootdorp
Purmerend;404;497,2;1;1,2;1;1,2;;;WAAR;Purmerend
Putten;72;298,6;0;0;0;0;;;WAAR;Putten
Raalte;159;421,6;0;0;1;2,7;;;WAAR;Raalte
Reimerswaal;83;365,2;1;4,4;0;0;;;WAAR;Reimerswaal
Renkum;143;455,1;0;0;3;9,5;;;WAAR;Renkum
Renswoude;19;349;0;0;0;0;;;WAAR;Renswoude
Reusel-De Mierden;118;899,9;1;7,6;0;0;;;WAAR;Reusel-De Mierden
Rheden;133;303,9;1;2,3;0;0;;;WAAR;Rheden
Rhenen;144;715,7;0;0;0;0;;;WAAR;Rhenen
Ridderkerk;365;790,2;1;2,2;0;0;;;WAAR;Ridderkerk
Rijssen-Holten;114;298,6;0;0;0;0;;;WAAR;Rijssen-Holten
Rijswijk (ZH.);386;708,9;4;7,3;3;5,5;;;WAAR;Rijswijk (ZH.)
Roerdalen;29;141;0;0;0;0;;;WAAR;Roerdalen
Roermond;149;255,8;1;1,7;1;1,7;;;WAAR;Roermond
Roosendaal;521;674,4;4;5,2;1;1,3;;;WAAR;Roosendaal
Rotterdam;5272;809,6;36;5,5;11;1,7;;;WAAR;Rotterdam
Rozendaal;3;176,1;0;0;0;0;;;WAAR;Rozendaal
Rucphen;182;795,5;1;4,4;0;0;;;WAAR;Rucphen
Schagen;153;329,2;0;0;0;0;;;WAAR;Schagen
Scherpenzeel;40;404,9;0;0;0;0;;;WAAR;Scherpenzeel
Schiedam;601;763,4;2;2,5;0;0;;;WAAR;Schiedam
Schiermonnikoog;1;105,6;1;105,6;0;0;;;WAAR;Schiermonnikoog
Schouwen-Duiveland;91;268,9;0;0;4;11,8;;;WAAR;Schouwen-Duiveland
's-Gravenhage (gemeente);3935;720,9;42;7,7;18;3,3;;;WAAR;'s-Gravenhage (gemeente)
's-Hertogenbosch;780;502,9;1;0,6;2;1,3;;;WAAR;'s-Hertogenbosch
Simpelveld;12;113,7;0;0;0;0;;;WAAR;Simpelveld
Sint Anthonis;63;540,1;1;8,6;0;0;;;WAAR;Sint Anthonis
Sint-Michielsgestel;146;499,9;1;3,4;0;0;;;WAAR;Sint-Michielsgestel
Sittard-Geleen;198;214,2;2;2,2;1;1,1;;;WAAR;Sittard-Geleen
Sliedrecht;112;444,1;0;0;0;0;;;WAAR;Sliedrecht
Sluis;17;73,2;0;0;0;0;;;WAAR;Sluis
Smallingerland;155;276;3;5,3;0;0;;;WAAR;Smallingerland
Soest;359;770,3;6;12,9;1;2,1;;;WAAR;Soest
Someren;66;340,8;0;0;0;0;;;WAAR;Someren
Son en Breugel;72;415,7;0;0;0;0;;;WAAR;Son en Breugel
Stadskanaal;78;246,2;1;3,2;0;0;;;WAAR;Stadskanaal
Staphorst;120;699,9;0;0;0;0;;;WAAR;Staphorst
Stede Broec;53;243,9;1;4,6;0;0;;;WAAR;Stede Broec
Steenbergen;152;622,5;4;16,4;0;0;;;WAAR;Steenbergen
Steenwijkerland;110;249,3;0;0;0;0;;;WAAR;Steenwijkerland
Stein (L.);45;179,9;1;4;0;0;;;WAAR;Stein (L.)
Stichtse Vecht;368;566,8;4;6,2;0;0;;;WAAR;Stichtse Vecht
Sudwest-Fryslan;332;368,9;1;1,1;0;0;;;WAAR;Sudwest-Fryslan
Terneuzen;121;222,3;0;0;0;0;;;WAAR;Terneuzen
Terschelling;33;675,1;1;20,5;0;0;;;WAAR;Terschelling
Texel;24;176,8;0;0;0;0;;;WAAR;Texel
Teylingen;212;566,2;0;0;2;5,3;;;WAAR;Teylingen
Tholen;84;326,1;0;0;2;7,8;;;WAAR;Tholen
Tiel;226;536,1;2;4,7;1;2,4;;;WAAR;Tiel
Tilburg;925;420,9;2;0,9;4;1,8;;;WAAR;Tilburg
Tubbergen;246;1156,3;0;0;1;4,7;;;WAAR;Tubbergen
Twenterand;134;397,1;0;0;0;0;;;WAAR;Twenterand
Tynaarlo;105;309,9;2;5,9;0;0;;;WAAR;Tynaarlo
Tytsjerksteradiel;73;227,8;1;3,1;0;0;;;WAAR;Tytsjerksteradiel
Uden;148;351,4;0;0;0;0;;;WAAR;Uden
Uitgeest;74;541,5;0;0;0;0;;;WAAR;Uitgeest
Uithoorn;174;590,3;3;10,2;0;0;;;WAAR;Uithoorn
Urk;23;109,4;0;0;0;0;;;WAAR;Urk
Utrecht (gemeente);3095;865,5;14;3,9;1;0,3;;;WAAR;Utrecht (gemeente)
Utrechtse Heuvelrug;330;665,6;1;2;0;0;;;WAAR;Utrechtse Heuvelrug
Vaals;18;178,1;0;0;0;0;;;WAAR;Vaals
Valkenburg aan de Geul;58;354,4;0;0;0;0;;;WAAR;Valkenburg aan de Geul
Valkenswaard;176;564,2;0;0;0;0;;;WAAR;Valkenswaard
Veendam;60;219,1;0;0;0;0;;;WAAR;Veendam
Veenendaal;491;738,4;1;1,5;0;0;;;WAAR;Veenendaal
Veere;32;146,3;2;9,1;0;0;;;WAAR;Veere
Veldhoven;270;593,9;0;0;0;0;;;WAAR;Veldhoven
Velsen;280;407,9;6;8,7;0;0;;;WAAR;Velsen
Venlo;518;508,8;2;2;1;1;;;WAAR;Venlo
Venray;237;543,4;1;2,3;1;2,3;;;WAAR;Venray
Vijfheerenlanden;293;515,7;3;5,3;0;0;;;WAAR;Vijfheerenlanden
Vlaardingen;588;801,1;2;2,7;0;0;;;WAAR;Vlaardingen
Vlieland;4;346,3;0;0;0;0;;;WAAR;Vlieland
Vlissingen;79;178,1;0;0;0;0;;;WAAR;Vlissingen
Voerendaal;20;160,3;0;0;0;0;;;WAAR;Voerendaal
Voorschoten;124;484,5;1;3,9;0;0;;;WAAR;Voorschoten
Voorst;61;248,5;0;0;0;0;;;WAAR;Voorst
Vught;125;470,7;0;0;0;0;;;WAAR;Vught
Waadhoeke;134;290,7;0;0;1;2,2;;;WAAR;Waadhoeke
Waalre;88;504,1;0;0;0;0;;;WAAR;Waalre
Waalwijk;240;493,5;2;4,1;0;0;;;WAAR;Waalwijk
Waddinxveen;169;577;3;10,2;0;0;;;WAAR;Waddinxveen
Wageningen;190;479;0;0;7;17,6;;;WAAR;Wageningen
Wassenaar;137;520,8;0;0;0;0;;;WAAR;Wassenaar
Waterland;130;746,1;1;5,7;0;0;;;WAAR;Waterland
Weert;205;409,1;1;2;0;0;;;WAAR;Weert
Weesp;108;547,2;0;0;1;5,1;;;WAAR;Weesp
West Betuwe;243;475,3;5;9,8;3;5,9;;;WAAR;West Betuwe
West Maas en Waal;78;403,6;2;10,3;0;0;;;WAAR;West Maas en Waal
Westerkwartier;174;274,8;3;4,7;0;0;;;WAAR;Westerkwartier
Westerveld;28;143,9;0;0;0;0;;;WAAR;Westerveld
Westervoort;40;267,2;0;0;0;0;;;WAAR;Westervoort
Westerwolde;82;318,7;3;11,7;0;0;;;WAAR;Westerwolde
Westland;714;646,9;2;1,8;0;0;;;WAAR;Westland
Weststellingwerf;63;243,1;0;0;0;0;;;WAAR;Weststellingwerf
Westvoorne;112;760,3;0;0;0;0;;;WAAR;Westvoorne
Wierden;155;634,1;0;0;0;0;;;WAAR;Wierden
Wijchen;172;418,4;3;7,3;1;2,4;;;WAAR;Wijchen
Wijdemeren;137;562,4;1;4,1;0;0;;;WAAR;Wijdemeren
Wijk bij Duurstede;114;476,7;1;4,2;1;4,2;;;WAAR;Wijk bij Duurstede
Winterswijk;85;294,6;0;0;0;0;;;WAAR;Winterswijk
Woensdrecht;144;658,3;0;0;2;9,1;;;WAAR;Woensdrecht
Woerden;292;558,3;4;7,6;1;1,9;;;WAAR;Woerden
Wormerland;113;694,5;1;6,1;4;24,6;;;WAAR;Wormerland
Woudenberg;68;508,9;0;0;0;0;;;WAAR;Woudenberg
