Gemeente;Gemnr;Gemeente;Bev_2020;van_datum;tot_datum;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000;Gemeente;
Aa en Hunze;1680;WAAR;25445;16-12-2020;2020-12-29;124;487,3;1;3,9;0;0;Aa en Hunze;Aa en Hunze
Aalsmeer;358;WAAR;31859;16-12-2020;2020-12-29;226;709,4;0;0;0;0;Aalsmeer;Aalsmeer
Aalten;197;WAAR;27121;16-12-2020;2020-12-29;274;1010,3;3;11,1;2;7,4;Aalten;Aalten
Achtkarspelen;59;WAAR;27843;16-12-2020;2020-12-29;176;632,1;1;3,6;0;0;Achtkarspelen;Achtkarspelen
Alblasserdam;482;WAAR;20165;16-12-2020;2020-12-29;201;996,8;1;5;2;9,9;Alblasserdam;Alblasserdam
Albrandswaard;613;WAAR;25590;16-12-2020;2020-12-29;177;691,7;1;3,9;0;0;Albrandswaard;Albrandswaard
Alkmaar;361;WAAR;109436;16-12-2020;2020-12-29;780;712,7;1;0,9;2;1,8;Alkmaar;Alkmaar
Almelo;141;WAAR;73107;16-12-2020;2020-12-29;675;923,3;5;6,8;6;8,2;Almelo;Almelo
Almere;34;WAAR;211893;16-12-2020;2020-12-29;2106;993,9;18;8,5;1;0,5;Almere;Almere
Alphen aan den Rijn;484;WAAR;111897;16-12-2020;2020-12-29;1018;909,8;5;4,5;7;6,3;Alphen aan den Rijn;Alphen aan den Rijn
Alphen-Chaam;1723;WAAR;10203;16-12-2020;2020-12-29;53;519,5;1;9,8;0;0;Alphen-Chaam;Alphen-Chaam
Altena;1959;WAAR;55967;16-12-2020;2020-12-29;734;1311,5;3;5,4;8;14,3;Altena;Altena
Ameland;60;WAAR;3716;16-12-2020;2020-12-29;41;1103,3;0;0;0;0;Ameland;Ameland
Amersfoort;307;WAAR;157276;16-12-2020;2020-12-29;1419;902,2;11;7;6;3,8;Amersfoort;Amersfoort
Amstelveen;362;WAAR;91675;16-12-2020;2020-12-29;480;523,6;3;3,3;2;2,2;Amstelveen;Amstelveen
Amsterdam;363;WAAR;872757;16-12-2020;2020-12-29;5445;623,9;51;5,8;28;3,2;Amsterdam;Amsterdam
Apeldoorn;200;WAAR;163818;16-12-2020;2020-12-29;1213;740,5;3;1,8;19;11,6;Apeldoorn;Apeldoorn
Appingedam;3;WAAR;11642;16-12-2020;2020-12-29;61;524;0;0;0;0;Appingedam;Appingedam
Arnhem;202;WAAR;161348;16-12-2020;2020-12-29;1295;802,6;6;3,7;5;3,1;Arnhem;Arnhem
Assen;106;WAAR;68599;16-12-2020;2020-12-29;247;360,1;2;2,9;0;0;Assen;Assen
Asten;743;WAAR;16721;16-12-2020;2020-12-29;138;825,3;1;6;0;0;Asten;Asten
Baarle-Nassau;744;WAAR;6859;16-12-2020;2020-12-29;14;204,1;0;0;0;0;Baarle-Nassau;Baarle-Nassau
Baarn;308;WAAR;24868;16-12-2020;2020-12-29;237;953;2;8;1;4;Baarn;Baarn
Barendrecht;489;WAAR;48714;16-12-2020;2020-12-29;305;626,1;1;2,1;0;0;Barendrecht;Barendrecht
Barneveld;203;WAAR;59082;16-12-2020;2020-12-29;1233;2086,9;0;0;3;5,1;Barneveld;Barneveld
Beek;888;WAAR;15865;16-12-2020;2020-12-29;128;806,8;1;6,3;1;6,3;Beek (L.);Beek (L.)
Beekdaelen;1954;WAAR;35938;16-12-2020;2020-12-29;303;843,1;7;19,5;0;0;Beekdaelen;Beekdaelen
Beemster;370;WAAR;10022;16-12-2020;2020-12-29;64;638,6;1;10;0;0;Beemster;Beemster
Beesel;889;WAAR;13482;16-12-2020;2020-12-29;135;1001,3;0;0;0;0;Beesel;Beesel
Berg en Dal;1945;WAAR;34992;16-12-2020;2020-12-29;163;465,8;0;0;0;0;Berg en Dal;Berg en Dal
Bergeijk;1724;WAAR;18635;16-12-2020;2020-12-29;210;1126,9;0;0;0;0;Bergeijk;Bergeijk
Bergen (L.);893;WAAR;13085;16-12-2020;2020-12-29;192;1467,3;0;0;2;15,3;Bergen (L.);Bergen (L.)
Bergen (NH.);373;WAAR;29839;16-12-2020;2020-12-29;216;723,9;0;0;0;0;Bergen (NH.);Bergen (NH.)
Bergen op Zoom;748;WAAR;67496;16-12-2020;2020-12-29;261;386,7;3;4,4;2;3;Bergen op Zoom;Bergen op Zoom
Berkelland;1859;WAAR;43747;16-12-2020;2020-12-29;355;811,5;0;0;4;9,1;Berkelland;Berkelland
Bernheze;1721;WAAR;31240;16-12-2020;2020-12-29;210;672,2;0;0;1;3,2;Bernheze;Bernheze
Best;753;WAAR;29988;16-12-2020;2020-12-29;320;1067,1;2;6,7;1;3,3;Best;Best
Beuningen;209;WAAR;25890;16-12-2020;2020-12-29;178;687,5;1;3,9;2;7,7;Beuningen;Beuningen
Beverwijk;375;WAAR;41626;16-12-2020;2020-12-29;256;615;0;0;0;0;Beverwijk;Beverwijk
Bladel;1728;WAAR;20390;16-12-2020;2020-12-29;184;902,4;1;4,9;2;9,8;Bladel;Bladel
Blaricum;376;WAAR;11540;16-12-2020;2020-12-29;79;684,6;0;0;2;17,3;Blaricum;Blaricum
Bloemendaal;377;WAAR;23571;16-12-2020;2020-12-29;138;585,5;0;0;0;0;Bloemendaal;Bloemendaal
Bodegraven-Reeuwijk;1901;WAAR;34872;16-12-2020;2020-12-29;392;1124,1;5;14,3;3;8,6;Bodegraven-Reeuwijk;Bodegraven-Reeuwijk
Boekel;755;WAAR;10785;16-12-2020;2020-12-29;111;1029,2;1;9,3;1;9,3;Boekel;Boekel
Borger-Odoorn;1681;WAAR;25559;16-12-2020;2020-12-29;153;598,6;2;7,8;1;3,9;Borger-Odoorn;Borger-Odoorn
Borne;147;WAAR;23312;16-12-2020;2020-12-29;327;1402,7;1;4,3;7;30;Borne;Borne
Borsele;654;WAAR;22739;16-12-2020;2020-12-29;136;598,1;1;4,4;1;4,4;Borsele;Borsele
Boxmeer;756;WAAR;29365;16-12-2020;2020-12-29;432;1471,1;2;6,8;0;0;Boxmeer;Boxmeer
Boxtel;757;WAAR;30801;16-12-2020;2020-12-29;272;883,1;2;6,5;3;9,7;Boxtel;Boxtel
Breda;758;WAAR;184069;16-12-2020;2020-12-29;1143;621;5;2,7;8;4,3;Breda;Breda
Brielle;501;WAAR;17271;16-12-2020;2020-12-29;101;584,8;0;0;0;0;Brielle;Brielle
Bronckhorst;1876;WAAR;36055;16-12-2020;2020-12-29;284;787,7;0;0;3;8,3;Bronckhorst;Bronckhorst
Brummen;213;WAAR;20726;16-12-2020;2020-12-29;191;921,5;3;14,5;0;0;Brummen;Brummen
Brunssum;899;WAAR;27821;16-12-2020;2020-12-29;277;995,7;1;3,6;1;3,6;Brunssum;Brunssum
Bunnik;312;WAAR;15191;16-12-2020;2020-12-29;106;697,8;0;0;0;0;Bunnik;Bunnik
Bunschoten;313;WAAR;21866;16-12-2020;2020-12-29;556;2542,8;0;0;10;45,7;Bunschoten;Bunschoten
Buren;214;WAAR;26749;16-12-2020;2020-12-29;263;983,2;1;3,7;1;3,7;Buren;Buren
Capelle aan den IJssel;502;WAAR;67122;16-12-2020;2020-12-29;461;686,8;4;6;2;3;Capelle aan den IJssel;Capelle aan den IJssel
Castricum;383;WAAR;35986;16-12-2020;2020-12-29;254;705,8;0;0;0;0;Castricum;Castricum
Coevorden;109;WAAR;35297;16-12-2020;2020-12-29;270;764,9;1;2,8;0;0;Coevorden;Coevorden
Cranendonck;1706;WAAR;21138;16-12-2020;2020-12-29;206;974,5;1;4,7;2;9,5;Cranendonck;Cranendonck
Cuijk;1684;WAAR;25130;16-12-2020;2020-12-29;206;819,7;0;0;2;8;Cuijk;Cuijk
Culemborg;216;WAAR;28955;16-12-2020;2020-12-29;193;666,6;1;3,5;1;3,5;Culemborg;Culemborg
Dalfsen;148;WAAR;28587;16-12-2020;2020-12-29;191;668,1;0;0;0;0;Dalfsen;Dalfsen
Dantumadiel;1891;WAAR;18922;16-12-2020;2020-12-29;132;697,6;0;0;1;5,3;Dantumadiel;Dantumadiel
De Bilt;310;WAAR;43137;16-12-2020;2020-12-29;295;683,9;0;0;11;25,5;De Bilt;De Bilt
De Fryske Marren;1940;WAAR;51564;16-12-2020;2020-12-29;222;430,5;1;1,9;0;0;De Fryske Marren;De Fryske Marren
De Ronde Venen;736;WAAR;44456;16-12-2020;2020-12-29;314;706,3;0;0;3;6,7;De Ronde Venen;De Ronde Venen
De Wolden;1690;WAAR;24330;16-12-2020;2020-12-29;183;752,2;0;0;1;4,1;De Wolden;De Wolden
Delft;503;WAAR;103595;16-12-2020;2020-12-29;565;545,4;1;1;5;4,8;Delft;Delft
Delfzijl;10;WAAR;24678;16-12-2020;2020-12-29;203;822,6;3;12,2;1;4,1;Delfzijl;Delfzijl
Den Helder;400;WAAR;56296;16-12-2020;2020-12-29;510;905,9;3;5,3;0;0;Den Helder;Den Helder
Deurne;762;WAAR;32471;16-12-2020;2020-12-29;226;696;3;9,2;2;6,2;Deurne;Deurne
Deventer;150;WAAR;100719;16-12-2020;2020-12-29;789;783,4;2;2;5;5;Deventer;Deventer
Diemen;384;WAAR;30780;16-12-2020;2020-12-29;226;734,2;2;6,5;4;13;Diemen;Diemen
Dinkelland;1774;WAAR;26461;16-12-2020;2020-12-29;283;1069,5;0;0;1;3,8;Dinkelland;Dinkelland
Doesburg;221;WAAR;11077;16-12-2020;2020-12-29;68;613,9;0;0;0;0;Doesburg;Doesburg
Doetinchem;222;WAAR;58001;16-12-2020;2020-12-29;443;763,8;2;3,4;3;5,2;Doetinchem;Doetinchem
Dongen;766;WAAR;26222;16-12-2020;2020-12-29;254;968,7;0;0;1;3,8;Dongen;Dongen
Dordrecht;505;WAAR;119284;16-12-2020;2020-12-29;866;726;1;0,8;4;3,4;Dordrecht;Dordrecht
Drechterland;498;WAAR;19719;16-12-2020;2020-12-29;236;1196,8;1;5,1;0;0;Drechterland;Drechterland
Drimmelen;1719;WAAR;27272;16-12-2020;2020-12-29;221;810,4;4;14,7;2;7,3;Drimmelen;Drimmelen
Dronten;303;WAAR;41555;16-12-2020;2020-12-29;475;1143,1;1;2,4;1;2,4;Dronten;Dronten
Druten;225;WAAR;18926;16-12-2020;2020-12-29;188;993,3;1;5,3;0;0;Druten;Druten
Duiven;226;WAAR;25126;16-12-2020;2020-12-29;227;903,4;4;15,9;0;0;Duiven;Duiven
Echt-Susteren;1711;WAAR;31610;16-12-2020;2020-12-29;295;933,2;2;6,3;0;0;Echt-Susteren;Echt-Susteren
