Municipality_code;Total_reported;Total_reported_per_100000;Hospital_admission;Hospital_admission_per_100000;Deceased;Deceased_per_100000;;;;Municipality_name
Aa en Hunze;1;3,9;0;0;0;0;;;WAAR;Aa en Hunze
Aalsmeer;2;6,3;0;0;0;0;;;WAAR;Aalsmeer
Aalten;6;22,1;0;0;3;11,1;;;WAAR;Aalten
Achtkarspelen;2;7,2;0;0;0;0;;;WAAR;Achtkarspelen
Alblasserdam;4;19,8;0;0;2;9,9;;;WAAR;Alblasserdam
Albrandswaard;11;43;2;7,8;0;0;;;WAAR;Albrandswaard
Alkmaar;25;22,8;2;1,8;4;3,7;;;WAAR;Alkmaar
Almelo;6;8,2;0;0;1;1,4;;;WAAR;Almelo
Almere;93;43,9;10;4,7;8;3,8;;;WAAR;Almere
Alphen aan den Rijn;22;19,7;2;1,8;5;4,5;;;WAAR;Alphen aan den Rijn
Alphen-Chaam;2;19,6;0;0;0;0;;;WAAR;Alphen-Chaam
Altena;12;21,4;1;1,8;0;0;;;WAAR;Altena
Ameland;0;0;0;0;0;0;;;WAAR;Ameland
Amersfoort;25;15,9;1;0,6;4;2,5;;;WAAR;Amersfoort
Amstelveen;28;30,5;0;0;4;4,4;;;WAAR;Amstelveen
Amsterdam;427;48,9;46;5,3;62;7,1;;;WAAR;Amsterdam
Apeldoorn;68;41,5;7;4,3;13;7,9;;;WAAR;Apeldoorn
Appingedam;1;8,6;0;0;0;0;;;WAAR;Appingedam
Arnhem;46;28,5;6;3,7;3;1,9;;;WAAR;Arnhem
Assen;6;8,7;0;0;0;0;;;WAAR;Assen
Asten;11;65,8;1;6;2;12;;;WAAR;Asten
Baarle-Nassau;5;72,9;0;0;1;14,6;;;WAAR;Baarle-Nassau
Baarn;15;60,3;1;4;4;16,1;;;WAAR;Baarn
Barendrecht;22;45,2;5;10,3;2;4,1;;;WAAR;Barendrecht
Barneveld;13;22;1;1,7;0;0;;;WAAR;Barneveld
Beek (L.);5;31,5;0;0;2;12,6;;;WAAR;Beek (L.)
Beekdaelen;39;108,5;5;13,9;2;5,6;;;WAAR;Beekdaelen
Beemster;1;10;0;0;0;0;;;WAAR;Beemster
Beesel;1;7,4;0;0;0;0;;;WAAR;Beesel
Berg en Dal;10;28,6;0;0;2;5,7;;;WAAR;Berg en Dal
Bergeijk;5;26,8;2;10,7;0;0;;;WAAR;Bergeijk
Bergen (L.);4;30,6;0;0;0;0;;;WAAR;Bergen (L.)
Bergen (NH.);3;10,1;0;0;0;0;;;WAAR;Bergen (NH.)
Bergen op Zoom;29;43;1;1,5;2;3;;;WAAR;Bergen op Zoom
Berkelland;12;27,4;1;2,3;3;6,9;;;WAAR;Berkelland
Bernheze;28;89,6;3;9,6;8;25,6;;;WAAR;Bernheze
Best;15;50;0;0;0;0;;;WAAR;Best
