Gemeente;Gemnr;Gemeente;Bev_2020;van_datum;tot_datum;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000;Gemeente
Aa en Hunze;1680;Aa en Hunze;25445;2020-11-25;2020-12-08;55;216,2;0;0;0;0;Aa en Hunze
Aalsmeer;358;Aalsmeer;31859;2020-11-25;2020-12-08;125;392,4;1;3,1;1;3,1;Aalsmeer
Aalten;197;Aalten;27121;2020-11-25;2020-12-08;73;269,2;0;0;0;0;Aalten
Achtkarspelen;59;Achtkarspelen;27843;2020-11-25;2020-12-08;58;208,3;1;3,6;0;0;Achtkarspelen
Alblasserdam;482;Alblasserdam;20165;2020-11-25;2020-12-08;68;337,2;0;0;0;0;Alblasserdam
Albrandswaard;613;Albrandswaard;25590;2020-11-25;2020-12-08;103;402,5;1;3,9;0;0;Albrandswaard
Alkmaar;361;Alkmaar;109436;2020-11-25;2020-12-08;343;313,4;1;0,9;0;0;Alkmaar
Almelo;141;Almelo;73107;2020-11-25;2020-12-08;331;452,8;1;1,4;1;1,4;Almelo
Almere;34;Almere;211893;2020-11-25;2020-12-08;997;470,5;6;2,8;1;0,5;Almere
Alphen aan den Rijn;484;Alphen aan den Rijn;111897;2020-11-25;2020-12-08;559;499,6;6;5,4;5;4,5;Alphen aan den Rijn
Alphen-Chaam;1723;Alphen-Chaam;10203;2020-11-25;2020-12-08;24;235,2;0;0;0;0;Alphen-Chaam
Altena;1959;Altena;55967;2020-11-25;2020-12-08;502;897;3;5,4;6;10,7;Altena
Ameland;60;Ameland;3716;2020-11-25;2020-12-08;2;53,8;0;0;0;0;Ameland
Amersfoort;307;Amersfoort;157276;2020-11-25;2020-12-08;837;532,2;5;3,2;8;5,1;Amersfoort
Amstelveen;362;Amstelveen;91675;2020-11-25;2020-12-08;312;340,3;3;3,3;5;5,5;Amstelveen
Amsterdam;363;Amsterdam;872757;2020-11-25;2020-12-08;3745;429,1;33;3,8;19;2,2;Amsterdam
Apeldoorn;200;Apeldoorn;163818;2020-11-25;2020-12-08;577;352,2;3;1,8;3;1,8;Apeldoorn
Appingedam;3;Appingedam;11642;2020-11-25;2020-12-08;58;498,2;1;8,6;0;0;Appingedam
Arnhem;202;Arnhem;161348;2020-11-25;2020-12-08;772;478,5;3;1,9;7;4,3;Arnhem
Assen;106;Assen;68599;2020-11-25;2020-12-08;130;189,5;3;4,4;1;1,5;Assen
Asten;743;Asten;16721;2020-11-25;2020-12-08;79;472,5;0;0;0;0;Asten
Baarle-Nassau;744;Baarle-Nassau;6859;2020-11-25;2020-12-08;20;291,6;2;29,2;1;14,6;Baarle-Nassau
Baarn;308;Baarn;24868;2020-11-25;2020-12-08;120;482,5;0;0;3;12,1;Baarn
Barendrecht;489;Barendrecht;48714;2020-11-25;2020-12-08;188;385,9;1;2,1;1;2,1;Barendrecht
Barneveld;203;Barneveld;59082;2020-11-25;2020-12-08;399;675,3;1;1,7;2;3,4;Barneveld
Beek;888;Beek;15865;2020-11-25;2020-12-08;78;491,6;0;0;1;6,3;Beek
Beekdaelen;1954;Beekdaelen;35938;2020-11-25;2020-12-08;128;356,2;0;0;1;2,8;Beekdaelen
Beemster;370;Beemster;10022;2020-11-25;2020-12-08;28;279,4;0;0;0;0;Beemster
Beesel;889;Beesel;13482;2020-11-25;2020-12-08;38;281,9;1;7,4;1;7,4;Beesel
Berg en Dal;1945;Berg en Dal;34992;2020-11-25;2020-12-08;169;483;0;0;0;0;Berg en Dal
Bergeijk;1724;Bergeijk;18635;2020-11-25;2020-12-08;155;831,8;0;0;0;0;Bergeijk
Bergen (L.);893;Bergen (L.);13085;2020-11-25;2020-12-08;40;305,7;0;0;0;0;Bergen (L.)
Bergen (NH.);373;Bergen (NH.);29839;2020-11-25;2020-12-08;118;395,5;0;0;1;3,4;Bergen (NH.)
Bergen op Zoom;748;Bergen op Zoom;67496;2020-11-25;2020-12-08;247;365,9;6;8,9;0;0;Bergen op Zoom
Berkelland;1859;Berkelland;43747;2020-11-25;2020-12-08;148;338,3;0;0;2;4,6;Berkelland
Bernheze;1721;Bernheze;31240;2020-11-25;2020-12-08;104;332,9;0;0;0;0;Bernheze
Best;753;Best;29988;2020-11-25;2020-12-08;129;430,2;2;6,7;1;3,3;Best
Beuningen;209;Beuningen;25890;2020-11-25;2020-12-08;102;394;1;3,9;0;0;Beuningen
Beverwijk;375;Beverwijk;41626;2020-11-25;2020-12-08;136;326,7;0;0;0;0;Beverwijk
Bladel;1728;Bladel;20390;2020-11-25;2020-12-08;110;539,5;0;0;0;0;Bladel
Blaricum;376;Blaricum;11540;2020-11-25;2020-12-08;42;364;0;0;0;0;Blaricum
Bloemendaal;377;Bloemendaal;23571;2020-11-25;2020-12-08;55;233,3;0;0;0;0;Bloemendaal
Bodegraven-Reeuwijk;1901;Bodegraven-Reeuwijk;34872;2020-11-25;2020-12-08;203;582,1;3;8,6;0;0;Bodegraven-Reeuwijk
Boekel;755;Boekel;10785;2020-11-25;2020-12-08;33;306;0;0;0;0;Boekel
