Gemeente;Gemnr;Gemeente;Bev_2020;van_datum;tot_datum;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000;Gemeente
Aa en Hunze;1680;Aa en Hunze;25445;18-11-2020;1-12-2020;56;220,1;0;0;0;0;Aa en Hunze
Aalsmeer;358;Aalsmeer;31859;18-11-2020;1-12-2020;131;411,2;0;0;0;0;Aalsmeer
Aalten;197;Aalten;27121;18-11-2020;1-12-2020;69;254,4;0;0;1;3,7;Aalten
Achtkarspelen;59;Achtkarspelen;27843;18-11-2020;1-12-2020;46;165,2;0;0;0;0;Achtkarspelen
Alblasserdam;482;Alblasserdam;20165;18-11-2020;1-12-2020;52;257,9;0;0;0;0;Alblasserdam
Albrandswaard;613;Albrandswaard;25590;18-11-2020;1-12-2020;129;504,1;1;3,9;1;3,9;Albrandswaard
Alkmaar;361;Alkmaar;109436;18-11-2020;1-12-2020;349;318,9;3;2,7;2;1,8;Alkmaar
Almelo;141;Almelo;73107;18-11-2020;1-12-2020;370;506,1;1;1,4;2;2,7;Almelo
Almere;34;Almere;211893;18-11-2020;1-12-2020;826;389,8;5;2,4;1;0,5;Almere
Alphen aan den Rijn;484;Alphen aan den Rijn;111897;18-11-2020;1-12-2020;544;486,2;2;1,8;7;6,3;Alphen aan den Rijn
Alphen-Chaam;1723;Alphen-Chaam;10203;18-11-2020;1-12-2020;45;441;0;0;0;0;Alphen-Chaam
Altena;1959;Altena;55967;18-11-2020;1-12-2020;478;854,1;3;5,4;5;8,9;Altena
Ameland;60;Ameland;3716;18-11-2020;1-12-2020;1;26,9;0;0;0;0;Ameland
Amersfoort;307;Amersfoort;157276;18-11-2020;1-12-2020;678;431,1;8;5,1;10;6,4;Amersfoort
Amstelveen;362;Amstelveen;91675;18-11-2020;1-12-2020;261;284,7;3;3,3;5;5,5;Amstelveen
Amsterdam;363;Amsterdam;872757;18-11-2020;1-12-2020;3653;418,6;35;4;19;2,2;Amsterdam
Apeldoorn;200;Apeldoorn;163818;18-11-2020;1-12-2020;445;271,6;6;3,7;5;3,1;Apeldoorn
Appingedam;3;Appingedam;11642;18-11-2020;1-12-2020;31;266,3;0;0;0;0;Appingedam
Arnhem;202;Arnhem;161348;18-11-2020;1-12-2020;695;430,7;3;1,9;7;4,3;Arnhem
Assen;106;Assen;68599;18-11-2020;1-12-2020;163;237,6;5;7,3;2;2,9;Assen
Asten;743;Asten;16721;18-11-2020;1-12-2020;66;394,7;1;6;0;0;Asten
Baarle-Nassau;744;Baarle-Nassau;6859;18-11-2020;1-12-2020;33;481,1;1;14,6;2;29,2;Baarle-Nassau
Baarn;308;Baarn;24868;18-11-2020;1-12-2020;84;337,8;1;4;0;0;Baarn
Barendrecht;489;Barendrecht;48714;18-11-2020;1-12-2020;175;359,2;3;6,2;1;2,1;Barendrecht
Barneveld;203;Barneveld;59082;18-11-2020;1-12-2020;298;504,4;0;0;2;3,4;Barneveld
Beek;888;Beek;15865;18-11-2020;1-12-2020;55;346,7;0;0;1;6,3;Beek
Beekdaelen;1954;Beekdaelen;35938;18-11-2020;1-12-2020;104;289,4;0;0;1;2,8;Beekdaelen
Beemster;370;Beemster;10022;18-11-2020;1-12-2020;13;129,7;0;0;0;0;Beemster
Beesel;889;Beesel;13482;18-11-2020;1-12-2020;31;229,9;0;0;1;7,4;Beesel
Berg en Dal;1945;Berg en Dal;34992;18-11-2020;1-12-2020;132;377,2;1;2,9;1;2,9;Berg en Dal
Bergeijk;1724;Bergeijk;18635;18-11-2020;1-12-2020;129;692,2;0;0;0;0;Bergeijk
Bergen (L.);893;Bergen (L.);13085;18-11-2020;1-12-2020;30;229,3;0;0;0;0;Bergen (L.)
Bergen (NH.);373;Bergen (NH.);29839;18-11-2020;1-12-2020;106;355,2;2;6,7;0;0;Bergen (NH.)
Bergen op Zoom;748;Bergen op Zoom;67496;18-11-2020;1-12-2020;283;419,3;4;5,9;1;1,5;Bergen op Zoom
Berkelland;1859;Berkelland;43747;18-11-2020;1-12-2020;155;354,3;3;6,9;4;9,1;Berkelland
Bernheze;1721;Bernheze;31240;18-11-2020;1-12-2020;107;342,5;0;0;0;0;Bernheze
Best;753;Best;29988;18-11-2020;1-12-2020;104;346,8;1;3,3;0;0;Best
Beuningen;209;Beuningen;25890;18-11-2020;1-12-2020;77;297,4;1;3,9;0;0;Beuningen
Beverwijk;375;Beverwijk;41626;18-11-2020;1-12-2020;120;288,3;0;0;0;0;Beverwijk
Bladel;1728;Bladel;20390;18-11-2020;1-12-2020;93;456,1;1;4,9;1;4,9;Bladel
Blaricum;376;Blaricum;11540;18-11-2020;1-12-2020;38;329,3;0;0;0;0;Blaricum
Bloemendaal;377;Bloemendaal;23571;18-11-2020;1-12-2020;43;182,4;0;0;0;0;Bloemendaal
Bodegraven-Reeuwijk;1901;Bodegraven-Reeuwijk;34872;18-11-2020;1-12-2020;221;633,7;4;11,5;1;2,9;Bodegraven-Reeuwijk
Boekel;755;Boekel;10785;18-11-2020;1-12-2020;14;129,8;0;0;0;0;Boekel
Borger-Odoorn;1681;Borger-Odoorn;25559;18-11-2020;1-12-2020;70;273,9;0;0;1;3,9;Borger-Odoorn
Borne;147;Borne;23312;18-11-2020;1-12-2020;93;398,9;0;0;0;0;Borne
Borsele;654;Borsele;22739;18-11-2020;1-12-2020;40;175,9;1;4,4;0;0;Borsele
Boxmeer;756;Boxmeer;29365;18-11-2020;1-12-2020;102;347,4;0;0;0;0;Boxmeer
Boxtel;757;Boxtel;30801;18-11-2020;1-12-2020;139;451,3;1;3,2;1;3,2;Boxtel
Breda;758;Breda;184069;18-11-2020;1-12-2020;616;334,7;2;1,1;0;0;Breda
Brielle;501;Brielle;17271;18-11-2020;1-12-2020;47;272,1;1;5,8;0;0;Brielle
Bronckhorst;1876;Bronckhorst;36055;18-11-2020;1-12-2020;116;321,7;0;0;0;0;Bronckhorst
Brummen;213;Brummen;20726;18-11-2020;1-12-2020;33;159,2;0;0;0;0;Brummen
Brunssum;899;Brunssum;27821;18-11-2020;1-12-2020;59;212,1;1;3,6;0;0;Brunssum
Bunnik;312;Bunnik;15191;18-11-2020;1-12-2020;66;434,5;1;6,6;0;0;Bunnik
Bunschoten;313;Bunschoten;21866;18-11-2020;1-12-2020;269;1230,2;4;18,3;1;4,6;Bunschoten
Buren;214;Buren;26749;18-11-2020;1-12-2020;86;321,5;3;11,2;0;0;Buren
Capelle aan den IJssel;502;Capelle aan den IJssel;67122;18-11-2020;1-12-2020;259;385,9;3;4,5;5;7,4;Capelle aan den IJssel
Castricum;383;Castricum;35986;18-11-2020;1-12-2020;145;402,9;0;0;1;2,8;Castricum
Coevorden;109;Coevorden;35297;18-11-2020;1-12-2020;100;283,3;1;2,8;0;0;Coevorden
Cranendonck;1706;Cranendonck;21138;18-11-2020;1-12-2020;113;534,6;0;0;0;0;Cranendonck
Cuijk;1684;Cuijk;25130;18-11-2020;1-12-2020;95;378;0;0;0;0;Cuijk
Culemborg;216;Culemborg;28955;18-11-2020;1-12-2020;127;438,6;2;6,9;0;0;Culemborg
Dalfsen;148;Dalfsen;28587;18-11-2020;1-12-2020;53;185,4;0;0;0;0;Dalfsen
Dantumadiel;1891;Dantumadiel;18922;18-11-2020;1-12-2020;31;163,8;0;0;0;0;Dantumadiel
De Bilt;310;De Bilt;43137;18-11-2020;1-12-2020;127;294,4;1;2,3;3;7;De Bilt
De Fryske Marren;1940;De Fryske Marren;51564;18-11-2020;1-12-2020;75;145,5;0;0;1;1,9;De Fryske Marren
De Ronde Venen;736;De Ronde Venen;44456;18-11-2020;1-12-2020;175;393,6;5;11,2;2;4,5;De Ronde Venen
De Wolden;1690;De Wolden;24330;18-11-2020;1-12-2020;58;238,4;0;0;0;0;De Wolden
Delft;503;Delft;103595;18-11-2020;1-12-2020;343;331,1;3;2,9;8;7,7;Delft
Delfzijl;10;Delfzijl;24678;18-11-2020;1-12-2020;56;226,9;0;0;0;0;Delfzijl
Den Helder;400;Den Helder;56296;18-11-2020;1-12-2020;144;255,8;0;0;1;1,8;Den Helder
Deurne;762;Deurne;32471;18-11-2020;1-12-2020;118;363,4;0;0;1;3,1;Deurne
Deventer;150;Deventer;100719;18-11-2020;1-12-2020;375;372,3;1;1;1;1;Deventer
Diemen;384;Diemen;30780;18-11-2020;1-12-2020;155;503,6;2;6,5;1;3,2;Diemen
Dinkelland;1774;Dinkelland;26461;18-11-2020;1-12-2020;166;627,3;1;3,8;1;3,8;Dinkelland
Doesburg;221;Doesburg;11077;18-11-2020;1-12-2020;22;198,6;0;0;0;0;Doesburg
Doetinchem;222;Doetinchem;58001;18-11-2020;1-12-2020;163;281;2;3,4;0;0;Doetinchem
Dongen;766;Dongen;26222;18-11-2020;1-12-2020;161;614;1;3,8;1;3,8;Dongen
Dordrecht;505;Dordrecht;119284;18-11-2020;1-12-2020;568;476,2;4;3,4;10;8,4;Dordrecht
Drechterland;498;Drechterland;19719;18-11-2020;1-12-2020;46;233,3;0;0;0;0;Drechterland
Drimmelen;1719;Drimmelen;27272;18-11-2020;1-12-2020;84;308;1;3,7;1;3,7;Drimmelen
Dronten;303;Dronten;41555;18-11-2020;1-12-2020;166;399,5;1;2,4;0;0;Dronten
Druten;225;Druten;18926;18-11-2020;1-12-2020;51;269,5;0;0;1;5,3;Druten
Duiven;226;Duiven;25126;18-11-2020;1-12-2020;157;624,9;0;0;0;0;Duiven
Echt-Susteren;1711;Echt-Susteren;31610;18-11-2020;1-12-2020;63;199,3;0;0;0;0;Echt-Susteren
Edam-Volendam;385;Edam-Volendam;36197;18-11-2020;1-12-2020;82;226,5;4;11,1;0;0;Edam-Volendam
Ede;228;Ede;117165;18-11-2020;1-12-2020;518;442,1;2;1,7;5;4,3;Ede
Eemnes;317;Eemnes;9247;18-11-2020;1-12-2020;26;281,2;0;0;0;0;Eemnes
Eersel;770;Eersel;19313;18-11-2020;1-12-2020;122;631,7;0;0;1;5,2;Eersel
Eijsden-Margraten;1903;Eijsden-Margraten;25768;18-11-2020;1-12-2020;80;310,5;0;0;1;3,9;Eijsden-Margraten
Eindhoven;772;Eindhoven;234394;18-11-2020;1-12-2020;863;368,2;7;3;7;3;Eindhoven
Elburg;230;Elburg;23161;18-11-2020;1-12-2020;108;466,3;1;4,3;1;4,3;Elburg
Emmen;114;Emmen;107048;18-11-2020;1-12-2020;296;276,5;2;1,9;5;4,7;Emmen
Enkhuizen;388;Enkhuizen;18591;18-11-2020;1-12-2020;69;371,1;0;0;0;0;Enkhuizen
Enschede;153;Enschede;159640;18-11-2020;1-12-2020;684;428,5;6;3,8;7;4,4;Enschede
Epe;232;Epe;33178;18-11-2020;1-12-2020;75;226,1;0;0;1;3;Epe
Ermelo;233;Ermelo;27008;18-11-2020;1-12-2020;118;436,9;0;0;1;3,7;Ermelo
Etten-Leur;777;Etten-Leur;43878;18-11-2020;1-12-2020;138;314,5;1;2,3;0;0;Etten-Leur
Geertruidenberg;779;Geertruidenberg;21544;18-11-2020;1-12-2020;104;482,7;0;0;0;0;Geertruidenberg
Geldrop-Mierlo;1771;Geldrop-Mierlo;39726;18-11-2020;1-12-2020;172;433;0;0;0;0;Geldrop-Mierlo
Gemert-Bakel;1652;Gemert-Bakel;30723;18-11-2020;1-12-2020;69;224,6;0;0;0;0;Gemert-Bakel
Gennep;907;Gennep;16921;18-11-2020;1-12-2020;83;490,5;0;0;0;0;Gennep
Gilze en Rijen;784;Gilze en Rijen;26431;18-11-2020;1-12-2020;163;616,7;1;3,8;0;0;Gilze en Rijen
Goeree-Overflakkee;1924;Goeree-Overflakkee;50049;18-11-2020;1-12-2020;163;325,7;0;0;1;2;Goeree-Overflakkee
Goes;664;Goes;38082;18-11-2020;1-12-2020;57;149,7;1;2,6;0;0;Goes
Goirle;785;Goirle;23904;18-11-2020;1-12-2020;103;430,9;0;0;0;0;Goirle
Gooise Meren;1942;Gooise Meren;58055;18-11-2020;1-12-2020;170;292,8;2;3,4;1;1,7;Gooise Meren
Gorinchem;512;Gorinchem;37022;18-11-2020;1-12-2020;184;497;0;0;0;0;Gorinchem
Gouda;513;Gouda;73427;18-11-2020;1-12-2020;438;596,5;10;13,6;7;9,5;Gouda
Grave;786;Grave;12436;18-11-2020;1-12-2020;46;369,9;0;0;2;16,1;Grave
Groningen;14;Groningen;232874;18-11-2020;1-12-2020;316;135,7;2;0,9;1;0,4;Groningen
Gulpen-Wittem;1729;Gulpen-Wittem;14171;18-11-2020;1-12-2020;42;296,4;0;0;0;0;Gulpen-Wittem
Haaksbergen;158;Haaksbergen;24311;18-11-2020;1-12-2020;117;481,3;1;4,1;3;12,3;Haaksbergen
Haaren;788;Haaren;14370;18-11-2020;1-12-2020;73;508;0;0;1;7;Haaren
Haarlem;392;Haarlem;162902;18-11-2020;1-12-2020;504;309,4;6;3,7;9;5,5;Haarlem
Haarlemmermeer;394;Haarlemmermeer;156002;18-11-2020;1-12-2020;573;367,3;3;1,9;2;1,3;Haarlemmermeer
Halderberge;1655;Halderberge;30284;18-11-2020;1-12-2020;120;396,2;0;0;0;0;Halderberge
Hardenberg;160;Hardenberg;60948;18-11-2020;1-12-2020;147;241,2;4;6,6;1;1,6;Hardenberg
Harderwijk;243;Harderwijk;48414;18-11-2020;1-12-2020;151;311,9;1;2,1;0;0;Harderwijk
Hardinxveld-Giessendam;523;Hardinxveld-Giessendam;18295;18-11-2020;1-12-2020;92;502,9;0;0;0;0;Hardinxveld-Giessendam
Harlingen;72;Harlingen;15722;18-11-2020;1-12-2020;23;146,3;0;0;0;0;Harlingen
Hattem;244;Hattem;12209;18-11-2020;1-12-2020;35;286,7;0;0;0;0;Hattem
Heemskerk;396;Heemskerk;39182;18-11-2020;1-12-2020;174;444,1;2;5,1;1;2,6;Heemskerk
Heemstede;397;Heemstede;27234;18-11-2020;1-12-2020;96;352,5;1;3,7;1;3,7;Heemstede
Heerde;246;Heerde;18589;18-11-2020;1-12-2020;14;75,3;0;0;0;0;Heerde
Heerenveen;74;Heerenveen;50493;18-11-2020;1-12-2020;64;126,8;0;0;1;2;Heerenveen
Heerhugowaard;398;Heerhugowaard;57587;18-11-2020;1-12-2020;166;288,3;0;0;1;1,7;Heerhugowaard
Heerlen;917;Heerlen;87086;18-11-2020;1-12-2020;217;249,2;0;0;2;2,3;Heerlen
Heeze-Leende;1658;Heeze-Leende;16152;18-11-2020;1-12-2020;56;346,7;0;0;0;0;Heeze-Leende
