Gemeente;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000;;;;
Aa en Hunze;79;310,5;0;0;0;0;;;WAAR;Aa en Hunze
Aalsmeer;157;492,8;0;0;0;0;;;WAAR;Aalsmeer
Aalten;78;287,6;2;7,4;0;0;;;WAAR;Aalten
Achtkarspelen;64;229,9;0;0;0;0;;;WAAR;Achtkarspelen
Alblasserdam;140;694,3;0;0;0;0;;;WAAR;Alblasserdam
Albrandswaard;150;586,2;0;0;0;0;;;WAAR;Albrandswaard
Alkmaar;243;222;2;1,8;0;0;;;WAAR;Alkmaar
Almelo;260;355,6;4;5,5;2;2,7;;;WAAR;Almelo
Almere;644;303,9;7;3,3;0;0;;;WAAR;Almere
Alphen aan den Rijn;453;404,8;4;3,6;2;1,8;;;WAAR;Alphen aan den Rijn
Alphen-Chaam;20;196;0;0;0;0;;;WAAR;Alphen-Chaam
Altena;238;425,3;1;1,8;0;0;;;WAAR;Altena
Ameland;17;457,5;0;0;0;0;;;WAAR;Ameland
Amersfoort;637;405;7;4,5;1;0,6;;;WAAR;Amersfoort
Amstelveen;416;453,8;0;0;0;0;;;WAAR;Amstelveen
Amsterdam;6198;710,2;79;9,1;9;1;;;WAAR;Amsterdam
Apeldoorn;354;216,1;3;1,8;1;0,6;;;WAAR;Apeldoorn
Appingedam;14;120,3;2;17,2;0;0;;;WAAR;Appingedam
Arnhem;426;264;3;1,9;0;0;;;WAAR;Arnhem
Assen;138;201,2;0;0;0;0;;;WAAR;Assen
Asten;52;311;0;0;0;0;;;WAAR;Asten
Baarle-Nassau;9;131,2;0;0;0;0;;;WAAR;Baarle-Nassau
Baarn;86;345,8;0;0;0;0;;;WAAR;Baarn
Barendrecht;323;663,1;1;2,1;1;2,1;;;WAAR;Barendrecht
Barneveld;164;277,6;3;5,1;1;1,7;;;WAAR;Barneveld
Beek (L.);28;176,5;0;0;0;0;;;WAAR;Beek (L.)
Beekdaelen;56;155,8;0;0;0;0;;;WAAR;Beekdaelen
Beemster;23;229,5;0;0;0;0;;;WAAR;Beemster
Beesel;16;118,7;0;0;0;0;;;WAAR;Beesel
Berg en Dal;165;471,5;3;8,6;1;2,9;;;WAAR;Berg en Dal
Bergeijk;78;418,6;0;0;0;0;;;WAAR;Bergeijk
Bergen (L.);30;229,3;0;0;0;0;;;WAAR;Bergen (L.)
Bergen (NH.);97;325,1;1;3,4;2;6,7;;;WAAR;Bergen (NH.)
Bergen op Zoom;326;483;4;5,9;0;0;;;WAAR;Bergen op Zoom
Berkelland;139;317,7;0;0;0;0;;;WAAR;Berkelland
Bernheze;96;307,3;0;0;0;0;;;WAAR;Bernheze
Best;75;250,1;0;0;0;0;;;WAAR;Best
Beuningen;81;312,9;1;3,9;0;0;;;WAAR;Beuningen
Beverwijk;161;386,8;1;2,4;0;0;;;WAAR;Beverwijk
Bladel;229;1123,1;0;0;0;0;;;WAAR;Bladel
Blaricum;41;355,3;0;0;0;0;;;WAAR;Blaricum
Bloemendaal;68;288,5;1;4,2;0;0;;;WAAR;Bloemendaal
Bodegraven-Reeuwijk;125;358,5;2;5,7;2;5,7;;;WAAR;Bodegraven-Reeuwijk
Boekel;17;157,6;0;0;0;0;;;WAAR;Boekel
Borger-Odoorn;80;313;1;3,9;1;3,9;;;WAAR;Borger-Odoorn
Borne;99;424,7;1;4,3;0;0;;;WAAR;Borne
Borsele;35;153,9;0;0;0;0;;;WAAR;Borsele
Boxmeer;83;282,6;0;0;1;3,4;;;WAAR;Boxmeer
Boxtel;60;194,8;0;0;0;0;;;WAAR;Boxtel
Breda;644;349,9;3;1,6;3;1,6;;;WAAR;Breda
Brielle;92;532,7;0;0;0;0;;;WAAR;Brielle
Bronckhorst;112;310,6;1;2,8;0;0;;;WAAR;Bronckhorst
Brummen;35;168,9;0;0;0;0;;;WAAR;Brummen
Brunssum;45;161,7;1;3,6;0;0;;;WAAR;Brunssum
Bunnik;53;348,9;2;13,2;0;0;;;WAAR;Bunnik
Bunschoten;76;347,6;0;0;0;0;;;WAAR;Bunschoten
Buren;92;343,9;2;7,5;0;0;;;WAAR;Buren
Capelle aan den IJssel;362;539,3;1;1,5;2;3;;;WAAR;Capelle aan den IJssel
Castricum;61;169,5;0;0;1;2,8;;;WAAR;Castricum
Coevorden;89;252,1;1;2,8;0;0;;;WAAR;Coevorden
Cranendonck;92;435,2;0;0;0;0;;;WAAR;Cranendonck
Cuijk;71;282,5;0;0;0;0;;;WAAR;Cuijk
Culemborg;103;355,7;0;0;0;0;;;WAAR;Culemborg
Dalfsen;103;360,3;1;3,5;0;0;;;WAAR;Dalfsen
