Municipality_code;Total_reported;Total_reported_per_100000;Hospital_admission;Hospital_admission_per_100000;Deceased;Deceased_per_100000;;;;Municipality_name
Aa en Hunze;6;23,6;0;0;0;0;;;WAAR;Aa en Hunze
Aalsmeer;11;34,5;2;6,3;0;0;;;WAAR;Aalsmeer
Aalten;31;114,3;3;11,1;0;0;;;WAAR;Aalten
Achtkarspelen;3;10,8;0;0;0;0;;;WAAR;Achtkarspelen
Alblasserdam;20;99,2;3;14,9;1;5;;;WAAR;Alblasserdam
Albrandswaard;33;129;1;3,9;4;15,6;;;WAAR;Albrandswaard
Alkmaar;86;78,6;9;8,2;8;7,3;;;WAAR;Alkmaar
Almelo;35;47,9;4;5,5;4;5,5;;;WAAR;Almelo
Almere;132;62,3;19;9;7;3,3;;;WAAR;Almere
Alphen aan den Rijn;68;60,8;11;9,8;9;8;;;WAAR;Alphen aan den Rijn
Alphen-Chaam;5;49;0;0;1;9,8;;;WAAR;Alphen-Chaam
Altena;41;73,3;2;3,6;7;12,5;;;WAAR;Altena
Ameland;0;0;0;0;0;0;;;WAAR;Ameland
Amersfoort;63;40,1;5;3,2;6;3,8;;;WAAR;Amersfoort
Amstelveen;106;115,6;11;12;12;13,1;;;WAAR;Amstelveen
Amsterdam;661;75,7;126;14,4;88;10,1;;;WAAR;Amsterdam
Apeldoorn;167;101,9;18;11;19;11,6;;;WAAR;Apeldoorn
Appingedam;2;17,2;1;8,6;0;0;;;WAAR;Appingedam
Arnhem;110;68,2;9;5,6;12;7,4;;;WAAR;Arnhem
Assen;11;16;1;1,5;0;0;;;WAAR;Assen
Asten;33;197,4;4;23,9;5;29,9;;;WAAR;Asten
Baarle-Nassau;3;43,7;1;14,6;0;0;;;WAAR;Baarle-Nassau
Baarn;18;72,4;2;8;5;20,1;;;WAAR;Baarn
Barendrecht;36;73,9;4;8,2;6;12,3;;;WAAR;Barendrecht
Barneveld;43;72,8;6;10,2;4;6,8;;;WAAR;Barneveld
Beek (L.);15;94,5;3;18,9;1;6,3;;;WAAR;Beek (L.)
Beekdaelen;53;147,5;8;22,3;8;22,3;;;WAAR;Beekdaelen
Beemster;1;10;0;0;0;0;;;WAAR;Beemster
Beesel;17;126,1;4;29,7;2;14,8;;;WAAR;Beesel
Berg en Dal;49;140;4;11,4;2;5,7;;;WAAR;Berg en Dal
Bergeijk;19;102;3;16,1;1;5,4;;;WAAR;Bergeijk
Bergen (L.);10;76,4;0;0;1;7,6;;;WAAR;Bergen (L.)
Bergen (NH.);12;40,2;0;0;2;6,7;;;WAAR;Bergen (NH.)
Bergen op Zoom;44;65,2;3;4,4;3;4,4;;;WAAR;Bergen op Zoom
Berkelland;44;100,6;3;6,9;4;9,1;;;WAAR;Berkelland
Bernheze;63;201,7;9;28,8;18;57,6;;;WAAR;Bernheze
Best;6;20;0;0;4;13,3;;;WAAR;Best
Beuningen;16;61,8;1;3,9;0;0;;;WAAR;Beuningen
Beverwijk;21;50,4;3;7,2;4;9,6;;;WAAR;Beverwijk
Bladel;15;73,6;3;14,7;0;0;;;WAAR;Bladel
Blaricum;12;104;2;17,3;0;0;;;WAAR;Blaricum
Bloemendaal;6;25,5;1;4,2;1;4,2;;;WAAR;Bloemendaal
Bodegraven-Reeuwijk;15;43;1;2,9;0;0;;;WAAR;Bodegraven-Reeuwijk
Boekel;11;102;1;9,3;5;46,4;;;WAAR;Boekel
Borger-Odoorn;3;11,7;2;7,8;1;3,9;;;WAAR;Borger-Odoorn
Borne;8;34,3;0;0;1;4,3;;;WAAR;Borne
Borsele;8;35,2;1;4,4;0;0;;;WAAR;Borsele
Boxmeer;42;143;0;0;12;40,9;;;WAAR;Boxmeer
Boxtel;20;64,9;4;13;4;13;;;WAAR;Boxtel
Breda;80;43,5;4;2,2;14;7,6;;;WAAR;Breda
Brielle;6;34,7;1;5,8;0;0;;;WAAR;Brielle
Bronckhorst;36;99,8;6;16,6;2;5,5;;;WAAR;Bronckhorst
Brummen;14;67,5;4;19,3;3;14,5;;;WAAR;Brummen
Brunssum;23;82,7;8;28,8;3;10,8;;;WAAR;Brunssum
Bunnik;6;39,5;2;13,2;0;0;;;WAAR;Bunnik
Bunschoten;30;137,2;2;9,1;5;22,9;;;WAAR;Bunschoten
Buren;15;56,1;6;22,4;4;15;;;WAAR;Buren
Capelle aan den IJssel;102;152;13;19,4;18;26,8;;;WAAR;Capelle aan den IJssel
Castricum;27;75;1;2,8;3;8,3;;;WAAR;Castricum
Coevorden;14;39,7;0;0;1;2,8;;;WAAR;Coevorden
Cranendonck;59;279,1;5;23,7;14;66,2;;;WAAR;Cranendonck
Cuijk;16;63,7;3;11,9;2;8;;;WAAR;Cuijk
Culemborg;17;58,7;1;3,5;1;3,5;;;WAAR;Culemborg
Dalfsen;32;111,9;1;3,5;2;7;;;WAAR;Dalfsen
Dantumadiel;0;0;0;0;0;0;;;WAAR;Dantumadiel
De Bilt;28;64,9;4;9,3;4;9,3;;;WAAR;De Bilt
De Fryske Marren;18;34,9;2;3,9;1;1,9;;;WAAR;De Fryske Marren
De Ronde Venen;28;63;11;24,7;6;13,5;;;WAAR;De Ronde Venen
De Wolden;17;69,9;3;12,3;0;0;;;WAAR;De Wolden
Delft;43;41,5;2;1,9;5;4,8;;;WAAR;Delft
Delfzijl;3;12,2;0;0;0;0;;;WAAR;Delfzijl
Den Helder;14;24,9;0;0;0;0;;;WAAR;Den Helder
Deurne;34;104,7;1;3,1;6;18,5;;;WAAR;Deurne
Deventer;89;88,4;8;7,9;7;7;;;WAAR;Deventer
Diemen;34;110,5;5;16,2;6;19,5;;;WAAR;Diemen
Dinkelland;16;60,5;0;0;3;11,3;;;WAAR;Dinkelland
Doesburg;12;108,3;3;27,1;3;27,1;;;WAAR;Doesburg
Doetinchem;30;51,7;5;8,6;9;15,5;;;WAAR;Doetinchem
Dongen;16;61;4;15,3;2;7,6;;;WAAR;Dongen
Dordrecht;120;100,6;16;13,4;11;9,2;;;WAAR;Dordrecht
Drechterland;16;81,1;2;10,1;4;20,3;;;WAAR;Drechterland
Drimmelen;19;69,7;2;7,3;1;3,7;;;WAAR;Drimmelen
Dronten;54;129,9;6;14,4;7;16,8;;;WAAR;Dronten
Druten;65;343,4;2;10,6;3;15,9;;;WAAR;Druten
Duiven;16;63,7;4;15,9;3;11,9;;;WAAR;Duiven
Echt-Susteren;22;69,6;3;9,5;4;12,7;;;WAAR;Echt-Susteren
Edam-Volendam;42;116;3;8,3;2;5,5;;;WAAR;Edam-Volendam
Ede;68;58;7;6;7;6;;;WAAR;Ede
Eemnes;7;75,7;1;10,8;0;0;;;WAAR;Eemnes
Eersel;19;98,4;5;25,9;5;25,9;;;WAAR;Eersel
Eijsden-Margraten;40;155,2;7;27,2;9;34,9;;;WAAR;Eijsden-Margraten
Eindhoven;131;55,9;30;12,8;30;12,8;;;WAAR;Eindhoven
Elburg;55;237,5;7;30,2;3;13;;;WAAR;Elburg
Emmen;35;32,7;4;3,7;5;4,7;;;WAAR;Emmen
Enkhuizen;4;21,5;2;10,8;0;0;;;WAAR;Enkhuizen
Enschede;44;27,6;6;3,8;4;2,5;;;WAAR;Enschede
Epe;54;162,8;11;33,2;11;33,2;;;WAAR;Epe
Ermelo;35;129,6;2;7,4;4;14,8;;;WAAR;Ermelo
Etten-Leur;50;114;4;9,1;4;9,1;;;WAAR;Etten-Leur
Geertruidenberg;16;74,3;1;4,6;2;9,3;;;WAAR;Geertruidenberg
Geldrop-Mierlo;30;75,5;4;10,1;9;22,7;;;WAAR;Geldrop-Mierlo
Gemert-Bakel;33;107,4;4;13;7;22,8;;;WAAR;Gemert-Bakel
Gennep;16;94,6;1;5,9;4;23,6;;;WAAR;Gennep
Gilze en Rijen;21;79,5;1;3,8;4;15,1;;;WAAR;Gilze en Rijen
Goeree-Overflakkee;49;97,9;6;12;13;26;;;WAAR;Goeree-Overflakkee
Goes;32;84;1;2,6;5;13,1;;;WAAR;Goes
Goirle;16;66,9;4;16,7;4;16,7;;;WAAR;Goirle
Gooise Meren;36;62;2;3,4;3;5,2;;;WAAR;Gooise Meren
Gorinchem;48;129,7;2;5,4;7;18,9;;;WAAR;Gorinchem
Gouda;112;152,5;5;6,8;14;19,1;;;WAAR;Gouda
Grave;17;136,7;2;16,1;2;16,1;;;WAAR;Grave
Groningen (gemeente);32;13,7;3;1,3;0;0;;;WAAR;Groningen (gemeente)
Gulpen-Wittem;27;190,5;5;35,3;6;42,3;;;WAAR;Gulpen-Wittem
Haaksbergen;25;102,8;1;4,1;4;16,5;;;WAAR;Haaksbergen
Haaren;8;55,7;2;13,9;2;13,9;;;WAAR;Haaren
Haarlem;51;31,3;7;4,3;20;12,3;;;WAAR;Haarlem
Haarlemmermeer;51;32,7;11;7,1;4;2,6;;;WAAR;Haarlemmermeer
Halderberge;18;59,4;3;9,9;2;6,6;;;WAAR;Halderberge
Hardenberg;78;128;4;6,6;2;3,3;;;WAAR;Hardenberg
Harderwijk;46;95;9;18,6;3;6,2;;;WAAR;Harderwijk
Hardinxveld-Giessendam;11;60,1;0;0;0;0;;;WAAR;Hardinxveld-Giessendam
Harlingen;10;63,6;2;12,7;1;6,4;;;WAAR;Harlingen
Hattem;13;106,5;0;0;2;16,4;;;WAAR;Hattem
Heemskerk;13;33,2;0;0;2;5,1;;;WAAR;Heemskerk
Heemstede;7;25,7;1;3,7;5;18,4;;;WAAR;Heemstede
Heerde;88;473,4;5;26,9;8;43;;;WAAR;Heerde
Heerenveen;45;89,1;2;4;11;21,8;;;WAAR;Heerenveen
Heerhugowaard;68;118,1;3;5,2;4;6,9;;;WAAR;Heerhugowaard
Heerlen;107;122,9;20;23;11;12,6;;;WAAR;Heerlen
Heeze-Leende;19;117,6;2;12,4;6;37,1;;;WAAR;Heeze-Leende
Heiloo;18;75,1;0;0;3;12,5;;;WAAR;Heiloo
Hellendoorn;22;61,3;1;2,8;2;5,6;;;WAAR;Hellendoorn
Hellevoetsluis;22;54,8;4;10;1;2,5;;;WAAR;Hellevoetsluis
Helmond;97;105;22;23,8;9;9,7;;;WAAR;Helmond
Hendrik-Ido-Ambacht;12;38,5;1;3,2;3;9,6;;;WAAR;Hendrik-Ido-Ambacht
Hengelo (O.);40;49,3;5;6,2;10;12,3;;;WAAR;Hengelo (O.)
Het Hogeland;8;16,7;0;0;0;0;;;WAAR;Het Hogeland
Heumen;21;127,6;2;12,2;1;6,1;;;WAAR;Heumen
Heusden;44;98,5;3;6,7;7;15,7;;;WAAR;Heusden
Hillegom;13;58,5;2;9;1;4,5;;;WAAR;Hillegom
Hilvarenbeek;12;77,3;2;12,9;0;0;;;WAAR;Hilvarenbeek
Hilversum;74;81,5;6;6,6;6;6,6;;;WAAR;Hilversum
Hoeksche Waard;87;99,5;7;8;6;6,9;;;WAAR;Hoeksche Waard
Hof van Twente;25;71,4;1;2,9;3;8,6;;;WAAR;Hof van Twente
Hollands Kroon;17;35,1;0;0;1;2,1;;;WAAR;Hollands Kroon
Hoogeveen;38;68,2;6;10,8;6;10,8;;;WAAR;Hoogeveen
Hoorn;29;39,6;7;9,6;4;5,5;;;WAAR;Hoorn
Horst aan de Maas;43;101,3;3;7,1;6;14,1;;;WAAR;Horst aan de Maas
Houten;35;69,8;4;8;4;8;;;WAAR;Houten
Huizen;48;116,3;2;4,8;2;4,8;;;WAAR;Huizen
Hulst;7;25,4;0;0;0;0;;;WAAR;Hulst
IJsselstein;45;131,9;4;11,7;11;32,2;;;WAAR;IJsselstein
Kaag en Braassem;9;33;1;3,7;1;3,7;;;WAAR;Kaag en Braassem
Kampen;152;279,8;10;18,4;11;20,3;;;WAAR;Kampen
Kapelle;8;63;2;15,8;1;7,9;;;WAAR;Kapelle
Katwijk;92;139,9;6;9,1;6;9,1;;;WAAR;Katwijk
Kerkrade;56;122,4;11;24;7;15,3;;;WAAR;Kerkrade
Koggenland;13;57,1;1;4,4;2;8,8;;;WAAR;Koggenland
Krimpen aan den IJssel;25;84,7;2;6,8;1;3,4;;;WAAR;Krimpen aan den IJssel
Krimpenerwaard;50;88,8;7;12,4;3;5,3;;;WAAR;Krimpenerwaard
Laarbeek;27;119,9;3;13,3;5;22,2;;;WAAR;Laarbeek
Landerd;37;235,2;3;19,1;7;44,5;;;WAAR;Landerd
Landgraaf;35;93,5;14;37,4;3;8;;;WAAR;Landgraaf
Landsmeer;5;43,5;0;0;1;8,7;;;WAAR;Landsmeer
Langedijk;13;46,2;1;3,6;1;3,6;;;WAAR;Langedijk
Lansingerland;55;88,2;9;14,4;8;12,8;;;WAAR;Lansingerland
Laren (NH.);6;53,2;0;0;1;8,9;;;WAAR;Laren (NH.)
Leeuwarden;7;5,6;3;2,4;2;1,6;;;WAAR;Leeuwarden
Leiden;39;31,2;7;5,6;8;6,4;;;WAAR;Leiden
Leiderdorp;9;33,3;3;11,1;1;3,7;;;WAAR;Leiderdorp
Leidschendam-Voorburg;35;45,7;4;5,2;2;2,6;;;WAAR;Leidschendam-Voorburg
Lelystad;66;84;12;15,3;9;11,5;;;WAAR;Lelystad
Leudal;74;206,2;2;5,6;8;22,3;;;WAAR;Leudal
Leusden;10;32,9;0;0;0;0;;;WAAR;Leusden
Lingewaard;40;85,8;6;12,9;4;8,6;;;WAAR;Lingewaard
Lisse;7;30,5;1;4,4;1;4,4;;;WAAR;Lisse
Lochem;51;151,2;3;8,9;5;14,8;;;WAAR;Lochem
Loon op Zand;13;55,5;2;8,5;1;4,3;;;WAAR;Loon op Zand
Lopik;28;193,5;2;13,8;3;20,7;;;WAAR;Lopik
Loppersum;0;0;0;0;0;0;;;WAAR;Loppersum
Losser;9;39,7;0;0;0;0;;;WAAR;Losser
Maasdriel;11;43,9;1;4;2;8;;;WAAR;Maasdriel
Maasgouw;32;133,5;5;20,9;1;4,2;;;WAAR;Maasgouw
Maassluis;16;48,2;4;12;2;6;;;WAAR;Maassluis
Maastricht;227;186,7;38;31,3;42;34,5;;;WAAR;Maastricht
Medemblik;28;62,1;3;6,7;2;4,4;;;WAAR;Medemblik
Meerssen;32;170;9;47,8;5;26,6;;;WAAR;Meerssen
Meierijstad;115;141,6;12;14,8;21;25,9;;;WAAR;Meierijstad
Meppel;7;20,6;2;5,9;0;0;;;WAAR;Meppel
Middelburg (Z.);13;26,6;2;4,1;1;2;;;WAAR;Middelburg (Z.)
Midden-Delfland;3;15,5;1;5,2;0;0;;;WAAR;Midden-Delfland
Midden-Drenthe;6;18,1;0;0;0;0;;;WAAR;Midden-Drenthe
Midden-Groningen;16;26,3;2;3,3;1;1,6;;;WAAR;Midden-Groningen
Mill en Sint Hubert;15;137,1;0;0;3;27,4;;;WAAR;Mill en Sint Hubert
Moerdijk;26;70;4;10,8;2;5,4;;;WAAR;Moerdijk
Molenlanden;41;93,4;1;2,3;3;6,8;;;WAAR;Molenlanden
Montferland;48;133,3;3;8,3;2;5,6;;;WAAR;Montferland
Montfoort;4;28,7;0;0;0;0;;;WAAR;Montfoort
Mook en Middelaar;13;165,7;2;25,5;2;25,5;;;WAAR;Mook en Middelaar
Neder-Betuwe;30;123,3;1;4,1;7;28,8;;;WAAR;Neder-Betuwe
Nederweert;7;41,1;1;5,9;2;11,8;;;WAAR;Nederweert
Nieuwegein;35;55,2;7;11;5;7,9;;;WAAR;Nieuwegein
Nieuwkoop;18;62,5;1;3,5;2;6,9;;;WAAR;Nieuwkoop
Nijkerk;11;25,5;1;2,3;1;2,3;;;WAAR;Nijkerk
Nijmegen;158;88,9;15;8,4;17;9,6;;;WAAR;Nijmegen
Nissewaard;51;59,8;5;5,9;7;8,2;;;WAAR;Nissewaard
Noardeast-Fryslan;16;35,4;1;2,2;2;4,4;;;WAAR;Noardeast-Fryslan
Noord-Beveland;1;13,5;0;0;0;0;;;WAAR;Noord-Beveland
Noordenveld;9;28,8;1;3,2;0;0;;;WAAR;Noordenveld
Noordoostpolder;35;74;6;12,7;3;6,3;;;WAAR;Noordoostpolder
Noordwijk;14;32,2;1;2,3;0;0;;;WAAR;Noordwijk
Nuenen, Gerwen en Nederwetten;19;81,3;4;17,1;4;17,1;;;WAAR;Nuenen, Gerwen en Nederwetten
Nunspeet;74;265,7;4;14,4;7;25,1;;;WAAR;Nunspeet
Oegstgeest;14;56,4;3;12,1;0;0;;;WAAR;Oegstgeest
Oirschot;19;101,5;0;0;4;21,4;;;WAAR;Oirschot
Oisterwijk;15;57,2;2;7,6;1;3,8;;;WAAR;Oisterwijk
Oldambt;6;15,7;2;5,2;0;0;;;WAAR;Oldambt
Oldebroek;53;224,1;4;16,9;4;16,9;;;WAAR;Oldebroek
Oldenzaal;17;53,4;1;3,1;0;0;;;WAAR;Oldenzaal
Olst-Wijhe;17;93,1;3;16,4;2;11;;;WAAR;Olst-Wijhe
Ommen;20;111,1;2;11,1;0;0;;;WAAR;Ommen
Oost Gelre;22;74,3;3;10,1;2;6,8;;;WAAR;Oost Gelre
Oosterhout;21;37,5;2;3,6;4;7,1;;;WAAR;Oosterhout
Ooststellingwerf;3;11,8;1;3,9;0;0;;;WAAR;Ooststellingwerf
Oostzaan;6;61,6;2;20,5;1;10,3;;;WAAR;Oostzaan
Opmeer;4;33,8;0;0;1;8,4;;;WAAR;Opmeer
Opsterland;10;33,6;1;3,4;0;0;;;WAAR;Opsterland
Oss;136;148;17;18,5;19;20,7;;;WAAR;Oss
Oude IJsselstreek;32;81,2;3;7,6;2;5,1;;;WAAR;Oude IJsselstreek
Ouder-Amstel;8;57;0;0;0;0;;;WAAR;Ouder-Amstel
Oudewater;9;88;1;9,8;2;19,6;;;WAAR;Oudewater
Overbetuwe;29;60,5;6;12,5;2;4,2;;;WAAR;Overbetuwe
Papendrecht;23;71,6;0;0;4;12,4;;;WAAR;Papendrecht
Peel en Maas;44;101,3;9;20,7;8;18,4;;;WAAR;Peel en Maas
Pekela;1;8,2;0;0;0;0;;;WAAR;Pekela
Pijnacker-Nootdorp;46;83,2;4;7,2;3;5,4;;;WAAR;Pijnacker-Nootdorp
Purmerend;61;75,1;8;9,8;11;13,5;;;WAAR;Purmerend
Putten;3;12,4;0;0;0;0;;;WAAR;Putten
Raalte;75;198,9;3;8;4;10,6;;;WAAR;Raalte
Reimerswaal;13;57,2;0;0;0;0;;;WAAR;Reimerswaal
Renkum;24;76,4;1;3,2;4;12,7;;;WAAR;Renkum
Renswoude;8;147;0;0;3;55,1;;;WAAR;Renswoude
Reusel-De Mierden;8;61;1;7,6;2;15,3;;;WAAR;Reusel-De Mierden
Rheden;15;34,3;1;2,3;2;4,6;;;WAAR;Rheden
Rhenen;11;54,7;3;14,9;3;14,9;;;WAAR;Rhenen
Ridderkerk;29;62,8;4;8,7;5;10,8;;;WAAR;Ridderkerk
Rijssen-Holten;49;128,3;6;15,7;6;15,7;;;WAAR;Rijssen-Holten
