Gemeente;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000;;;;Municipality_name
Aa en Hunze;0;0;0;0;0;0;;;WAAR;Aa en Hunze
Aalsmeer;21;65,9;0;0;0;0;;;WAAR;Aalsmeer
Aalten;7;25,8;0;0;0;0;;;WAAR;Aalten
Achtkarspelen;0;0;0;0;0;0;;;WAAR;Achtkarspelen
Alblasserdam;9;44,6;0;0;0;0;;;WAAR;Alblasserdam
Albrandswaard;15;58,6;0;0;0;0;;;WAAR;Albrandswaard
Alkmaar;27;24,7;0;0;0;0;;;WAAR;Alkmaar
Almelo;15;20,5;1;1,4;0;0;;;WAAR;Almelo
Almere;138;65,1;2;0,9;0;0;;;WAAR;Almere
Alphen aan den Rijn;47;42;0;0;0;0;;;WAAR;Alphen aan den Rijn
Alphen-Chaam;4;39,2;0;0;0;0;;;WAAR;Alphen-Chaam
Altena;8;14,3;0;0;0;0;;;WAAR;Altena
Ameland;0;0;0;0;0;0;;;WAAR;Ameland
Amersfoort;82;52,1;1;0,6;1;0,6;;;WAAR;Amersfoort
Amstelveen;67;73,1;0;0;0;0;;;WAAR;Amstelveen
Amsterdam;1401;160,5;10;1,1;2;0,2;;;WAAR;Amsterdam
Apeldoorn;22;13,4;0;0;0;0;;;WAAR;Apeldoorn
Appingedam;1;8,6;0;0;0;0;;;WAAR;Appingedam
Arnhem;74;45,9;0;0;1;0,6;;;WAAR;Arnhem
Assen;6;8,7;0;0;0;0;;;WAAR;Assen
Asten;4;23,9;0;0;0;0;;;WAAR;Asten
Baarle-Nassau;3;43,7;0;0;0;0;;;WAAR;Baarle-Nassau
Baarn;9;36,2;0;0;0;0;;;WAAR;Baarn
Barendrecht;35;71,8;0;0;0;0;;;WAAR;Barendrecht
Barneveld;14;23,7;0;0;0;0;;;WAAR;Barneveld
Beek (L.);2;12,6;0;0;0;0;;;WAAR;Beek (L.)
Beekdaelen;6;16,7;0;0;0;0;;;WAAR;Beekdaelen
