Gemeente;Gemnr;Gemeente;Bev_2020;van_datum;tot_datum;;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000;;;
Aa en Hunze;1680;Aa en Hunze;25445;2020-12-02;2020-12-15;Aa en Hunze;78;306,5;1;3,9;0;0;;WAAR;Aa en Hunze
Aalsmeer;358;Aalsmeer;31859;2020-12-02;2020-12-15;Aalsmeer;141;442,6;2;6,3;1;3,1;;WAAR;Aalsmeer
Aalten;197;Aalten;27121;2020-12-02;2020-12-15;Aalten;87;320,8;0;0;0;0;;WAAR;Aalten
Achtkarspelen;59;Achtkarspelen;27843;2020-12-02;2020-12-15;Achtkarspelen;76;273;1;3,6;0;0;;WAAR;Achtkarspelen
Alblasserdam;482;Alblasserdam;20165;2020-12-02;2020-12-15;Alblasserdam;103;510,8;0;0;0;0;;WAAR;Alblasserdam
Albrandswaard;613;Albrandswaard;25590;2020-12-02;2020-12-15;Albrandswaard;149;582,3;0;0;1;3,9;;WAAR;Albrandswaard
Alkmaar;361;Alkmaar;109436;2020-12-02;2020-12-15;Alkmaar;486;444,1;2;1,8;3;2,7;;WAAR;Alkmaar
Almelo;141;Almelo;73107;2020-12-02;2020-12-15;Almelo;436;596,4;5;6,8;2;2,7;;WAAR;Almelo
Almere;34;Almere;211893;2020-12-02;2020-12-15;Almere;1414;667,3;8;3,8;1;0,5;;WAAR;Almere
Alphen aan den Rijn;484;Alphen aan den Rijn;111897;2020-12-02;2020-12-15;Alphen aan den Rijn;840;750,7;3;2,7;6;5,4;;WAAR;Alphen aan den Rijn
Alphen-Chaam;1723;Alphen-Chaam;10203;2020-12-02;2020-12-15;Alphen-Chaam;38;372,4;0;0;0;0;;WAAR;Alphen-Chaam
Altena;1959;Altena;55967;2020-12-02;2020-12-15;Altena;653;1166,8;5;8,9;4;7,1;;WAAR;Altena
Ameland;60;Ameland;3716;2020-12-02;2020-12-15;Ameland;18;484,4;0;0;0;0;;WAAR;Ameland
Amersfoort;307;Amersfoort;157276;2020-12-02;2020-12-15;Amersfoort;1203;764,9;10;6,4;6;3,8;;WAAR;Amersfoort
Amstelveen;362;Amstelveen;91675;2020-12-02;2020-12-15;Amstelveen;424;462,5;2;2,2;9;9,8;;WAAR;Amstelveen
Amsterdam;363;Amsterdam;872757;2020-12-02;2020-12-15;Amsterdam;4555;521,9;32;3,7;21;2,4;;WAAR;Amsterdam
Apeldoorn;200;Apeldoorn;163818;2020-12-02;2020-12-15;Apeldoorn;863;526,8;3;1,8;2;1,2;;WAAR;Apeldoorn
Appingedam;3;Appingedam;11642;2020-12-02;2020-12-15;Appingedam;89;764,5;1;8,6;0;0;;WAAR;Appingedam
Arnhem;202;Arnhem;161348;2020-12-02;2020-12-15;Arnhem;972;602,4;2;1,2;10;6,2;;WAAR;Arnhem
Assen;106;Assen;68599;2020-12-02;2020-12-15;Assen;146;212,8;3;4,4;2;2,9;;WAAR;Assen
Asten;743;Asten;16721;2020-12-02;2020-12-15;Asten;92;550,2;0;0;0;0;;WAAR;Asten
Baarle-Nassau;744;Baarle-Nassau;6859;2020-12-02;2020-12-15;Baarle-Nassau;32;466,5;0;0;0;0;;WAAR;Baarle-Nassau
Baarn;308;Baarn;24868;2020-12-02;2020-12-15;Baarn;169;679,6;0;0;1;4;;WAAR;Baarn
Barendrecht;489;Barendrecht;48714;2020-12-02;2020-12-15;Barendrecht;195;400,3;1;2,1;1;2,1;;WAAR;Barendrecht
Barneveld;203;Barneveld;59082;2020-12-02;2020-12-15;Barneveld;688;1164,5;0;0;3;5,1;;WAAR;Barneveld
Beek (L.);888;Beek (L.);15865;2020-12-02;2020-12-15;Beek (L.);129;813,1;0;0;0;0;;WAAR;Beek (L.)
Beekdaelen;1954;Beekdaelen;35938;2020-12-02;2020-12-15;Beekdaelen;195;542,6;1;2,8;1;2,8;;WAAR;Beekdaelen
Beemster;370;Beemster;10022;2020-12-02;2020-12-15;Beemster;36;359,2;0;0;0;0;;WAAR;Beemster
Beesel;889;Beesel;13482;2020-12-02;2020-12-15;Beesel;57;422,8;1;7,4;1;7,4;;WAAR;Beesel
Berg en Dal;1945;Berg en Dal;34992;2020-12-02;2020-12-15;Berg en Dal;181;517,3;1;2,9;0;0;;WAAR;Berg en Dal
Bergeijk;1724;Bergeijk;18635;2020-12-02;2020-12-15;Bergeijk;209;1121,5;0;0;0;0;;WAAR;Bergeijk
Bergen (L.);893;Bergen (L.);13085;2020-12-02;2020-12-15;Bergen (L.);84;642;0;0;0;0;;WAAR;Bergen (L.)
Bergen (NH.);373;Bergen (NH.);29839;2020-12-02;2020-12-15;Bergen (NH.);130;435,7;2;6,7;1;3,4;;WAAR;Bergen (NH.)
Bergen op Zoom;748;Bergen op Zoom;67496;2020-12-02;2020-12-15;Bergen op Zoom;322;477,1;4;5,9;2;3;;WAAR;Bergen op Zoom
Berkelland;1859;Berkelland;43747;2020-12-02;2020-12-15;Berkelland;177;404,6;2;4,6;1;2,3;;WAAR;Berkelland
Bernheze;1721;Bernheze;31240;2020-12-02;2020-12-15;Bernheze;176;563,4;1;3,2;0;0;;WAAR;Bernheze
Best;753;Best;29988;2020-12-02;2020-12-15;Best;192;640,3;0;0;2;6,7;;WAAR;Best
Beuningen;209;Beuningen;25890;2020-12-02;2020-12-15;Beuningen;138;533;0;0;0;0;;WAAR;Beuningen
Beverwijk;375;Beverwijk;41626;2020-12-02;2020-12-15;Beverwijk;175;420,4;1;2,4;0;0;;WAAR;Beverwijk
Bladel;1728;Bladel;20390;2020-12-02;2020-12-15;Bladel;162;794,5;0;0;0;0;;WAAR;Bladel
Blaricum;376;Blaricum;11540;2020-12-02;2020-12-15;Blaricum;62;537,3;0;0;0;0;;WAAR;Blaricum
Bloemendaal;377;Bloemendaal;23571;2020-12-02;2020-12-15;Bloemendaal;69;292,7;0;0;1;4,2;;WAAR;Bloemendaal
Bodegraven-Reeuwijk;1901;Bodegraven-Reeuwijk;34872;2020-12-02;2020-12-15;Bodegraven-Reeuwijk;238;682,5;1;2,9;3;8,6;;WAAR;Bodegraven-Reeuwijk
Boekel;755;Boekel;10785;2020-12-02;2020-12-15;Boekel;85;788,1;1;9,3;0;0;;WAAR;Boekel
Borger-Odoorn;1681;Borger-Odoorn;25559;2020-12-02;2020-12-15;Borger-Odoorn;82;320,8;1;3,9;0;0;;WAAR;Borger-Odoorn
Borne;147;Borne;23312;2020-12-02;2020-12-15;Borne;137;587,7;0;0;2;8,6;;WAAR;Borne
Borsele;654;Borsele;22739;2020-12-02;2020-12-15;Borsele;56;246,3;0;0;0;0;;WAAR;Borsele
Boxmeer;756;Boxmeer;29365;2020-12-02;2020-12-15;Boxmeer;230;783,2;1;3,4;0;0;;WAAR;Boxmeer
Boxtel;757;Boxtel;30801;2020-12-02;2020-12-15;Boxtel;193;626,6;1;3,2;5;16,2;;WAAR;Boxtel
Breda;758;Breda;184069;2020-12-02;2020-12-15;Breda;1063;577,5;2;1,1;2;1,1;;WAAR;Breda
Brielle;501;Brielle;17271;2020-12-02;2020-12-15;Brielle;87;503,7;0;0;0;0;;WAAR;Brielle
Bronckhorst;1876;Bronckhorst;36055;2020-12-02;2020-12-15;Bronckhorst;214;593,5;0;0;2;5,5;;WAAR;Bronckhorst
Brummen;213;Brummen;20726;2020-12-02;2020-12-15;Brummen;98;472,8;0;0;0;0;;WAAR;Brummen
