Municipality_code;Total_reported;Total_reported_per_100000;Hospital_admission;Hospital_admission_per_100000;Deceased;Deceased_per_100000;;;;Municipality_name
Aa en Hunze;0;0;0;0;0;0;;;WAAR;Aa en Hunze
Aalsmeer;1;3,1;0;0;0;0;;;WAAR;Aalsmeer
Aalten;2;7,4;0;0;0;0;;;WAAR;Aalten
Achtkarspelen;0;0;0;0;0;0;;;WAAR;Achtkarspelen
Alblasserdam;0;0;0;0;0;0;;;WAAR;Alblasserdam
Albrandswaard;4;15,6;0;0;0;0;;;WAAR;Albrandswaard
Alkmaar;1;0,9;0;0;1;0,9;;;WAAR;Alkmaar
Almelo;0;0;0;0;0;0;;;WAAR;Almelo
Almere;15;7,1;0;0;1;0,5;;;WAAR;Almere
Alphen aan den Rijn;15;13,4;0;0;1;0,9;;;WAAR;Alphen aan den Rijn
Alphen-Chaam;0;0;0;0;0;0;;;WAAR;Alphen-Chaam
Altena;2;3,6;0;0;0;0;;;WAAR;Altena
Ameland;0;0;0;0;0;0;;;WAAR;Ameland
Amersfoort;11;7;0;0;0;0;;;WAAR;Amersfoort
Amstelveen;14;15,3;1;1,1;0;0;;;WAAR;Amstelveen
Amsterdam;208;23,8;2;0,2;5;0,6;;;WAAR;Amsterdam
Apeldoorn;27;16,5;0;0;0;0;;;WAAR;Apeldoorn
Appingedam;0;0;0;0;0;0;;;WAAR;Appingedam
Arnhem;52;32,2;1;0,6;4;2,5;;;WAAR;Arnhem
Assen;4;5,8;0;0;0;0;;;WAAR;Assen
Asten;3;17,9;0;0;0;0;;;WAAR;Asten
Baarle-Nassau;0;0;0;0;0;0;;;WAAR;Baarle-Nassau
Baarn;3;12,1;0;0;0;0;;;WAAR;Baarn
Barendrecht;10;20,5;0;0;0;0;;;WAAR;Barendrecht
Barneveld;4;6,8;0;0;0;0;;;WAAR;Barneveld
Beek (L.);0;0;1;6,3;1;6,3;;;WAAR;Beek (L.)
Beekdaelen;1;2,8;0;0;1;2,8;;;WAAR;Beekdaelen
Beemster;1;10;0;0;0;0;;;WAAR;Beemster
Beesel;3;22,3;0;0;0;0;;;WAAR;Beesel
Berg en Dal;15;42,9;0;0;0;0;;;WAAR;Berg en Dal
Bergeijk;3;16,1;0;0;0;0;;;WAAR;Bergeijk
Bergen (L.);2;15,3;0;0;0;0;;;WAAR;Bergen (L.)
Bergen (NH.);0;0;0;0;0;0;;;WAAR;Bergen (NH.)
Bergen op Zoom;8;11,9;0;0;0;0;;;WAAR;Bergen op Zoom
Berkelland;8;18,3;0;0;0;0;;;WAAR;Berkelland
Bernheze;2;6,4;0;0;0;0;;;WAAR;Bernheze
Best;5;16,7;0;0;0;0;;;WAAR;Best
Beuningen;1;3,9;0;0;0;0;;;WAAR;Beuningen
