"Gemeente";"Gemnr";"Gemeente";"Bev_2020";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"Aa en Hunze";1680;"Aa en Hunze";25445;"18-11-2020";"01-12-2020";56;220,1;0;0;0;0
"Aalsmeer";358;"Aalsmeer";31859;"18-11-2020";"01-12-2020";131;411,2;0;0;0;0
"Aalten";197;"Aalten";27121;"18-11-2020";"01-12-2020";69;254,4;0;0;1;3,7
"Achtkarspelen";59;"Achtkarspelen";27843;"18-11-2020";"01-12-2020";46;165,2;0;0;0;0
"Alblasserdam";482;"Alblasserdam";20165;"18-11-2020";"01-12-2020";52;257,9;0;0;0;0
"Albrandswaard";613;"Albrandswaard";25590;"18-11-2020";"01-12-2020";129;504,1;1;3,9;1;3,9
"Alkmaar";361;"Alkmaar";109436;"18-11-2020";"01-12-2020";349;318,9;3;2,7;2;1,8
"Almelo";141;"Almelo";73107;"18-11-2020";"01-12-2020";370;506,1;1;1,4;2;2,7
"Almere";34;"Almere";211893;"18-11-2020";"01-12-2020";826;389,8;5;2,4;1;0,5
"Alphen aan den Rijn";484;"Alphen aan den Rijn";111897;"18-11-2020";"01-12-2020";544;486,2;2;1,8;7;6,3
"Alphen-Chaam";1723;"Alphen-Chaam";10203;"18-11-2020";"01-12-2020";45;441;0;0;0;0
"Altena";1959;"Altena";55967;"18-11-2020";"01-12-2020";478;854,1;3;5,4;5;8,9
"Ameland";60;"Ameland";3716;"18-11-2020";"01-12-2020";1;26,9;0;0;0;0
"Amersfoort";307;"Amersfoort";157276;"18-11-2020";"01-12-2020";678;431,1;8;5,1;10;6,4
"Amstelveen";362;"Amstelveen";91675;"18-11-2020";"01-12-2020";261;284,7;3;3,3;5;5,5
"Amsterdam";363;"Amsterdam";872757;"18-11-2020";"01-12-2020";3653;418,6;35;4;19;2,2
"Apeldoorn";200;"Apeldoorn";163818;"18-11-2020";"01-12-2020";445;271,6;6;3,7;5;3,1
"Appingedam";3;"Appingedam";11642;"18-11-2020";"01-12-2020";31;266,3;0;0;0;0
