Updated;Total_reported;Total_reported_per_100000;Hospital_admission;Hospital_admission_per_100000;Deceased;Deceased_per_100000;Total_reported_weekly;Total_reported_per_100000_weekly;Hospital_admission_weekly;Hospital_admission_per_100000_weekly;Deceased_weekly;Deceased_per_100000_weekly
2020-03-03;123;257,0;40;89,6;0;0,0;119;253,3;40;89,6;0;0,0
2020-03-10;571;1165,8;213;455,3;5;9,9;564;1161,2;213;455,3;5;9,9
2020-03-17;2224;4840,9;985;2267,2;87;202,7;2101;4583,9;945;2177,6;87;202,7
2020-03-24;6812;14930,4;3519;8186,2;498;1151,2;6241;13764,6;3306;7730,9;493;1141,3
2020-03-31;13714;30160,4;6602;14935,1;1459;3468,3;11490;25319,5;5617;12667,9;1372;3265,6
2020-04-07;20761;45420,9;8560;19152,5;2638;6024,4;13949;30490,5;5041;10966,3;2140;4873,2
2020-04-14;28181;61166,8;9651;21272,5;3609;8044,1;14467;31006,4;3049;6337,4;2150;4575,8
2020-04-21;34605;74246,1;10268;22424,9;4454;9737,6;13844;28825,2;1708;3272,4;1816;3713,2
2020-04-28;38524;82104,8;10627;23110,5;5077;10879,6;10343;20938,0;976;1838,0;1468;2835,5
2020-05-05;40993;86663,0;10831;23441,9;5448;11544,9;6388;12416,9;563;1017,0;994;1807,3
2020-05-12;42704;89528,7;10981;23671,6;5716;11974,9;4180;7423,9;354;561,1;639;1095,3
2020-05-19;43924;91616,5;11058;23785,8;5859;12193,1;2931;4953,5;227;343,9;411;648,2
2020-05-26;45180;93888,1;11119;23874,5;5977;12339,9;2476;4359,4;138;202,9;261;365,0
2020-06-02;46219;95690,9;11168;23951,8;6049;12439,7;2295;4074,4;110;166,0;190;246,6
2020-06-09;47498;97734,2;11197;23988,3;6100;12510,9;2318;3846,1;78;113,8;123;171,0
2020-06-16;48589;99363,3;11214;24019,5;6132;12566,0;2370;3672,4;46;67,7;83;126,3
2020-06-23;49213;100262,0;11231;24038,7;6151;12595,1;1715;2527,8;34;50,4;51;84,2
2020-06-30;49732;101088,9;11241;24051,2;6164;12623,2;1143;1725,6;27;31,7;32;57,2
2020-07-07;50152;101701,5;11248;24059,7;6176;12649,6;939;1439,5;17;21,0;25;54,5
2020-07-14;50727;102422,5;11258;24073,6;6181;12666,0;995;1333,6;17;22,4;17;42,8
2020-07-21;51804;103934,1;11271;24091,1;6188;12677,4;1652;2232,6;23;31,4;12;27,8
2020-07-28;53176;105676,2;11304;24121,2;6199;12686,5;2449;3253,7;46;47,6;18;20,5
2020-08-04;55494;108079,2;11317;24130,2;6198;12684,0;3690;4145,1;46;39,1;10;6,6
2020-08-11;59474;112403,8;11358;24173,7;6206;12692,9;6298;6727,6;54;52,5;7;6,4
2020-08-18;62878;116448,3;11377;24180,4;6218;12694,0;7384;8369,1;60;50,2;20;10,0
2020-08-25;66276;120815,6;11430;24236,9;6245;12737,4;6802;8411,8;72;63,2;39;44,5
2020-09-01;70250;126130,0;11470;24268,2;6266;12769,4;7372;9681,7;93;87,8;48;75,4
2020-09-08;75982;133057,4;11531;24322,5;6282;12784,2;9706;12241,8;101;85,6;37;46,8
2020-09-15;85278;145351,1;11648;24453,0;6297;12809,2;15028;19221,1;178;184,8;31;39,8
2020-09-22;100359;166430,6;11869;24718,2;6362;12887,1;24377;33373,2;338;395,7;80;102,9
2020-09-29;121109;198959,0;12167;25134,2;6452;13051,3;35831;53607,9;519;681,2;155;242,1
2020-10-06;151833;251238,4;12608;25742,6;6608;13279,1;51474;84807,8;739;1024,4;246;392,0
2020-10-13;199437;336533,1;13114;26582,4;6782;13590,2;78328;137574,1;947;1448,2;330;538,9
2020-10-20;257229;441610,4;13722;27721,6;7084;14174,7;105396;190372,0;1114;1979,0;476;895,6
2020-10-27;325753;569586,6;14406;28804,0;7479;14915,9;126316;233053,5;1292;2221,6;697;1325,7
2020-11-03;383848;681189,2;15006;29794,6;7993;15945,0;126619;239578,8;1284;2073,0;909;1770,3
2020-11-10;423958;759028,6;15475;30544,2;8540;17058,9;98205;189442,0;1069;1740,2;1061;2143,0
2020-11-17;460212;828895,8;15936;31327,1;8947;17799,6;76364;147706,6;930;1532,5;954;1854,6
2020-11-24;496751;902258,5;16317;31933,4;9294;18452,1;72793;143229,9;842;1389,2;754;1393,2
2020-12-01;530288;969587,8;16648;32544,3;9627;19064,8;70076;140692,0;712;1217,2;680;1265,2
2020-12-08;576773;1068447,2;17075;33334,7;9923;19686,7;80022;166188,7;758;1401,3;629;1234,6
2020-12-15;623963;1169855,2;17208;33628,0;10109;20087,8;93675;200267,4;560;1083,7;482;1023,0
2020-12-22;705989;1349596,8;17752;34573,8;10571;21040,7;129216;281149,6;677;1239,1;648;1354,0
2020-12-29;754143;1457845,4;17923;34940,0;10888;21752,0;130180;287990,2;715;1312,0;779;1664,2
