Gemeente;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000;;;;
Aa en Hunze;1;3,9;0;0;0;0;;;WAAR;Aa en Hunze
Aalsmeer;7;22;0;0;0;0;;;WAAR;Aalsmeer
Aalten;15;55,3;0;0;0;0;;;WAAR;Aalten
Achtkarspelen;0;0;0;0;0;0;;;WAAR;Achtkarspelen
Alblasserdam;4;19,8;0;0;0;0;;;WAAR;Alblasserdam
Albrandswaard;11;43;0;0;0;0;;;WAAR;Albrandswaard
Alkmaar;22;20,1;0;0;0;0;;;WAAR;Alkmaar
Almelo;12;16,4;0;0;0;0;;;WAAR;Almelo
Almere;108;51;1;0,5;0;0;;;WAAR;Almere
Alphen aan den Rijn;26;23,2;0;0;0;0;;;WAAR;Alphen aan den Rijn
Alphen-Chaam;3;29,4;0;0;0;0;;;WAAR;Alphen-Chaam
Altena;14;25;0;0;0;0;;;WAAR;Altena
Ameland;0;0;0;0;0;0;;;WAAR;Ameland
Amersfoort;37;23,5;0;0;1;0,6;;;WAAR;Amersfoort
Amstelveen;53;57,8;1;1,1;0;0;;;WAAR;Amstelveen
Amsterdam;1116;127,9;12;1,4;2;0,2;;;WAAR;Amsterdam
Apeldoorn;11;6,7;0;0;0;0;;;WAAR;Apeldoorn
Appingedam;0;0;0;0;0;0;;;WAAR;Appingedam
Arnhem;60;37,2;0;0;0;0;;;WAAR;Arnhem
Assen;7;10,2;0;0;0;0;;;WAAR;Assen
Asten;2;12;0;0;0;0;;;WAAR;Asten
Baarle-Nassau;6;87,5;0;0;0;0;;;WAAR;Baarle-Nassau
Baarn;6;24,1;0;0;0;0;;;WAAR;Baarn
Barendrecht;19;39;0;0;0;0;;;WAAR;Barendrecht
Barneveld;13;22;0;0;0;0;;;WAAR;Barneveld
Beek (L.);4;25,2;0;0;0;0;;;WAAR;Beek (L.)
Beekdaelen;5;13,9;0;0;0;0;;;WAAR;Beekdaelen
Beemster;0;0;0;0;0;0;;;WAAR;Beemster
Beesel;2;14,8;0;0;0;0;;;WAAR;Beesel
Berg en Dal;2;5,7;0;0;0;0;;;WAAR;Berg en Dal
Bergeijk;7;37,6;0;0;0;0;;;WAAR;Bergeijk
Bergen (L.);0;0;0;0;0;0;;;WAAR;Bergen (L.)
Bergen (NH.);5;16,8;0;0;0;0;;;WAAR;Bergen (NH.)
Bergen op Zoom;22;32,6;0;0;0;0;;;WAAR;Bergen op Zoom
Berkelland;3;6,9;0;0;0;0;;;WAAR;Berkelland
Bernheze;13;41,6;0;0;0;0;;;WAAR;Bernheze
Best;11;36,7;0;0;0;0;;;WAAR;Best
Beuningen;9;34,8;0;0;0;0;;;WAAR;Beuningen
Beverwijk;13;31,2;0;0;0;0;;;WAAR;Beverwijk
Bladel;5;24,5;0;0;0;0;;;WAAR;Bladel
Blaricum;2;17,3;0;0;0;0;;;WAAR;Blaricum
Bloemendaal;10;42,4;0;0;0;0;;;WAAR;Bloemendaal
Bodegraven-Reeuwijk;14;40,1;0;0;0;0;;;WAAR;Bodegraven-Reeuwijk
Boekel;1;9,3;0;0;0;0;;;WAAR;Boekel
Borger-Odoorn;0;0;0;0;0;0;;;WAAR;Borger-Odoorn
Borne;3;12,9;0;0;0;0;;;WAAR;Borne
Borsele;3;13,2;0;0;1;4,4;;;WAAR;Borsele
Boxmeer;10;34,1;0;0;0;0;;;WAAR;Boxmeer
Boxtel;14;45,5;0;0;0;0;;;WAAR;Boxtel
Breda;87;47,3;1;0,5;0;0;;;WAAR;Breda
Brielle;8;46,3;0;0;0;0;;;WAAR;Brielle
Bronckhorst;2;5,5;0;0;0;0;;;WAAR;Bronckhorst
Brummen;0;0;0;0;0;0;;;WAAR;Brummen
Brunssum;9;32,3;0;0;0;0;;;WAAR;Brunssum
Bunnik;2;13,2;0;0;0;0;;;WAAR;Bunnik
Bunschoten;9;41,2;0;0;0;0;;;WAAR;Bunschoten
Buren;2;7,5;0;0;0;0;;;WAAR;Buren
Capelle aan den IJssel;29;43,2;0;0;3;4,5;;;WAAR;Capelle aan den IJssel
Castricum;3;8,3;0;0;0;0;;;WAAR;Castricum
Coevorden;2;5,7;0;0;0;0;;;WAAR;Coevorden
Cranendonck;4;18,9;0;0;0;0;;;WAAR;Cranendonck
Cuijk;6;23,9;0;0;0;0;;;WAAR;Cuijk
Culemborg;7;24,2;0;0;0;0;;;WAAR;Culemborg
Dalfsen;6;21;0;0;0;0;;;WAAR;Dalfsen
Dantumadiel;1;5,3;0;0;0;0;;;WAAR;Dantumadiel
De Bilt;10;23,2;0;0;0;0;;;WAAR;De Bilt
De Fryske Marren;1;1,9;0;0;0;0;;;WAAR;De Fryske Marren
De Ronde Venen;20;45;0;0;0;0;;;WAAR;De Ronde Venen
De Wolden;0;0;0;0;0;0;;;WAAR;De Wolden
Delft;59;57;0;0;0;0;;;WAAR;Delft
Delfzijl;23;93,2;0;0;0;0;;;WAAR;Delfzijl
Den Helder;3;5,3;0;0;0;0;;;WAAR;Den Helder
Deurne;16;49,3;0;0;1;3,1;;;WAAR;Deurne
Deventer;20;19,9;0;0;0;0;;;WAAR;Deventer
Diemen;26;84,5;0;0;1;3,2;;;WAAR;Diemen
