Gemeente;Gemnr;Gemeente;Bev_2020;van_datum;tot_datum;Gemeente;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000;;Municipalities;Municipalities
Hoorn;405;Hoorn;73261;9-12-2020;22-12-2020;Hoorn;581;793,1;2;2,7;0;0;;WAAR;Hoorn
Horst aan de Maas;1507;Horst aan de Maas;42429;9-12-2020;22-12-2020;Horst aan de Maas;572;1348,1;1;2,4;3;7,1;;WAAR;Horst aan de Maas
Houten;321;Houten;50146;9-12-2020;22-12-2020;Houten;411;819,6;1;2;1;2;;WAAR;Houten
Huizen;406;Huizen;41273;9-12-2020;22-12-2020;Huizen;418;1012,8;1;2,4;7;17;;WAAR;Huizen
Hulst;677;Hulst;27556;9-12-2020;22-12-2020;Hulst;110;399,2;1;3,6;1;3,6;;WAAR;Hulst
IJsselstein;353;IJsselstein;34109;9-12-2020;22-12-2020;IJsselstein;237;694,8;0;0;0;0;;WAAR;IJsselstein
Kaag en Braassem;1884;Kaag en Braassem;27297;9-12-2020;22-12-2020;Kaag en Braassem;242;886,5;1;3,7;0;0;;WAAR;Kaag en Braassem
Kampen;166;Kampen;54319;9-12-2020;22-12-2020;Kampen;356;655,4;1;1,8;1;1,8;;WAAR;Kampen
Kapelle;678;Kapelle;12695;9-12-2020;22-12-2020;Kapelle;83;653,8;1;7,9;1;7,9;;WAAR;Kapelle
Katwijk;537;Katwijk;65753;9-12-2020;22-12-2020;Katwijk;685;1041,8;4;6,1;3;4,6;;WAAR;Katwijk
Kerkrade;928;Kerkrade;45749;9-12-2020;22-12-2020;Kerkrade;275;601,1;1;2,2;1;2,2;;WAAR;Kerkrade
Koggenland;1598;Koggenland;22749;9-12-2020;22-12-2020;Koggenland;121;531,9;0;0;0;0;;WAAR;Koggenland
Krimpen aan den IJssel;542;Krimpen aan den IJssel;29526;9-12-2020;22-12-2020;Krimpen aan den IJssel;326;1104,1;0;0;4;13,5;;WAAR;Krimpen aan den IJssel
Krimpenerwaard;1931;Krimpenerwaard;56319;9-12-2020;22-12-2020;Krimpenerwaard;457;811,4;7;12,4;2;3,6;;WAAR;Krimpenerwaard
Laarbeek;1659;Laarbeek;22523;9-12-2020;22-12-2020;Laarbeek;220;976,8;2;8,9;1;4,4;;WAAR;Laarbeek
Landerd;1685;Landerd;15730;9-12-2020;22-12-2020;Landerd;136;864,6;1;6,4;0;0;;WAAR;Landerd
Landgraaf;882;Landgraaf;37445;9-12-2020;22-12-2020;Landgraaf;348;929,4;1;2,7;3;8;;WAAR;Landgraaf
Landsmeer;415;Landsmeer;11491;9-12-2020;22-12-2020;Landsmeer;76;661,4;1;8,7;0;0;;WAAR;Landsmeer
Langedijk;416;Langedijk;28163;9-12-2020;22-12-2020;Langedijk;238;845,1;1;3,6;0;0;;WAAR;Langedijk
Lansingerland;1621;Lansingerland;62384;9-12-2020;22-12-2020;Lansingerland;497;796,7;4;6,4;1;1,6;;WAAR;Lansingerland
Laren;417;Laren;11280;9-12-2020;22-12-2020;Laren (NH.);61;540,8;0;0;1;8,9;;WAAR;Laren (NH.)
Leeuwarden;80;Leeuwarden;124084;9-12-2020;22-12-2020;Leeuwarden;483;389,3;0;0;1;0,8;;WAAR;Leeuwarden
Leiden;546;Leiden;125099;9-12-2020;22-12-2020;Leiden;681;544,4;4;3,2;0;0;;WAAR;Leiden
Leiderdorp;547;Leiderdorp;27056;9-12-2020;22-12-2020;Leiderdorp;205;757,7;0;0;1;3,7;;WAAR;Leiderdorp
Leidschendam-Voorburg;1916;Leidschendam-Voorburg;76534;9-12-2020;22-12-2020;Leidschendam-Voorburg;587;767;8;10,5;3;3,9;;WAAR;Leidschendam-Voorburg
Lelystad;995;Lelystad;78598;9-12-2020;22-12-2020;Lelystad;652;829,5;2;2,5;2;2,5;;WAAR;Lelystad
Leudal;1640;Leudal;35879;9-12-2020;22-12-2020;Leudal;397;1106,5;2;5,6;0;0;;WAAR;Leudal
Leusden;327;Leusden;30401;9-12-2020;22-12-2020;Leusden;248;815,8;2;6,6;4;13,2;;WAAR;Leusden
Lingewaard;1705;Lingewaard;46601;9-12-2020;22-12-2020;Lingewaard;407;873,4;1;2,1;0;0;;WAAR;Lingewaard
Lisse;553;Lisse;22955;9-12-2020;22-12-2020;Lisse;222;967,1;4;17,4;2;8,7;;WAAR;Lisse
Lochem;262;Lochem;33729;9-12-2020;22-12-2020;Lochem;187;554,4;1;3;1;3;;WAAR;Lochem
Loon op Zand;809;Loon op Zand;23408;9-12-2020;22-12-2020;Loon op Zand;241;1029,6;1;4,3;1;4,3;;WAAR;Loon op Zand
Lopik;331;Lopik;14467;9-12-2020;22-12-2020;Lopik;117;808,7;0;0;1;6,9;;WAAR;Lopik
Loppersum;24;Loppersum;9537;9-12-2020;22-12-2020;Loppersum;43;450,9;1;10,5;0;0;;WAAR;Loppersum
Losser;168;Losser;22683;9-12-2020;22-12-2020;Losser;264;1163,9;5;22;6;26,5;;WAAR;Losser
Maasdriel;263;Maasdriel;25030;9-12-2020;22-12-2020;Maasdriel;214;855;1;4;1;4;;WAAR;Maasdriel
Maasgouw;1641;Maasgouw;23965;9-12-2020;22-12-2020;Maasgouw;169;705,2;0;0;0;0;;WAAR;Maasgouw
Maassluis;556;Maassluis;33213;9-12-2020;22-12-2020;Maassluis;233;701,5;0;0;0;0;;WAAR;Maassluis
Maastricht;935;Maastricht;121575;9-12-2020;22-12-2020;Maastricht;834;686;9;7,4;2;1,6;;WAAR;Maastricht
Medemblik;420;Medemblik;45101;9-12-2020;22-12-2020;Medemblik;524;1161,8;1;2,2;1;2,2;;WAAR;Medemblik
Meerssen;938;Meerssen;18828;9-12-2020;22-12-2020;Meerssen;158;839,2;0;0;1;5,3;;WAAR;Meerssen
Meierijstad;1948;Meierijstad;81194;9-12-2020;22-12-2020;Meierijstad;676;832,6;2;2,5;3;3,7;;WAAR;Meierijstad
Meppel;119;Meppel;33920;9-12-2020;22-12-2020;Meppel;192;566;1;2,9;0;0;;WAAR;Meppel
Middelburg;687;Middelburg;48822;9-12-2020;22-12-2020;Middelburg (Z.);209;428,1;1;2;0;0;;WAAR;Middelburg (Z.)
Midden-Delfland;1842;Midden-Delfland;19341;9-12-2020;22-12-2020;Midden-Delfland;198;1023,7;0;0;1;5,2;;WAAR;Midden-Delfland
Midden-Drenthe;1731;Midden-Drenthe;33185;9-12-2020;22-12-2020;Midden-Drenthe;157;473,1;1;3;0;0;;WAAR;Midden-Drenthe
Midden-Groningen;1952;Midden-Groningen;60797;9-12-2020;22-12-2020;Midden-Groningen;255;419,4;1;1,6;3;4,9;;WAAR;Midden-Groningen
Mill en Sint Hubert;815;Mill en Sint Hubert;10939;9-12-2020;22-12-2020;Mill en Sint Hubert;73;667,3;0;0;1;9,1;;WAAR;Mill en Sint Hubert
Moerdijk;1709;Moerdijk;37129;9-12-2020;22-12-2020;Moerdijk;192;517,1;2;5,4;1;2,7;;WAAR;Moerdijk
Molenlanden;1978;Molenlanden;43909;9-12-2020;22-12-2020;Molenlanden;373;849,5;0;0;1;2,3;;WAAR;Molenlanden
Montferland;1955;Montferland;36011;9-12-2020;22-12-2020;Montferland;231;641,5;2;5,6;0;0;;WAAR;Montferland
Montfoort;335;Montfoort;13917;9-12-2020;22-12-2020;Montfoort;139;998,8;0;0;0;0;;WAAR;Montfoort
