Gemeente;Gemnr;Gemeente;Bev_2020;van_datum;tot_datum;Gemeente;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000;;Municipalities;Municipalities
Aa en Hunze;1680;Aa en Hunze;25445;9-12-2020;22-12-2020;Aa en Hunze;101;396,9;0;0;0;0;;WAAR;Aa en Hunze
Aalsmeer;358;Aalsmeer;31859;9-12-2020;22-12-2020;Aalsmeer;200;627,8;1;3,1;0;0;;WAAR;Aalsmeer
Aalten;197;Aalten;27121;9-12-2020;22-12-2020;Aalten;205;755,9;2;7,4;0;0;;WAAR;Aalten
Achtkarspelen;59;Achtkarspelen;27843;9-12-2020;22-12-2020;Achtkarspelen;133;477,7;0;0;0;0;;WAAR;Achtkarspelen
Alblasserdam;482;Alblasserdam;20165;9-12-2020;22-12-2020;Alblasserdam;173;857,9;1;5;0;0;;WAAR;Alblasserdam
Albrandswaard;613;Albrandswaard;25590;9-12-2020;22-12-2020;Albrandswaard;158;617,4;1;3,9;1;3,9;;WAAR;Albrandswaard
Alkmaar;361;Alkmaar;109436;9-12-2020;22-12-2020;Alkmaar;679;620,5;2;1,8;4;3,7;;WAAR;Alkmaar
Almelo;141;Almelo;73107;9-12-2020;22-12-2020;Almelo;680;930,1;4;5,5;4;5,5;;WAAR;Almelo
Almere;34;Almere;211893;9-12-2020;22-12-2020;Almere;2051;967,9;10;4,7;0;0;;WAAR;Almere
Alphen aan den Rijn;484;Alphen aan den Rijn;111897;9-12-2020;22-12-2020;Alphen aan den Rijn;1099;982,2;4;3,6;7;6,3;;WAAR;Alphen aan den Rijn
Alphen-Chaam;1723;Alphen-Chaam;10203;9-12-2020;22-12-2020;Alphen-Chaam;66;646,9;1;9,8;0;0;;WAAR;Alphen-Chaam
Altena;1959;Altena;55967;9-12-2020;22-12-2020;Altena;801;1431,2;2;3,6;12;21,4;;WAAR;Altena
Ameland;60;Ameland;3716;9-12-2020;22-12-2020;Ameland;49;1318,6;0;0;0;0;;WAAR;Ameland
Amersfoort;307;Amersfoort;157276;9-12-2020;22-12-2020;Amersfoort;1497;951,8;12;7,6;6;3,8;;WAAR;Amersfoort
Amstelveen;362;Amstelveen;91675;9-12-2020;22-12-2020;Amstelveen;518;565;3;3,3;9;9,8;;WAAR;Amstelveen
Amsterdam;363;Amsterdam;872757;9-12-2020;22-12-2020;Amsterdam;5792;663,6;53;6,1;25;2,9;;WAAR;Amsterdam
Apeldoorn;200;Apeldoorn;163818;9-12-2020;22-12-2020;Apeldoorn;1184;722,8;5;3,1;4;2,4;;WAAR;Apeldoorn
Appingedam;3;Appingedam;11642;9-12-2020;22-12-2020;Appingedam;88;755,9;0;0;0;0;;WAAR;Appingedam
Arnhem;202;Arnhem;161348;9-12-2020;22-12-2020;Arnhem;1199;743,1;4;2,5;6;3,7;;WAAR;Arnhem
Assen;106;Assen;68599;9-12-2020;22-12-2020;Assen;231;336,7;6;8,7;1;1,5;;WAAR;Assen
Asten;743;Asten;16721;9-12-2020;22-12-2020;Asten;120;717,7;0;0;0;0;;WAAR;Asten
Baarle-Nassau;744;Baarle-Nassau;6859;9-12-2020;22-12-2020;Baarle-Nassau;35;510,3;0;0;0;0;;WAAR;Baarle-Nassau
Baarn;308;Baarn;24868;9-12-2020;22-12-2020;Baarn;216;868,6;1;4;0;0;;WAAR;Baarn
Barendrecht;489;Barendrecht;48714;9-12-2020;22-12-2020;Barendrecht;266;546;2;4,1;1;2,1;;WAAR;Barendrecht
Barneveld;203;Barneveld;59082;9-12-2020;22-12-2020;Barneveld;1104;1868,6;0;0;3;5,1;;WAAR;Barneveld
Beek;888;Beek;15865;9-12-2020;22-12-2020;Beek (L.);164;1033,7;0;0;0;0;;WAAR;Beek (L.)
Beekdaelen;1954;Beekdaelen;35938;9-12-2020;22-12-2020;Beekdaelen;282;784,7;3;8,3;1;2,8;;WAAR;Beekdaelen
Beemster;370;Beemster;10022;9-12-2020;22-12-2020;Beemster;51;508,9;1;10;0;0;;WAAR;Beemster
Beesel;889;Beesel;13482;9-12-2020;22-12-2020;Beesel;102;756,6;0;0;0;0;;WAAR;Beesel
Berg en Dal;1945;Berg en Dal;34992;9-12-2020;22-12-2020;Berg en Dal;170;485,8;2;5,7;0;0;;WAAR;Berg en Dal
Bergeijk;1724;Bergeijk;18635;9-12-2020;22-12-2020;Bergeijk;248;1330,8;0;0;0;0;;WAAR;Bergeijk
Bergen (L.);893;Bergen (L.);13085;9-12-2020;22-12-2020;Bergen (L.);151;1154;0;0;0;0;;WAAR;Bergen (L.)
Bergen (NH.);373;Bergen (NH.);29839;9-12-2020;22-12-2020;Bergen (NH.);154;516,1;0;0;1;3,4;;WAAR;Bergen (NH.)
Bergen op Zoom;748;Bergen op Zoom;67496;9-12-2020;22-12-2020;Bergen op Zoom;349;517,1;1;1,5;3;4,4;;WAAR;Bergen op Zoom
Berkelland;1859;Berkelland;43747;9-12-2020;22-12-2020;Berkelland;263;601,2;3;6,9;2;4,6;;WAAR;Berkelland
Bernheze;1721;Bernheze;31240;9-12-2020;22-12-2020;Bernheze;241;771,4;0;0;0;0;;WAAR;Bernheze
Best;753;Best;29988;9-12-2020;22-12-2020;Best;332;1107,1;1;3,3;2;6,7;;WAAR;Best
Beuningen;209;Beuningen;25890;9-12-2020;22-12-2020;Beuningen;186;718,4;0;0;1;3,9;;WAAR;Beuningen
Beverwijk;375;Beverwijk;41626;9-12-2020;22-12-2020;Beverwijk;209;502,1;0;0;1;2,4;;WAAR;Beverwijk
Bladel;1728;Bladel;20390;9-12-2020;22-12-2020;Bladel;216;1059,3;2;9,8;5;24,5;;WAAR;Bladel
Blaricum;376;Blaricum;11540;9-12-2020;22-12-2020;Blaricum;74;641,2;0;0;0;0;;WAAR;Blaricum
Bloemendaal;377;Bloemendaal;23571;9-12-2020;22-12-2020;Bloemendaal;106;449,7;0;0;2;8,5;;WAAR;Bloemendaal
Bodegraven-Reeuwijk;1901;Bodegraven-Reeuwijk;34872;9-12-2020;22-12-2020;Bodegraven-Reeuwijk;366;1049,6;2;5,7;4;11,5;;WAAR;Bodegraven-Reeuwijk
Boekel;755;Boekel;10785;9-12-2020;22-12-2020;Boekel;112;1038,5;0;0;0;0;;WAAR;Boekel
Borger-Odoorn;1681;Borger-Odoorn;25559;9-12-2020;22-12-2020;Borger-Odoorn;124;485,2;1;3,9;0;0;;WAAR;Borger-Odoorn
Borne;147;Borne;23312;9-12-2020;22-12-2020;Borne;258;1106,7;1;4,3;5;21,4;;WAAR;Borne
Borsele;654;Borsele;22739;9-12-2020;22-12-2020;Borsele;125;549,7;0;0;0;0;;WAAR;Borsele
Boxmeer;756;Boxmeer;29365;9-12-2020;22-12-2020;Boxmeer;402;1369;1;3,4;1;3,4;;WAAR;Boxmeer
Boxtel;757;Boxtel;30801;9-12-2020;22-12-2020;Boxtel;270;876,6;0;0;3;9,7;;WAAR;Boxtel
Breda;758;Breda;184069;9-12-2020;22-12-2020;Breda;1349;732,9;4;2,2;5;2,7;;WAAR;Breda
Brielle;501;Brielle;17271;9-12-2020;22-12-2020;Brielle;130;752,7;0;0;1;5,8;;WAAR;Brielle
Bronckhorst;1876;Bronckhorst;36055;9-12-2020;22-12-2020;Bronckhorst;273;757,2;1;2,8;2;5,5;;WAAR;Bronckhorst
Brummen;213;Brummen;20726;9-12-2020;22-12-2020;Brummen;166;800,9;1;4,8;0;0;;WAAR;Brummen
Brunssum;899;Brunssum;27821;9-12-2020;22-12-2020;Brunssum;287;1031,6;2;7,2;1;3,6;;WAAR;Brunssum
Bunnik;312;Bunnik;15191;9-12-2020;22-12-2020;Bunnik;82;539,8;0;0;0;0;;WAAR;Bunnik
Bunschoten;313;Bunschoten;21866;9-12-2020;22-12-2020;Bunschoten;575;2629,7;1;4,6;5;22,9;;WAAR;Bunschoten
Buren;214;Buren;26749;9-12-2020;22-12-2020;Buren;249;930,9;1;3,7;0;0;;WAAR;Buren
Capelle aan den IJssel;502;Capelle aan den IJssel;67122;9-12-2020;22-12-2020;Capelle aan den IJssel;436;649,6;1;1,5;6;8,9;;WAAR;Capelle aan den IJssel
Castricum;383;Castricum;35986;9-12-2020;22-12-2020;Castricum;255;708,6;0;0;1;2,8;;WAAR;Castricum
Coevorden;109;Coevorden;35297;9-12-2020;22-12-2020;Coevorden;241;682,8;3;8,5;1;2,8;;WAAR;Coevorden
Cranendonck;1706;Cranendonck;21138;9-12-2020;22-12-2020;Cranendonck;232;1097,5;3;14,2;1;4,7;;WAAR;Cranendonck
Cuijk;1684;Cuijk;25130;9-12-2020;22-12-2020;Cuijk;198;787,9;0;0;2;8;;WAAR;Cuijk
Culemborg;216;Culemborg;28955;9-12-2020;22-12-2020;Culemborg;210;725,3;1;3,5;0;0;;WAAR;Culemborg
Dalfsen;148;Dalfsen;28587;9-12-2020;22-12-2020;Dalfsen;208;727,6;0;0;1;3,5;;WAAR;Dalfsen
Dantumadiel;1891;Dantumadiel;18922;9-12-2020;22-12-2020;Dantumadiel;140;739,9;1;5,3;0;0;;WAAR;Dantumadiel
De Bilt;310;De Bilt;43137;9-12-2020;22-12-2020;De Bilt;320;741,8;1;2,3;6;13,9;;WAAR;De Bilt
De Fryske Marren;1940;De Fryske Marren;51564;9-12-2020;22-12-2020;De Fryske Marren;214;415;3;5,8;1;1,9;;WAAR;De Fryske Marren
De Ronde Venen;736;De Ronde Venen;44456;9-12-2020;22-12-2020;De Ronde Venen;358;805,3;4;9;3;6,7;;WAAR;De Ronde Venen
De Wolden;1690;De Wolden;24330;9-12-2020;22-12-2020;De Wolden;170;698,7;1;4,1;0;0;;WAAR;De Wolden
Delft;503;Delft;103595;9-12-2020;22-12-2020;Delft;539;520,3;1;1;9;8,7;;WAAR;Delft
Delfzijl;10;Delfzijl;24678;9-12-2020;22-12-2020;Delfzijl;183;741,6;0;0;1;4,1;;WAAR;Delfzijl
Den Helder;400;Den Helder;56296;9-12-2020;22-12-2020;Den Helder;398;707;2;3,6;0;0;;WAAR;Den Helder
Deurne;762;Deurne;32471;9-12-2020;22-12-2020;Deurne;224;689,8;0;0;2;6,2;;WAAR;Deurne
Deventer;150;Deventer;100719;9-12-2020;22-12-2020;Deventer;856;849,9;2;2;1;1;;WAAR;Deventer
Diemen;384;Diemen;30780;9-12-2020;22-12-2020;Diemen;192;623,8;0;0;2;6,5;;WAAR;Diemen
Dinkelland;1774;Dinkelland;26461;9-12-2020;22-12-2020;Dinkelland;202;763,4;0;0;0;0;;WAAR;Dinkelland
Doesburg;221;Doesburg;11077;9-12-2020;22-12-2020;Doesburg;61;550,7;1;9;1;9;;WAAR;Doesburg
Doetinchem;222;Doetinchem;58001;9-12-2020;22-12-2020;Doetinchem;420;724,1;2;3,4;1;1,7;;WAAR;Doetinchem
Dongen;766;Dongen;26222;9-12-2020;22-12-2020;Dongen;304;1159,3;0;0;2;7,6;;WAAR;Dongen
Dordrecht;505;Dordrecht;119284;9-12-2020;22-12-2020;Dordrecht;874;732,7;0;0;1;0,8;;WAAR;Dordrecht
Drechterland;498;Drechterland;19719;9-12-2020;22-12-2020;Drechterland;177;897,6;0;0;1;5,1;;WAAR;Drechterland
Drimmelen;1719;Drimmelen;27272;9-12-2020;22-12-2020;Drimmelen;220;806,7;1;3,7;6;22;;WAAR;Drimmelen
Dronten;303;Dronten;41555;9-12-2020;22-12-2020;Dronten;373;897,6;2;4,8;0;0;;WAAR;Dronten
Druten;225;Druten;18926;9-12-2020;22-12-2020;Druten;153;808,4;0;0;1;5,3;;WAAR;Druten
Duiven;226;Duiven;25126;9-12-2020;22-12-2020;Duiven;188;748,2;1;4;0;0;;WAAR;Duiven
Echt-Susteren;1711;Echt-Susteren;31610;9-12-2020;22-12-2020;Echt-Susteren;257;813;0;0;0;0;;WAAR;Echt-Susteren
Edam-Volendam;385;Edam-Volendam;36197;9-12-2020;22-12-2020;Edam-Volendam;169;466,9;1;2,8;0;0;;WAAR;Edam-Volendam
Ede;228;Ede;117165;9-12-2020;22-12-2020;Ede;1418;1210,3;5;4,3;6;5,1;;WAAR;Ede
Eemnes;317;Eemnes;9247;9-12-2020;22-12-2020;Eemnes;77;832,7;1;10,8;0;0;;WAAR;Eemnes
Eersel;770;Eersel;19313;9-12-2020;22-12-2020;Eersel;171;885,4;0;0;0;0;;WAAR;Eersel
Eijsden-Margraten;1903;Eijsden-Margraten;25768;9-12-2020;22-12-2020;Eijsden-Margraten;216;838,2;0;0;1;3,9;;WAAR;Eijsden-Margraten
Eindhoven;772;Eindhoven;234394;9-12-2020;22-12-2020;Eindhoven;1466;625,4;10;4,3;17;7,3;;WAAR;Eindhoven
Elburg;230;Elburg;23161;9-12-2020;22-12-2020;Elburg;199;859,2;0;0;0;0;;WAAR;Elburg
Emmen;114;Emmen;107048;9-12-2020;22-12-2020;Emmen;697;651,1;5;4,7;0;0;;WAAR;Emmen
Enkhuizen;388;Enkhuizen;18591;9-12-2020;22-12-2020;Enkhuizen;316;1699,7;1;5,4;0;0;;WAAR;Enkhuizen
Enschede;153;Enschede;159640;9-12-2020;22-12-2020;Enschede;1045;654,6;10;6,3;14;8,8;;WAAR;Enschede
Epe;232;Epe;33178;9-12-2020;22-12-2020;Epe;267;804,8;2;6;2;6;;WAAR;Epe
Ermelo;233;Ermelo;27008;9-12-2020;22-12-2020;Ermelo;349;1292,2;0;0;0;0;;WAAR;Ermelo
Etten-Leur;777;Etten-Leur;43878;9-12-2020;22-12-2020;Etten-Leur;349;795,4;2;4,6;0;0;;WAAR;Etten-Leur
Geertruidenberg;779;Geertruidenberg;21544;9-12-2020;22-12-2020;Geertruidenberg;196;909,8;1;4,6;8;37,1;;WAAR;Geertruidenberg
Geldrop-Mierlo;1771;Geldrop-Mierlo;39726;9-12-2020;22-12-2020;Geldrop-Mierlo;319;803;3;7,6;0;0;;WAAR;Geldrop-Mierlo
Gemert-Bakel;1652;Gemert-Bakel;30723;9-12-2020;22-12-2020;Gemert-Bakel;237;771,4;1;3,3;0;0;;WAAR;Gemert-Bakel
Gennep;907;Gennep;16921;9-12-2020;22-12-2020;Gennep;197;1164,2;2;11,8;0;0;;WAAR;Gennep
Gilze en Rijen;784;Gilze en Rijen;26431;9-12-2020;22-12-2020;Gilze en Rijen;219;828,6;1;3,8;0;0;;WAAR;Gilze en Rijen
Goeree-Overflakkee;1924;Goeree-Overflakkee;50049;9-12-2020;22-12-2020;Goeree-Overflakkee;338;675,3;1;2;5;10;;WAAR;Goeree-Overflakkee
Goes;664;Goes;38082;9-12-2020;22-12-2020;Goes;105;275,7;1;2,6;1;2,6;;WAAR;Goes
Goirle;785;Goirle;23904;9-12-2020;22-12-2020;Goirle;178;744,6;0;0;1;4,2;;WAAR;Goirle
Gooise Meren;1942;Gooise Meren;58055;9-12-2020;22-12-2020;Gooise Meren;428;737,2;1;1,7;1;1,7;;WAAR;Gooise Meren
Gorinchem;512;Gorinchem;37022;9-12-2020;22-12-2020;Gorinchem;337;910,3;0;0;3;8,1;;WAAR;Gorinchem
Gouda;513;Gouda;73427;9-12-2020;22-12-2020;Gouda;570;776,3;8;10,9;11;15;;WAAR;Gouda
Grave;786;Grave;12436;9-12-2020;22-12-2020;Grave;144;1157,9;0;0;0;0;;WAAR;Grave
Groningen;14;Groningen;232874;9-12-2020;22-12-2020;Groningen (gemeente);897;385,2;7;3;3;1,3;;WAAR;Groningen (gemeente)
Gulpen-Wittem;1729;Gulpen-Wittem;14171;9-12-2020;22-12-2020;Gulpen-Wittem;111;783,3;0;0;0;0;;WAAR;Gulpen-Wittem
Haaksbergen;158;Haaksbergen;24311;9-12-2020;22-12-2020;Haaksbergen;317;1303,9;0;0;0;0;;WAAR;Haaksbergen
Haaren;788;Haaren;14370;9-12-2020;22-12-2020;Haaren;119;828,1;2;13,9;2;13,9;;WAAR;Haaren
Haarlem;392;Haarlem;162902;9-12-2020;22-12-2020;Haarlem;1060;650,7;3;1,8;4;2,5;;WAAR;Haarlem
Haarlemmermeer;394;Haarlemmermeer;156002;9-12-2020;22-12-2020;Haarlemmermeer;1034;662,8;7;4,5;21;13,5;;WAAR;Haarlemmermeer
Halderberge;1655;Halderberge;30284;9-12-2020;22-12-2020;Halderberge;181;597,7;3;9,9;0;0;;WAAR;Halderberge
Hardenberg;160;Hardenberg;60948;9-12-2020;22-12-2020;Hardenberg;441;723,6;0;0;0;0;;WAAR;Hardenberg
Harderwijk;243;Harderwijk;48414;9-12-2020;22-12-2020;Harderwijk;372;768,4;3;6,2;2;4,1;;WAAR;Harderwijk
Hardinxveld-Giessendam;523;Hardinxveld-Giessendam;18295;9-12-2020;22-12-2020;Hardinxveld-Giessendam;195;1065,9;0;0;1;5,5;;WAAR;Hardinxveld-Giessendam
Harlingen;72;Harlingen;15722;9-12-2020;22-12-2020;Harlingen;24;152,7;0;0;0;0;;WAAR;Harlingen
Hattem;244;Hattem;12209;9-12-2020;22-12-2020;Hattem;60;491,4;0;0;0;0;;WAAR;Hattem
Heemskerk;396;Heemskerk;39182;9-12-2020;22-12-2020;Heemskerk;234;597,2;0;0;1;2,6;;WAAR;Heemskerk
Heemstede;397;Heemstede;27234;9-12-2020;22-12-2020;Heemstede;154;565,5;0;0;5;18,4;;WAAR;Heemstede
Heerde;246;Heerde;18589;9-12-2020;22-12-2020;Heerde;113;607,9;0;0;0;0;;WAAR;Heerde
Heerenveen;74;Heerenveen;50493;9-12-2020;22-12-2020;Heerenveen;122;241,6;0;0;0;0;;WAAR;Heerenveen
Heerhugowaard;398;Heerhugowaard;57587;9-12-2020;22-12-2020;Heerhugowaard;526;913,4;3;5,2;2;3,5;;WAAR;Heerhugowaard
Heerlen;917;Heerlen;87086;9-12-2020;22-12-2020;Heerlen;592;679,8;5;5,7;2;2,3;;WAAR;Heerlen
Heeze-Leende;1658;Heeze-Leende;16152;9-12-2020;22-12-2020;Heeze-Leende;144;891,5;0;0;1;6,2;;WAAR;Heeze-Leende
Heiloo;399;Heiloo;23968;9-12-2020;22-12-2020;Heiloo;134;559,1;0;0;0;0;;WAAR;Heiloo
Hellendoorn;163;Hellendoorn;35916;9-12-2020;22-12-2020;Hellendoorn;464;1291,9;1;2,8;4;11,1;;WAAR;Hellendoorn
Hellevoetsluis;530;Hellevoetsluis;40142;9-12-2020;22-12-2020;Hellevoetsluis;176;438,4;1;2,5;2;5;;WAAR;Hellevoetsluis
Helmond;794;Helmond;92423;9-12-2020;22-12-2020;Helmond;523;565,9;4;4,3;0;0;;WAAR;Helmond
Hendrik-Ido-Ambacht;531;Hendrik-Ido-Ambacht;31202;9-12-2020;22-12-2020;Hendrik-Ido-Ambacht;225;721,1;0;0;4;12,8;;WAAR;Hendrik-Ido-Ambacht
Hengelo;164;Hengelo;81140;9-12-2020;22-12-2020;Hengelo (O.);722;889,8;3;3,7;0;0;;WAAR;Hengelo (O.)
Het Hogeland;1966;Het Hogeland;47801;9-12-2020;22-12-2020;Het Hogeland;235;491,6;1;2,1;0;0;;WAAR;Het Hogeland
Heumen;252;Heumen;16454;9-12-2020;22-12-2020;Heumen;120;729,3;2;12,2;0;0;;WAAR;Heumen
Heusden;797;Heusden;44692;9-12-2020;22-12-2020;Heusden;280;626,5;3;6,7;4;9;;WAAR;Heusden
Hillegom;534;Hillegom;22209;9-12-2020;22-12-2020;Hillegom;129;580,8;2;9;0;0;;WAAR;Hillegom
Hilvarenbeek;798;Hilvarenbeek;15518;9-12-2020;22-12-2020;Hilvarenbeek;174;1121,3;1;6,4;1;6,4;;WAAR;Hilvarenbeek
Hilversum;402;Hilversum;90831;9-12-2020;22-12-2020;Hilversum;470;517,4;0;0;4;4,4;;WAAR;Hilversum
Hoeksche Waard;1963;Hoeksche Waard;87401;9-12-2020;22-12-2020;Hoeksche Waard;492;562,9;2;2,3;2;2,3;;WAAR;Hoeksche Waard
Hof van Twente;1735;Hof van Twente;35017;9-12-2020;22-12-2020;Hof van Twente;227;648,3;1;2,9;1;2,9;;WAAR;Hof van Twente
Hollands Kroon;1911;Hollands Kroon;48432;9-12-2020;22-12-2020;Hollands Kroon;327;675,2;0;0;1;2,1;;WAAR;Hollands Kroon
Hoogeveen;118;Hoogeveen;55699;9-12-2020;22-12-2020;Hoogeveen;596;1070;3;5,4;1;1,8;;WAAR;Hoogeveen
