Gemeente;Gemnr;Gemeente;Bev_2020;van_datum;tot_datum;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000;Gemeente
Aa en Hunze;1680;Aa en Hunze;25445;28-10-2020;10-11-2020;28;110;0;0;0;0;Aa en Hunze
Aalsmeer;358;Aalsmeer;31859;28-10-2020;10-11-2020;233;731,3;4;12,6;6;18,8;Aalsmeer
Aalten;197;Aalten;27121;28-10-2020;10-11-2020;130;479,3;0;0;1;3,7;Aalten
Achtkarspelen;59;Achtkarspelen;27843;28-10-2020;10-11-2020;35;125,7;0;0;0;0;Achtkarspelen
Alblasserdam;482;Alblasserdam;20165;28-10-2020;10-11-2020;195;967;0;0;3;14,9;Alblasserdam
Albrandswaard;613;Albrandswaard;25590;28-10-2020;10-11-2020;190;742,5;1;3,9;3;11,7;Albrandswaard
Alkmaar;361;Alkmaar;109436;28-10-2020;10-11-2020;530;484,3;5;4,6;4;3,7;Alkmaar
Almelo;141;Almelo;73107;28-10-2020;10-11-2020;669;915,1;3;4,1;5;6,8;Almelo
Almere;34;Almere;211893;28-10-2020;10-11-2020;1144;539,9;3;1,4;5;2,4;Almere
Alphen aan den Rijn;484;Alphen aan den Rijn;111897;28-10-2020;10-11-2020;746;666,7;3;2,7;6;5,4;Alphen aan den Rijn
Alphen-Chaam;1723;Alphen-Chaam;10203;28-10-2020;10-11-2020;58;568,5;0;0;0;0;Alphen-Chaam
Altena;1959;Altena;55967;28-10-2020;10-11-2020;450;804;1;1,8;6;10,7;Altena
Ameland;60;Ameland;3716;28-10-2020;10-11-2020;5;134,6;0;0;0;0;Ameland
Amersfoort;307;Amersfoort;157276;28-10-2020;10-11-2020;868;551,9;4;2,5;8;5,1;Amersfoort
Amstelveen;362;Amstelveen;91675;28-10-2020;10-11-2020;449;489,8;3;3,3;3;3,3;Amstelveen
Amsterdam;363;Amsterdam;872757;28-10-2020;10-11-2020;5152;590,3;54;6,2;26;3;Amsterdam
Apeldoorn;200;Apeldoorn;163818;28-10-2020;10-11-2020;651;397,4;4;2,4;3;1,8;Apeldoorn
Appingedam;3;Appingedam;11642;28-10-2020;10-11-2020;13;111,7;0;0;1;8,6;Appingedam
Arnhem;202;Arnhem;161348;28-10-2020;10-11-2020;855;529,9;11;6,8;16;9,9;Arnhem
Assen;106;Assen;68599;28-10-2020;10-11-2020;159;231,8;1;1,5;1;1,5;Assen
Asten;743;Asten;16721;28-10-2020;10-11-2020;107;639,9;0;0;0;0;Asten
Baarle-Nassau;744;Baarle-Nassau;6859;28-10-2020;10-11-2020;50;729;1;14,6;0;0;Baarle-Nassau
Baarn;308;Baarn;24868;28-10-2020;10-11-2020;109;438,3;1;4;3;12,1;Baarn
Barendrecht;489;Barendrecht;48714;28-10-2020;10-11-2020;318;652,8;3;6,2;6;12,3;Barendrecht
Barneveld;203;Barneveld;59082;28-10-2020;10-11-2020;393;665,2;1;1,7;3;5,1;Barneveld
Beek (L.);888;Beek (L.);15865;28-10-2020;10-11-2020;50;315,2;0;0;0;0;Beek (L.)
Beekdaelen;1954;Beekdaelen;35938;28-10-2020;10-11-2020;119;331,1;0;0;0;0;Beekdaelen
Beemster;370;Beemster;10022;28-10-2020;10-11-2020;51;508,9;0;0;0;0;Beemster
Beesel;889;Beesel;13482;28-10-2020;10-11-2020;44;326,4;1;7,4;0;0;Beesel
Berg en Dal;1945;Berg en Dal;34992;28-10-2020;10-11-2020;257;734,5;2;5,7;3;8,6;Berg en Dal
Bergeijk;1724;Bergeijk;18635;28-10-2020;10-11-2020;124;665,4;0;0;1;5,4;Bergeijk
Bergen (L.);893;Bergen (L.);13085;28-10-2020;10-11-2020;70;535;0;0;1;7,6;Bergen (L.)
Bergen (NH.);373;Bergen (NH.);29839;28-10-2020;10-11-2020;94;315;1;3,4;6;20,1;Bergen (NH.)
Bergen op Zoom;748;Bergen op Zoom;67496;28-10-2020;10-11-2020;533;789,7;4;5,9;4;5,9;Bergen op Zoom
Berkelland;1859;Berkelland;43747;28-10-2020;10-11-2020;294;672;4;9,1;7;16;Berkelland
Bernheze;1721;Bernheze;31240;28-10-2020;10-11-2020;231;739,4;0;0;0;0;Bernheze
Best;753;Best;29988;28-10-2020;10-11-2020;161;536,9;0;0;0;0;Best
Beuningen;209;Beuningen;25890;28-10-2020;10-11-2020;145;560,1;2;7,7;1;3,9;Beuningen
Beverwijk;375;Beverwijk;41626;28-10-2020;10-11-2020;251;603;2;4,8;2;4,8;Beverwijk
Bladel;1728;Bladel;20390;28-10-2020;10-11-2020;187;917,1;0;0;2;9,8;Bladel
Blaricum;376;Blaricum;11540;28-10-2020;10-11-2020;63;545,9;0;0;0;0;Blaricum
Bloemendaal;377;Bloemendaal;23571;28-10-2020;10-11-2020;67;284,2;0;0;0;0;Bloemendaal
Bodegraven-Reeuwijk;1901;Bodegraven-Reeuwijk;34872;28-10-2020;10-11-2020;208;596,5;1;2,9;0;0;Bodegraven-Reeuwijk
Boekel;755;Boekel;10785;28-10-2020;10-11-2020;47;435,8;0;0;0;0;Boekel
Borger-Odoorn;1681;Borger-Odoorn;25559;28-10-2020;10-11-2020;66;258,2;0;0;1;3,9;Borger-Odoorn
Borne;147;Borne;23312;28-10-2020;10-11-2020;123;527,6;0;0;0;0;Borne
Borsele;654;Borsele;22739;28-10-2020;10-11-2020;51;224,3;0;0;0;0;Borsele
Boxmeer;756;Boxmeer;29365;28-10-2020;10-11-2020;151;514,2;2;6,8;2;6,8;Boxmeer
Boxtel;757;Boxtel;30801;28-10-2020;10-11-2020;197;639,6;1;3,2;1;3,2;Boxtel
Breda;758;Breda;184069;28-10-2020;10-11-2020;1153;626,4;8;4,3;15;8,1;Breda
Brielle;501;Brielle;17271;28-10-2020;10-11-2020;84;486,4;1;5,8;0;0;Brielle
Bronckhorst;1876;Bronckhorst;36055;28-10-2020;10-11-2020;143;396,6;1;2,8;0;0;Bronckhorst
Brummen;213;Brummen;20726;28-10-2020;10-11-2020;99;477,7;2;9,6;1;4,8;Brummen
Brunssum;899;Brunssum;27821;28-10-2020;10-11-2020;70;251,6;0;0;0;0;Brunssum
Bunnik;312;Bunnik;15191;28-10-2020;10-11-2020;79;520;0;0;3;19,7;Bunnik
Bunschoten;313;Bunschoten;21866;28-10-2020;10-11-2020;261;1193,6;3;13,7;1;4,6;Bunschoten
Buren;214;Buren;26749;28-10-2020;10-11-2020;133;497,2;0;0;1;3,7;Buren
Capelle aan den IJssel;502;Capelle aan den IJssel;67122;28-10-2020;10-11-2020;412;613,8;4;6;6;8,9;Capelle aan den IJssel
Castricum;383;Castricum;35986;28-10-2020;10-11-2020;136;377,9;0;0;1;2,8;Castricum
Coevorden;109;Coevorden;35297;28-10-2020;10-11-2020;107;303,1;0;0;2;5,7;Coevorden
Cranendonck;1706;Cranendonck;21138;28-10-2020;10-11-2020;116;548,8;0;0;0;0;Cranendonck
Cuijk;1684;Cuijk;25130;28-10-2020;10-11-2020;141;561,1;1;4;3;11,9;Cuijk
Culemborg;216;Culemborg;28955;28-10-2020;10-11-2020;146;504,2;1;3,5;1;3,5;Culemborg
