"Gemeente";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"'s-Gravenhage (gemeente)";504;92,3;9;1,6;6;1,1
"'s-Hertogenbosch";78;50,3;0;0;0;0
"Aa en Hunze";1;3,9;0;0;0;0
"Aalsmeer";9;28,2;0;0;0;0
"Aalten";10;36,9;0;0;0;0
"Achtkarspelen";2;7,2;0;0;0;0
"Alblasserdam";2;9,9;0;0;0;0
"Albrandswaard";10;39,1;0;0;0;0
"Alkmaar";22;20,1;0;0;0;0
"Almelo";6;8,2;0;0;0;0
"Almere";119;56,2;0;0;0;0
"Alphen aan den Rijn";35;31,3;1;0,9;0;0
"Alphen-Chaam";2;19,6;0;0;0;0
"Altena";15;26,8;0;0;0;0
"Ameland";0;0;0;0;0;0
"Amersfoort";43;27,3;2;1,3;0;0
"Amstelveen";59;64,4;0;0;0;0
"Amsterdam";1258;144,1;10;1,1;4;0,5
"Apeldoorn";15;9,2;0;0;0;0
"Appingedam";0;0;0;0;0;0
"Arnhem";53;32,8;0;0;0;0
"Assen";6;8,7;0;0;0;0
"Asten";1;6;0;0;0;0
"Baarle-Nassau";2;29,2;0;0;0;0
"Baarn";2;8;0;0;0;0
"Barendrecht";24;49,3;0;0;0;0
"Barneveld";14;23,7;0;0;0;0
"Beek (L.)";0;0;0;0;0;0
"Beekdaelen";3;8,3;0;0;0;0
"Beemster";0;0;0;0;0;0
"Beesel";4;29,7;0;0;0;0
"Berg en Dal";2;5,7;0;0;0;0
"Bergeijk";4;21,5;0;0;0;0
"Bergen (L.)";1;7,6;0;0;0;0
"Bergen (NH.)";4;13,4;0;0;0;0
"Bergen op Zoom";42;62,2;0;0;0;0
"Berkelland";2;4,6;0;0;0;0
"Bernheze";10;32;0;0;0;0
"Best";9;30;0;0;0;0
"Beuningen";8;30,9;0;0;0;0
"Beverwijk";10;24;0;0;0;0
"Bladel";13;63,8;0;0;0;0
"Blaricum";2;17,3;0;0;0;0
"Bloemendaal";7;29,7;0;0;0;0
"Bodegraven-Reeuwijk";14;40,1;0;0;0;0
"Boekel";0;0;0;0;0;0
"Borger-Odoorn";0;0;0;0;0;0
"Borne";3;12,9;0;0;0;0
"Borsele";1;4,4;0;0;1;4,4
"Boxmeer";5;17;0;0;0;0
"Boxtel";7;22,7;0;0;0;0
"Breda";106;57,6;0;0;2;1,1
"Brielle";10;57,9;0;0;0;0
"Bronckhorst";3;8,3;0;0;0;0
"Brummen";0;0;0;0;0;0
"Brunssum";5;18;0;0;0;0
"Bunnik";2;13,2;0;0;0;0
"Bunschoten";4;18,3;0;0;0;0
"Buren";0;0;0;0;0;0
"Capelle aan den IJssel";56;83,4;0;0;1;1,5
"Castricum";4;11,1;0;0;0;0
"Coevorden";5;14,2;0;0;0;0
"Cranendonck";3;14,2;0;0;0;0
"Cuijk";7;27,9;0;0;0;0
"Culemborg";6;20,7;0;0;1;3,5
"Dalfsen";6;21;0;0;0;0
"Dantumadiel";9;47,6;0;0;0;0
"De Bilt";7;16,2;0;0;0;0
