"Gemeente";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"'s-Gravenhage (gemeente)";520;95,3;6;1,1;3;0,5
"'s-Hertogenbosch";61;39,3;0;0;0;0
"Aa en Hunze";0;0;0;0;0;0
"Aalsmeer";4;12,6;0;0;0;0
"Aalten";2;7,4;0;0;0;0
"Achtkarspelen";2;7,2;0;0;0;0
"Alblasserdam";5;24,8;0;0;0;0
"Albrandswaard";11;43;0;0;0;0
"Alkmaar";19;17,4;0;0;0;0
"Almelo";2;2,7;0;0;0;0
"Almere";104;49,1;3;1,4;0;0
"Alphen aan den Rijn";24;21,4;1;0,9;0;0
"Alphen-Chaam";3;29,4;0;0;0;0
"Altena";10;17,9;0;0;0;0
"Ameland";0;0;0;0;0;0
"Amersfoort";48;30,5;0;0;0;0
"Amstelveen";54;58,9;1;1,1;0;0
"Amsterdam";1418;162,5;10;1,1;6;0,7
"Apeldoorn";22;13,4;0;0;0;0
"Appingedam";1;8,6;0;0;0;0
"Arnhem";40;24,8;0;0;0;0
"Assen";2;2,9;0;0;0;0
"Asten";0;0;0;0;0;0
"Baarle-Nassau";0;0;0;0;0;0
"Baarn";1;4;0;0;0;0
"Barendrecht";36;73,9;0;0;0;0
"Barneveld";19;32,2;0;0;0;0
"Beek (L.)";0;0;0;0;0;0
"Beekdaelen";2;5,6;0;0;0;0
"Beemster";11;109,8;0;0;0;0
"Beesel";3;22,3;0;0;0;0
"Berg en Dal";4;11,4;0;0;0;0
"Bergeijk";4;21,5;0;0;0;0
"Bergen (L.)";1;7,6;0;0;0;0
"Bergen (NH.)";3;10,1;0;0;0;0
"Bergen op Zoom";139;205,9;1;1,5;0;0
"Berkelland";0;0;0;0;0;0
"Bernheze";7;22,4;0;0;0;0
"Best";7;23,3;0;0;0;0
"Beuningen";7;27;0;0;0;0
"Beverwijk";6;14,4;0;0;0;0
"Bladel";11;53,9;0;0;0;0
"Blaricum";5;43,3;0;0;0;0
"Bloemendaal";11;46,7;0;0;0;0
"Bodegraven-Reeuwijk";29;83,2;0;0;0;0
"Boekel";0;0;0;0;0;0
"Borger-Odoorn";0;0;0;0;0;0
"Borne";1;4,3;0;0;0;0
"Borsele";0;0;0;0;0;0
"Boxmeer";4;13,6;0;0;0;0
"Boxtel";4;13;0;0;0;0
"Breda";128;69,5;0;0;3;1,6
"Brielle";7;40,5;1;5,8;0;0
"Bronckhorst";6;16,6;0;0;0;0
"Brummen";4;19,3;0;0;0;0
"Brunssum";1;3,6;0;0;0;0
"Bunnik";2;13,2;0;0;0;0
"Bunschoten";5;22,9;0;0;0;0
"Buren";0;0;0;0;0;0
"Capelle aan den IJssel";66;98,3;1;1,5;0;0
"Castricum";4;11,1;0;0;0;0
"Coevorden";4;11,3;0;0;0;0
"Cranendonck";2;9,5;0;0;0;0
"Cuijk";4;15,9;0;0;0;0
"Culemborg";11;38;0;0;0;0
"Dalfsen";1;3,5;0;0;0;0
"Dantumadiel";7;37;0;0;0;0
"De Bilt";10;23,2;0;0;0;0
"De Fryske Marren";4;7,8;0;0;0;0
"De Ronde Venen";24;54;0;0;0;0
"De Wolden";0;0;0;0;0;0
"Delft";40;38,6;0;0;0;0
"Delfzijl";21;85,1;0;0;0;0
"Den Helder";5;8,9;0;0;0;0
"Deurne";12;37;0;0;0;0
"Deventer";25;24,8;0;0;0;0
"Diemen";45;146,2;0;0;0;0
"Dinkelland";4;15,1;0;0;0;0
"Doesburg";2;18,1;0;0;0;0
"Doetinchem";12;20,7;0;0;0;0
"Dongen";5;19,1;0;0;0;0
"Dordrecht";79;66,2;1;0,8;0;0
"Drechterland";0;0;0;0;0;0
"Drimmelen";12;44;0;0;0;0
"Dronten";1;2,4;0;0;0;0
"Druten";0;0;0;0;0;0
"Duiven";0;0;0;0;0;0
"Echt-Susteren";4;12,7;0;0;0;0
"Edam-Volendam";7;19,3;0;0;0;0
"Ede";18;15,4;0;0;0;0
"Eemnes";0;0;0;0;0;0
"Eersel";2;10,4;0;0;0;0
"Eijsden-Margraten";0;0;0;0;0;0
"Eindhoven";56;23,9;0;0;2;0,9
"Elburg";0;0;0;0;0;0
"Emmen";8;7,5;0;0;0;0
"Enkhuizen";0;0;0;0;0;0
"Enschede";40;25,1;1;0,6;0;0
"Epe";1;3;0;0;0;0
"Ermelo";1;3,7;0;0;0;0
"Etten-Leur";12;27,3;1;2,3;0;0
"Geertruidenberg";1;4,6;0;0;0;0
"Geldrop-Mierlo";11;27,7;0;0;0;0
"Gemert-Bakel";6;19,5;0;0;0;0
"Gennep";3;17,7;0;0;0;0
"Gilze en Rijen";8;30,3;0;0;0;0
"Goeree-Overflakkee";10;20;0;0;0;0
"Goes";10;26,3;0;0;0;0
"Goirle";4;16,7;0;0;0;0
"Gooise Meren";20;34,5;0;0;0;0
"Gorinchem";22;59,4;1;2,7;0;0
"Gouda";105;143;0;0;0;0
"Grave";1;8;0;0;0;0
"Groningen (gemeente)";62;26,6;0;0;0;0
"Gulpen-Wittem";1;7,1;0;0;0;0
"Haaksbergen";2;8,2;0;0;0;0
"Haaren";1;7;0;0;0;0
"Haarlem";68;41,7;0;0;0;0
"Haarlemmermeer";59;37,8;0;0;1;0,6
"Halderberge";14;46,2;0;0;0;0
"Hardenberg";9;14,8;0;0;0;0
"Harderwijk";14;28,9;0;0;0;0
"Hardinxveld-Giessendam";8;43,7;0;0;0;0
"Harlingen";2;12,7;0;0;0;0
"Hattem";0;0;0;0;0;0
"Heemskerk";5;12,8;1;2,6;0;0
"Heemstede";7;25,7;0;0;0;0
"Heerde";2;10,8;0;0;0;0
"Heerenveen";5;9,9;0;0;0;0
"Heerhugowaard";10;17,4;0;0;0;0
"Heerlen";5;5,7;0;0;0;0
"Heeze-Leende";4;24,8;0;0;0;0
"Heiloo";0;0;0;0;0;0
"Hellendoorn";1;2,8;0;0;0;0
"Hellevoetsluis";14;34,9;0;0;0;0
"Helmond";31;33,5;1;1,1;0;0
"Hendrik-Ido-Ambacht";15;48,1;0;0;0;0
"Hengelo (O.)";8;9,9;0;0;0;0
"Het Hogeland";2;4,2;0;0;0;0
"Heumen";3;18,2;0;0;0;0
"Heusden";15;33,6;0;0;1;2,2
"Hillegom";4;18;0;0;0;0
"Hilvarenbeek";0;0;0;0;0;0
"Hilversum";34;37,4;1;1,1;0;0
"Hoeksche Waard";22;25,2;0;0;0;0
"Hof van Twente";5;14,3;0;0;0;0
"Hollands Kroon";6;12,4;0;0;0;0
"Hoogeveen";4;7,2;0;0;0;0
"Hoorn";19;25,9;0;0;0;0
"Horst aan de Maas";7;16,5;0;0;0;0
"Houten";9;17,9;0;0;0;0
