Gemeente;Gemnr;Gemeente;Bev_2020;van_datum;tot_datum;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000;;;;Municipality_name
Aa en Hunze;1680;Aa en Hunze;25445;23-12-2020;2021-01-05;162;636,7;1;3,9;0;0;;;WAAR;Aa en Hunze
Aalsmeer;358;Aalsmeer;31859;23-12-2020;2021-01-05;196;615,2;0;0;1;3,1;;;WAAR;Aalsmeer
Aalten;197;Aalten;27121;23-12-2020;2021-01-05;184;678,4;1;3,7;3;11,1;;;WAAR;Aalten
Achtkarspelen;59;Achtkarspelen;27843;23-12-2020;2021-01-05;166;596,2;0;0;2;7,2;;;WAAR;Achtkarspelen
Alblasserdam;482;Alblasserdam;20165;23-12-2020;2021-01-05;170;843;0;0;1;5;;;WAAR;Alblasserdam
Albrandswaard;613;Albrandswaard;25590;23-12-2020;2021-01-05;161;629,2;0;0;0;0;;;WAAR;Albrandswaard
Alkmaar;361;Alkmaar;109436;23-12-2020;2021-01-05;613;560,1;2;1,8;4;3,7;;;WAAR;Alkmaar
Almelo;141;Almelo;73107;23-12-2020;2021-01-05;602;823,5;3;4,1;3;4,1;;;WAAR;Almelo
Almere;34;Almere;211893;23-12-2020;2021-01-05;1740;821,2;8;3,8;3;1,4;;;WAAR;Almere
Alphen aan den Rijn;484;Alphen aan den Rijn;111897;23-12-2020;2021-01-05;737;658,6;7;6,3;6;5,4;;;WAAR;Alphen aan den Rijn
Alphen-Chaam;1723;Alphen-Chaam;10203;23-12-2020;2021-01-05;25;245;0;0;0;0;;;WAAR;Alphen-Chaam
Altena;1959;Altena;55967;23-12-2020;2021-01-05;492;879,1;4;7,1;2;3,6;;;WAAR;Altena
Ameland;60;Ameland;3716;23-12-2020;2021-01-05;20;538,2;0;0;0;0;;;WAAR;Ameland
Amersfoort;307;Amersfoort;157276;23-12-2020;2021-01-05;1121;712,8;13;8,3;12;7,6;;;WAAR;Amersfoort
Amstelveen;362;Amstelveen;91675;23-12-2020;2021-01-05;342;373,1;1;1,1;3;3,3;;;WAAR;Amstelveen
Amsterdam;363;Amsterdam;872757;23-12-2020;2021-01-05;4114;471,4;46;5,3;51;5,8;;;WAAR;Amsterdam
Apeldoorn;200;Apeldoorn;163818;23-12-2020;2021-01-05;1004;612,9;3;1,8;28;17,1;;;WAAR;Apeldoorn
Appingedam;3;Appingedam;11642;23-12-2020;2021-01-05;55;472,4;0;0;1;8,6;;;WAAR;Appingedam
Arnhem;202;Arnhem;161348;23-12-2020;2021-01-05;1134;702,8;8;5;6;3,7;;;WAAR;Arnhem
Assen;106;Assen;68599;23-12-2020;2021-01-05;217;316,3;1;1,5;0;0;;;WAAR;Assen
Asten;743;Asten;16721;23-12-2020;2021-01-05;109;651,9;1;6;1;6;;;WAAR;Asten
Baarle-Nassau;744;Baarle-Nassau;6859;23-12-2020;2021-01-05;7;102,1;0;0;0;0;;;WAAR;Baarle-Nassau
Baarn;308;Baarn;24868;23-12-2020;2021-01-05;193;776,1;0;0;2;8;;;WAAR;Baarn
Barendrecht;489;Barendrecht;48714;23-12-2020;2021-01-05;257;527,6;0;0;1;2,1;;;WAAR;Barendrecht
Barneveld;203;Barneveld;59082;23-12-2020;2021-01-05;944;1597,8;2;3,4;6;10,2;;;WAAR;Barneveld
Beek;888;Beek;15865;23-12-2020;2021-01-05;95;598,8;0;0;1;6,3;;;WAAR;Beek
Beekdaelen;1954;Beekdaelen;35938;23-12-2020;2021-01-05;276;768;6;16,7;2;5,6;;;WAAR;Beekdaelen
Beemster;370;Beemster;10022;23-12-2020;2021-01-05;48;478,9;0;0;0;0;;;WAAR;Beemster
Beesel;889;Beesel;13482;23-12-2020;2021-01-05;106;786,2;0;0;0;0;;;WAAR;Beesel
Berg en Dal;1945;Berg en Dal;34992;23-12-2020;2021-01-05;156;445,8;0;0;0;0;;;WAAR;Berg en Dal
Bergeijk;1724;Bergeijk;18635;23-12-2020;2021-01-05;122;654,7;0;0;0;0;;;WAAR;Bergeijk
Bergen (L.);893;Bergen (L.);13085;23-12-2020;2021-01-05;169;1291,6;0;0;1;7,6;;;WAAR;Bergen (L.)
Bergen (NH.);373;Bergen (NH.);29839;23-12-2020;2021-01-05;172;576,4;1;3,4;0;0;;;WAAR;Bergen (NH.)
Bergen op Zoom;748;Bergen op Zoom;67496;23-12-2020;2021-01-05;182;269,6;1;1,5;1;1,5;;;WAAR;Bergen op Zoom
Berkelland;1859;Berkelland;43747;23-12-2020;2021-01-05;359;820,6;0;0;3;6,9;;;WAAR;Berkelland
Bernheze;1721;Bernheze;31240;23-12-2020;2021-01-05;187;598,6;0;0;1;3,2;;;WAAR;Bernheze
Best;753;Best;29988;23-12-2020;2021-01-05;227;757;0;0;4;13,3;;;WAAR;Best
Beuningen;209;Beuningen;25890;23-12-2020;2021-01-05;151;583,2;1;3,9;1;3,9;;;WAAR;Beuningen
Beverwijk;375;Beverwijk;41626;23-12-2020;2021-01-05;229;550,1;1;2,4;0;0;;;WAAR;Beverwijk
Bladel;1728;Bladel;20390;23-12-2020;2021-01-05;145;711,1;0;0;1;4,9;;;WAAR;Bladel
Blaricum;376;Blaricum;11540;23-12-2020;2021-01-05;70;606,6;0;0;0;0;;;WAAR;Blaricum
Bloemendaal;377;Bloemendaal;23571;23-12-2020;2021-01-05;145;615,2;0;0;0;0;;;WAAR;Bloemendaal
Bodegraven-Reeuwijk;1901;Bodegraven-Reeuwijk;34872;23-12-2020;2021-01-05;298;854,6;4;11,5;3;8,6;;;WAAR;Bodegraven-Reeuwijk
Boekel;755;Boekel;10785;23-12-2020;2021-01-05;114;1057;2;18,5;1;9,3;;;WAAR;Boekel
Borger-Odoorn;1681;Borger-Odoorn;25559;23-12-2020;2021-01-05;137;536;4;15,7;1;3,9;;;WAAR;Borger-Odoorn
Borne;147;Borne;23312;23-12-2020;2021-01-05;288;1235,4;1;4,3;4;17,2;;;WAAR;Borne
Borsele;654;Borsele;22739;23-12-2020;2021-01-05;94;413,4;4;17,6;0;0;;;WAAR;Borsele
Boxmeer;756;Boxmeer;29365;23-12-2020;2021-01-05;373;1270,2;4;13,6;1;3,4;;;WAAR;Boxmeer
Boxtel;757;Boxtel;30801;23-12-2020;2021-01-05;236;766,2;4;13;5;16,2;;;WAAR;Boxtel
Breda;758;Breda;184069;23-12-2020;2021-01-05;802;435,7;4;2,2;10;5,4;;;WAAR;Breda
Brielle;501;Brielle;17271;23-12-2020;2021-01-05;56;324,2;1;5,8;2;11,6;;;WAAR;Brielle
Bronckhorst;1876;Bronckhorst;36055;23-12-2020;2021-01-05;205;568,6;1;2,8;0;0;;;WAAR;Bronckhorst
Brummen;213;Brummen;20726;23-12-2020;2021-01-05;144;694,8;1;4,8;3;14,5;;;WAAR;Brummen
Brunssum;899;Brunssum;27821;23-12-2020;2021-01-05;209;751,2;2;7,2;1;3,6;;;WAAR;Brunssum
Bunnik;312;Bunnik;15191;23-12-2020;2021-01-05;102;671,5;0;0;0;0;;;WAAR;Bunnik
Bunschoten;313;Bunschoten;21866;23-12-2020;2021-01-05;447;2044,3;2;9,1;10;45,7;;;WAAR;Bunschoten
Buren;214;Buren;26749;23-12-2020;2021-01-05;215;803,8;0;0;1;3,7;;;WAAR;Buren
