Municipality_code;Total_reported;Total_reported_per_100000;Hospital_admission;Hospital_admission_per_100000;Deceased;Deceased_per_100000;Gemeente;Total_reported;Total_reported_per_100000;Hospital_admission;Hospital_admission_per_100000;Deceased;Deceased_per_100000;Gemeente;Total_reported;Total_reported_per_100000;Hospital_admission;Hospital_admission_per_100000;Deceased;Deceased_per_100000
Alphen aan den Rijn;54;48,3;31;27,7;7;6,3;Alphen aan den Rijn;49;43,8;31;27,7;2;1,8;Alphen aan den Rijn;5;4,5;0;0;5;4,5
Alphen-Chaam;22;215,6;7;68,6;4;39,2;Alphen-Chaam;23;225,4;10;98;4;39,2;Alphen-Chaam;-1;-9,8;-3;-29,4;0;0
Altena;32;57,2;14;25;4;7,1;Altena;38;67,9;15;26,8;2;3,6;Altena;-6;-10,7;-1;-1,8;2;3,5
Ameland;0;0;0;0;0;0;Ameland;0;0;0;0;0;0;Ameland;0;0;0;0;0;0
Amersfoort;54;34,3;29;18,4;9;5,7;Amersfoort;49;31,2;24;15,3;9;5,7;Amersfoort;5;3,1;5;3,1;0;0
Amstelveen;112;122,2;31;33,8;19;20,7;Amstelveen;87;94,9;29;31,6;5;5,5;Amstelveen;25;27,3;2;2,2;14;15,2
Amsterdam;606;69,4;256;29,3;66;7,6;Amsterdam;590;67,6;252;28,9;32;3,7;Amsterdam;16;1,8;4;0,4;34;3,9
Apeldoorn;104;63,5;38;23,2;13;7,9;Apeldoorn;70;42,7;43;26,2;6;3,7;Apeldoorn;34;20,8;-5;-3;7;4,2
Appingedam;2;17,2;2;17,2;0;0;Appingedam;1;8,6;1;8,6;0;0;Appingedam;1;8,6;1;8,6;0;0
Arnhem;83;51,4;34;21,1;7;4,3;Arnhem;61;37,8;35;21,7;3;1,9;Arnhem;22;13,6;-1;-0,6;4;2,4
Assen;20;29,2;8;11,7;2;2,9;Assen;15;21,9;8;11,7;2;2,9;Assen;5;7,3;0;0;0;0
Asten;23;137,6;9;53,8;2;12;Asten;18;107,6;5;29,9;2;12;Asten;5;30;4;23,9;0;0
Baarle-Nassau;11;160,4;5;72,9;0;0;Baarle-Nassau;12;175;7;102,1;1;14,6;Baarle-Nassau;-1;-14,6;-2;-29,2;-1;-14,6
Baarn;16;64,3;7;28,1;0;0;Baarn;12;48,3;7;28,1;0;0;Baarn;4;16;0;0;0;0
Barendrecht;41;84,2;18;37;2;4,1;Barendrecht;33;67,7;17;34,9;2;4,1;Barendrecht;8;16,5;1;2,1;0;0
Barneveld;41;69,4;9;15,2;0;0;Barneveld;25;42,3;7;11,8;2;3,4;Barneveld;16;27,1;2;3,4;-2;-3,4
Beek (L.);9;56,7;5;31,5;2;12,6;Beek (L.);16;100,9;8;50,4;1;6,3;Beek (L.);-7;-44,2;-3;-18,9;1;6,3
Beekdaelen;33;91,8;15;41,7;6;16,7;Beekdaelen;27;75,1;20;55,7;5;13,9;Beekdaelen;6;16,7;-5;-14;1;2,8
Beemster;5;49,9;3;29,9;0;0;Beemster;6;59,9;3;29,9;1;10;Beemster;-1;-10;0;0;-1;-10
Beesel;15;111,3;10;74,2;6;44,5;Beesel;16;118,7;11;81,6;3;22,3;Beesel;-1;-7,4;-1;-7,4;3;22,2
Berg en Dal;52;148,6;17;48,6;10;28,6;Berg en Dal;48;137,2;15;42,9;7;20;Berg en Dal;4;11,4;2;5,7;3;8,6
Bergeijk;17;91,2;8;42,9;3;16,1;Bergeijk;18;96,6;9;48,3;2;10,7;Bergeijk;-1;-5,4;-1;-5,4;1;5,4
Bergen (L.);7;53,5;5;38,2;1;7,6;Bergen (L.);4;30,6;4;30,6;0;0;Bergen (L.);3;22,9;1;7,6;1;7,6
Bergen (NH.);25;83,8;8;26,8;1;3,4;Bergen (NH.);23;77,1;10;33,5;1;3,4;Bergen (NH.);2;6,7;-2;-6,7;0;0
Bergen op Zoom;25;37;7;10,4;2;3;Bergen op Zoom;16;23,7;7;10,4;2;3;Bergen op Zoom;9;13,3;0;0;0;0
Berkelland;12;27,4;6;13,7;0;0;Berkelland;7;16;5;11,4;0;0;Berkelland;5;11,4;1;2,3;0;0
Bernheze;89;284,9;26;83,2;25;80;Bernheze;105;336,1;50;160,1;24;76,8;Bernheze;-16;-51,2;-24;-76,9;1;3,2
Best;23;76,7;11;36,7;3;10;Best;25;83,4;14;46,7;4;13,3;Best;-2;-6,7;-3;-10;-1;-3,3
Beuningen;21;81,1;14;54,1;3;11,6;Beuningen;22;85;13;50,2;4;15,4;Beuningen;-1;-3,9;1;3,9;-1;-3,8
Beverwijk;35;84,1;5;12;3;7,2;Beverwijk;19;45,6;5;12;3;7,2;Beverwijk;16;38,5;0;0;0;0
Bladel;19;93,2;8;39,2;4;19,6;Bladel;23;112,8;7;34,3;4;19,6;Bladel;-4;-19,6;1;4,9;0;0
Blaricum;5;43,3;3;26;2;17,3;Blaricum;7;60,7;4;34,7;0;0;Blaricum;-2;-17,4;-1;-8,7;2;17,3
Bloemendaal;18;76,4;3;12,7;2;8,5;Bloemendaal;21;89,1;4;17;0;0;Bloemendaal;-3;-12,7;-1;-4,3;2;8,5
Bodegraven-Reeuwijk;14;40,1;4;11,5;1;2,9;Bodegraven-Reeuwijk;16;45,9;5;14,3;1;2,9;Bodegraven-Reeuwijk;-2;-5,8;-1;-2,8;0;0
Boekel;26;241,1;8;74,2;10;92,7;Boekel;44;408;14;129,8;11;102;Boekel;-18;-166,9;-6;-55,6;-1;-9,3
Borger-Odoorn;4;15,7;2;7,8;2;7,8;Borger-Odoorn;2;7,8;2;7,8;2;7,8;Borger-Odoorn;2;7,9;0;0;0;0
Borne;24;103;6;25,7;4;17,2;Borne;22;94,4;9;38,6;4;17,2;Borne;2;8,6;-3;-12,9;0;0
Borsele;8;35,2;1;4,4;0;0;Borsele;4;17,6;1;4,4;0;0;Borsele;4;17,6;0;0;0;0
Boxmeer;42;143;9;30,6;6;20,4;Boxmeer;32;109;12;40,9;4;13,6;Boxmeer;10;34;-3;-10,3;2;6,8
Boxtel;18;58,4;6;19,5;5;16,2;Boxtel;21;68,2;9;29,2;7;22,7;Boxtel;-3;-9,8;-3;-9,7;-2;-6,5
Breda;142;77,1;36;19,6;25;13,6;Breda;158;85,8;75;40,7;23;12,5;Breda;-16;-8,7;-39;-21,1;2;1,1
Brielle;19;110;9;52,1;0;0;Brielle;14;81,1;7;40,5;0;0;Brielle;5;28,9;2;11,6;0;0
Bronckhorst;11;30,5;4;11,1;3;8,3;Bronckhorst;11;30,5;6;16,6;1;2,8;Bronckhorst;0;0;-2;-5,5;2;5,5
Brummen;10;48,2;7;33,8;1;4,8;Brummen;10;48,2;6;28,9;1;4,8;Brummen;0;0;1;4,9;0;0
Brunssum;28;100,6;14;50,3;6;21,6;Brunssum;27;97;19;68,3;5;18;Brunssum;1;3,6;-5;-18;1;3,6
Bunnik;10;65,8;4;26,3;1;6,6;Bunnik;11;72,4;5;32,9;0;0;Bunnik;-1;-6,6;-1;-6,6;1;6,6
Bunschoten;17;77,7;6;27,4;0;0;Bunschoten;7;32;2;9,1;0;0;Bunschoten;10;45,7;4;18,3;0;0
Buren;12;44,9;4;15;1;3,7;Buren;8;29,9;5;18,7;1;3,7;Buren;4;15;-1;-3,7;0;0
Capelle aan den IJssel;97;144,5;15;22,3;21;31,3;Capelle aan den IJssel;58;86,4;23;34,3;6;8,9;Capelle aan den IJssel;39;58,1;-8;-12;15;22,4
Castricum;35;97,3;8;22,2;6;16,7;Castricum;19;52,8;9;25;5;13,9;Castricum;16;44,5;-1;-2,8;1;2,8
Coevorden;19;53,8;6;17;1;2,8;Coevorden;12;34;7;19,8;0;0;Coevorden;7;19,8;-1;-2,8;1;2,8
Cranendonck;65;307,5;32;151,4;12;56,8;Cranendonck;61;288,6;45;212,9;5;23,7;Cranendonck;4;18,9;-13;-61,5;7;33,1
Cuijk;23;91,5;5;19,9;5;19,9;Cuijk;18;71,6;7;27,9;4;15,9;Cuijk;5;19,9;-2;-8;1;4
Culemborg;27;93,2;12;41,4;6;20,7;Culemborg;22;76;15;51,8;4;13,8;Culemborg;5;17,2;-3;-10,4;2;6,9
Dalfsen;25;87,5;8;28;3;10,5;Dalfsen;15;52,5;8;28;2;7;Dalfsen;10;35;0;0;1;3,5
Dantumadiel;5;26,4;2;10,6;0;0;Dantumadiel;3;15,9;1;5,3;0;0;Dantumadiel;2;10,5;1;5,3;0;0
De Bilt;32;74,2;11;25,5;3;7;De Bilt;33;76,5;14;32,5;1;2,3;De Bilt;-1;-2,3;-3;-7;2;4,7
De Fryske Marren;23;44,6;6;11,6;5;9,7;De Fryske Marren;18;34,9;8;15,5;3;5,8;De Fryske Marren;5;9,7;-2;-3,9;2;3,9
De Ronde Venen;37;83,2;17;38,2;2;4,5;De Ronde Venen;26;58,5;18;40,5;1;2,2;De Ronde Venen;11;24,7;-1;-2,3;1;2,3
De Wolden;16;65,8;6;24,7;1;4,1;De Wolden;7;28,8;2;8,2;1;4,1;De Wolden;9;37;4;16,5;0;0
Delft;41;39,6;19;18,3;3;2,9;Delft;38;36,7;22;21,2;2;1,9;Delft;3;2,9;-3;-2,9;1;1
Delfzijl;10;40,5;5;20,3;0;0;Delfzijl;9;36,5;4;16,2;0;0;Delfzijl;1;4;1;4,1;0;0
Den Helder;17;30,2;6;10,7;0;0;Den Helder;12;21,3;6;10,7;0;0;Den Helder;5;8,9;0;0;0;0
Deurne;57;175,5;18;55,4;7;21,6;Deurne;58;178,6;32;98,5;6;18,5;Deurne;-1;-3,1;-14;-43,1;1;3,1
Deventer;63;62,6;23;22,8;16;15,9;Deventer;58;57,6;22;21,8;17;16,9;Deventer;5;5;1;1;-1;-1
Diemen;21;68,2;4;13;2;6,5;Diemen;13;42,2;6;19,5;2;6,5;Diemen;8;26;-2;-6,5;0;0
Dinkelland;31;117,2;11;41,6;5;18,9;Dinkelland;32;120,9;14;52,9;3;11,3;Dinkelland;-1;-3,7;-3;-11,3;2;7,6
Doesburg;5;45,1;2;18,1;2;18,1;Doesburg;6;54,2;3;27,1;2;18,1;Doesburg;-1;-9,1;-1;-9;0;0
Doetinchem;33;56,9;11;19;4;6,9;Doetinchem;28;48,3;14;24,1;4;6,9;Doetinchem;5;8,6;-3;-5,1;0;0
Dongen;35;133,5;10;38,1;8;30,5;Dongen;28;106,8;11;41,9;5;19,1;Dongen;7;26,7;-1;-3,8;3;11,4
Dordrecht;77;64,6;38;31,9;7;5,9;Dordrecht;58;48,6;36;30,2;4;3,4;Dordrecht;19;16;2;1,7;3;2,5
Drechterland;21;106,5;0;0;4;20,3;Drechterland;9;45,6;2;10,1;1;5,1;Drechterland;12;60,9;-2;-10,1;3;15,2
Drimmelen;15;55;4;14,7;3;11;Drimmelen;19;69,7;8;29,3;2;7,3;Drimmelen;-4;-14,7;-4;-14,6;1;3,7
Dronten;26;62,6;12;28,9;3;7,2;Dronten;13;31,3;12;28,9;2;4,8;Dronten;13;31,3;0;0;1;2,4
Druten;30;158,5;12;63,4;4;21,1;Druten;16;84,5;11;58,1;0;0;Druten;14;74;1;5,3;4;21,1
