Municipality_code;Total_reported;Total_reported_per_100000;Hospital_admission;Hospital_admission_per_100000;Deceased;Deceased_per_100000;Gemeente;Total_reported;Total_reported_per_100000;Hospital_admission;Hospital_admission_per_100000;Deceased;Deceased_per_100000;Gemeente;Total_reported;Total_reported_per_100000;Hospital_admission;Hospital_admission_per_100000;Deceased;Deceased_per_100000
Leeuwarden;31;25;18;14,5;3;2,4;Leeuwarden;22;17,7;22;17,7;1;0,8;Leeuwarden;9;7,3;-4;-3,2;2;1,6
Leiden;52;41,6;19;15,2;8;6,4;Leiden;34;27,2;15;12;5;4;Leiden;18;14,4;4;3,2;3;2,4
Leiderdorp;12;44,4;5;18,5;2;7,4;Leiderdorp;5;18,5;4;14,8;0;0;Leiderdorp;7;25,9;1;3,7;2;7,4
Leidschendam-Voorburg;30;39,2;10;13,1;5;6,5;Leidschendam-Voorburg;19;24,8;9;11,8;3;3,9;Leidschendam-Voorburg;11;14,4;1;1,3;2;2,6
Lelystad;28;35,6;17;21,6;2;2,5;Lelystad;28;35,6;19;24,2;3;3,8;Lelystad;0;0;-2;-2,6;-1;-1,3
Leudal;58;161,7;27;75,3;17;47,4;Leudal;48;133,8;29;80,8;11;30,7;Leudal;10;27,9;-2;-5,5;6;16,7
Leusden;15;49,3;5;16,4;2;6,6;Leusden;15;49,3;6;19,7;3;9,9;Leusden;0;0;-1;-3,3;-1;-3,3
Lingewaard;28;60,1;14;30;2;4,3;Lingewaard;27;57,9;17;36,5;2;4,3;Lingewaard;1;2,2;-3;-6,5;0;0
Lisse;11;47,9;4;17,4;1;4,4;Lisse;7;30,5;3;13,1;1;4,4;Lisse;4;17,4;1;4,3;0;0
Lochem;16;47,4;6;17,8;4;11,9;Lochem;14;41,5;6;17,8;2;5,9;Lochem;2;5,9;0;0;2;6
Loon op Zand;13;55,5;8;34,2;3;12,8;Loon op Zand;23;98,3;14;59,8;4;17,1;Loon op Zand;-10;-42,8;-6;-25,6;-1;-4,3
Lopik;13;89,9;9;62,2;3;20,7;Lopik;12;82,9;7;48,4;1;6,9;Lopik;1;7;2;13,8;2;13,8
Loppersum;1;10,5;0;0;0;0;Loppersum;2;21;0;0;0;0;Loppersum;-1;-10,5;0;0;0;0
Losser;11;48,5;6;26,5;0;0;Losser;6;26,5;5;22;0;0;Losser;5;22;1;4,5;0;0
Maasdriel;15;59,9;9;36;1;4;Maasdriel;14;55,9;10;40;2;8;Maasdriel;1;4;-1;-4;-1;-4
Maasgouw;31;129,4;15;62,6;6;25;Maasgouw;22;91,8;13;54,2;2;8,3;Maasgouw;9;37,6;2;8,4;4;16,7
Maassluis;23;69,2;8;24,1;1;3;Maassluis;18;54,2;9;27,1;1;3;Maassluis;5;15;-1;-3;0;0
Maastricht;226;185,9;68;55,9;24;19,7;Maastricht;175;143,9;69;56,8;12;9,9;Maastricht;51;42;-1;-0,9;12;9,8
Medemblik;30;66,5;13;28,8;4;8,9;Medemblik;23;51;11;24,4;2;4,4;Medemblik;7;15,5;2;4,4;2;4,5
Meerssen;33;175,3;7;37,2;2;10,6;Meerssen;20;106,2;9;47,8;2;10,6;Meerssen;13;69,1;-2;-10,6;0;0
Meierijstad;155;190,9;61;75,1;57;70,2;Meierijstad;214;263,6;106;130,6;56;69;Meierijstad;-59;-72,7;-45;-55,5;1;1,2
Meppel;18;53,1;5;14,7;3;8,8;Meppel;11;32,4;3;8,8;2;5,9;Meppel;7;20,7;2;5,9;1;2,9
Middelburg (Z.);25;51,2;5;10,2;4;8,2;Middelburg (Z.);17;34,8;8;16,4;5;10,2;Middelburg (Z.);8;16,4;-3;-6,2;-1;-2
Midden-Delfland;9;46,5;3;15,5;0;0;Midden-Delfland;5;25,9;3;15,5;0;0;Midden-Delfland;4;20,6;0;0;0;0
Midden-Drenthe;12;36,2;6;18,1;0;0;Midden-Drenthe;10;30,1;6;18,1;0;0;Midden-Drenthe;2;6,1;0;0;0;0
Midden-Groningen;7;11,5;2;3,3;1;1,6;Midden-Groningen;6;9,9;4;6,6;0;0;Midden-Groningen;1;1,6;-2;-3,3;1;1,6
Mill en Sint Hubert;7;64;4;36,6;1;9,1;Mill en Sint Hubert;11;100,6;7;64;1;9,1;Mill en Sint Hubert;-4;-36,6;-3;-27,4;0;0
Moerdijk;23;61,9;7;18,9;4;10,8;Moerdijk;15;40,4;5;13,5;1;2,7;Moerdijk;8;21,5;2;5,4;3;8,1
Molenlanden;34;77,4;9;20,5;2;4,6;Molenlanden;22;50,1;9;20,5;2;4,6;Molenlanden;12;27,3;0;0;0;0
Montferland;19;52,8;8;22,2;2;5,6;Montferland;12;33,3;10;27,8;2;5,6;Montferland;7;19,5;-2;-5,6;0;0
Montfoort;22;158,1;5;35,9;4;28,7;Montfoort;18;129,3;10;71,9;2;14,4;Montfoort;4;28,8;-5;-36;2;14,3
Mook en Middelaar;12;152,9;2;25,5;2;25,5;Mook en Middelaar;14;178,4;2;25,5;1;12,7;Mook en Middelaar;-2;-25,5;0;0;1;12,8
Neder-Betuwe;42;172,6;18;74;8;32,9;Neder-Betuwe;37;152;23;94,5;7;28,8;Neder-Betuwe;5;20,6;-5;-20,5;1;4,1
Nederweert;17;99,9;10;58,8;4;23,5;Nederweert;25;146,9;17;99,9;2;11,8;Nederweert;-8;-47;-7;-41,1;2;11,7
Nieuwegein;43;67,8;23;36,2;7;11;Nieuwegein;34;53,6;17;26,8;1;1,6;Nieuwegein;9;14,2;6;9,4;6;9,4
Nieuwkoop;20;69,4;6;20,8;3;10,4;Nieuwkoop;14;48,6;5;17,4;1;3,5;Nieuwkoop;6;20,8;1;3,4;2;6,9
Nijkerk;28;64,9;15;34,7;1;2,3;Nijkerk;23;53,3;13;30,1;2;4,6;Nijkerk;5;11,6;2;4,6;-1;-2,3
Nijmegen;223;125,5;65;36,6;26;14,6;Nijmegen;199;112;76;42,8;15;8,4;Nijmegen;24;13,5;-11;-6,2;11;6,2
Nissewaard;60;70,4;26;30,5;3;3,5;Nissewaard;42;49,3;22;25,8;5;5,9;Nissewaard;18;21,1;4;4,7;-2;-2,4
Noardeast-FryslÃ¢n;4;8,8;2;4,4;2;4,4;Noardeast-Fryslân;6;13,3;3;6,6;2;4,4;Noardeast-Fryslân;-2;-4,5;-1;-2,2;0;0
Noord-Beveland;2;27,1;0;0;0;0;Noord-Beveland;2;27,1;0;0;0;0;Noord-Beveland;0;0;0;0;0;0
Noordenveld;7;22,4;2;6,4;0;0;Noordenveld;5;16;0;0;0;0;Noordenveld;2;6,4;2;6,4;0;0
Noordoostpolder;14;29,6;3;6,3;3;6,3;Noordoostpolder;11;23,3;8;16,9;2;4,2;Noordoostpolder;3;6,3;-5;-10,6;1;2,1
Noordwijk;15;34,5;5;11,5;1;2,3;Noordwijk;15;34,5;8;18,4;0;0;Noordwijk;0;0;-3;-6,9;1;2,3
Nuenen, Gerwen en Nederwetten;11;47;6;25,7;2;8,6;Nuenen, Gerwen en Nederwetten;17;72,7;10;42,8;3;12,8;Nuenen, Gerwen en Nederwetten;-6;-25,7;-4;-17,1;-1;-4,2
Nunspeet;55;197,5;22;79;8;28,7;Nunspeet;62;222,6;33;118,5;6;21,5;Nunspeet;-7;-25,1;-11;-39,5;2;7,2
Oegstgeest;10;40,3;3;12,1;1;4;Oegstgeest;13;52,3;2;8,1;1;4;Oegstgeest;-3;-12;1;4;0;0
Oirschot;25;133,6;7;37,4;3;16;Oirschot;20;106,9;8;42,7;2;10,7;Oirschot;5;26,7;-1;-5,3;1;5,3
Oisterwijk;19;72,4;9;34,3;7;26,7;Oisterwijk;19;72,4;9;34,3;7;26,7;Oisterwijk;0;0;0;0;0;0
Oldambt;4;10,5;2;5,2;0;0;Oldambt;3;7,9;1;2,6;0;0;Oldambt;1;2,6;1;2,6;0;0
Oldebroek;50;211,5;22;93;7;29,6;Oldebroek;32;135,3;18;76,1;6;25,4;Oldebroek;18;76,2;4;16,9;1;4,2
Oldenzaal;15;47,1;7;22;5;15,7;Oldenzaal;19;59,7;7;22;5;15,7;Oldenzaal;-4;-12,6;0;0;0;0
Olst-Wijhe;16;87,7;6;32,9;3;16,4;Olst-Wijhe;12;65,7;6;32,9;3;16,4;Olst-Wijhe;4;22;0;0;0;0
Ommen;19;105,5;4;22,2;2;11,1;Ommen;9;50;5;27,8;0;0;Ommen;10;55,5;-1;-5,6;2;11,1
Oost Gelre;18;60,8;6;20,3;3;10,1;Oost Gelre;16;54;4;13,5;2;6,8;Oost Gelre;2;6,8;2;6,8;1;3,3
Oosterhout;36;64,3;20;35,7;7;12,5;Oosterhout;36;64,3;24;42,9;4;7,1;Oosterhout;0;0;-4;-7,2;3;5,4
Ooststellingwerf;1;3,9;0;0;0;0;Ooststellingwerf;1;3,9;2;7,9;0;0;Ooststellingwerf;0;0;-2;-7,9;0;0
Oostzaan;11;113;6;61,6;0;0;Oostzaan;9;92,4;4;41,1;0;0;Oostzaan;2;20,6;2;20,5;0;0
Opmeer;3;25,3;0;0;0;0;Opmeer;3;25,3;1;8,4;0;0;Opmeer;0;0;-1;-8,4;0;0
Opsterland;7;23,5;3;10,1;0;0;Opsterland;6;20,2;3;10,1;0;0;Opsterland;1;3,3;0;0;0;0
Oss;174;189,3;66;71,8;53;57,7;Oss;187;203,4;100;108,8;35;38,1;Oss;-13;-14,1;-34;-37;18;19,6
Oude IJsselstreek;24;60,9;11;27,9;4;10,2;Oude IJsselstreek;13;33;5;12,7;1;2,5;Oude IJsselstreek;11;27,9;6;15,2;3;7,7
Ouder-Amstel;8;57;3;21,4;0;0;Ouder-Amstel;10;71,3;3;21,4;0;0;Ouder-Amstel;-2;-14,3;0;0;0;0
Oudewater;26;254,2;10;97,8;4;39,1;Oudewater;27;263,9;18;176;5;48,9;Oudewater;-1;-9,7;-8;-78,2;-1;-9,8
Overbetuwe;38;79,3;21;43,8;8;16,7;Overbetuwe;56;116,9;32;66,8;7;14,6;Overbetuwe;-18;-37,6;-11;-23;1;2,1
Papendrecht;14;43,6;6;18,7;2;6,2;Papendrecht;8;24,9;3;9,3;0;0;Papendrecht;6;18,7;3;9,4;2;6,2
Peel en Maas;100;230,3;56;129;31;71,4;Peel en Maas;120;276,3;93;214,2;37;85,2;Peel en Maas;-20;-46;-37;-85,2;-6;-13,8
Pekela;2;16,4;2;16,4;0;0;Pekela;3;24,6;3;24,6;0;0;Pekela;-1;-8,2;-1;-8,2;0;0
Pijnacker-Nootdorp;26;47;10;18,1;5;9;Pijnacker-Nootdorp;19;34,4;10;18,1;2;3,6;Pijnacker-Nootdorp;7;12,6;0;0;3;5,4
Purmerend;74;91,1;31;38,2;9;11,1;Purmerend;66;81,2;41;50,5;4;4,9;Purmerend;8;9,9;-10;-12,3;5;6,2
Putten;10;41,5;4;16,6;0;0;Putten;8;33,2;4;16,6;0;0;Putten;2;8,3;0;0;0;0
Raalte;29;76,9;9;23,9;7;18,6;Raalte;23;61;15;39,8;5;13,3;Raalte;6;15,9;-6;-15,9;2;5,3
Reimerswaal;5;22;0;0;1;4,4;Reimerswaal;4;17,6;1;4,4;2;8,8;Reimerswaal;1;4,4;-1;-4,4;-1;-4,4
Renkum;19;60,5;8;25,5;0;0;Renkum;14;44,6;9;28,6;0;0;Renkum;5;15,9;-1;-3,1;0;0
Renswoude;8;147;4;73,5;2;36,7;Renswoude;1;18,4;1;18,4;0;0;Renswoude;7;128,6;3;55,1;2;36,7
Reusel-De Mierden;8;61;5;38,1;0;0;Reusel-De Mierden;9;68,6;4;30,5;0;0;Reusel-De Mierden;-1;-7,6;1;7,6;0;0
Rheden;32;73,1;19;43,4;11;25,1;Rheden;32;73,1;24;54,8;7;16;Rheden;0;0;-5;-11,4;4;9,1
Rhenen;10;49,7;4;19,9;1;5;Rhenen;8;39,8;3;14,9;0;0;Rhenen;2;9,9;1;5;1;5
Ridderkerk;52;112,6;21;45,5;7;15,2;Ridderkerk;41;88,8;23;49,8;4;8,7;Ridderkerk;11;23,8;-2;-4,3;3;6,5
Rijssen-Holten;48;125,7;17;44,5;1;2,6;Rijssen-Holten;27;70,7;10;26,2;0;0;Rijssen-Holten;21;55;7;18,3;1;2,6
Rijswijk (ZH.);28;51,4;9;16,5;6;11;Rijswijk (ZH.);19;34,9;12;22;1;1,8;Rijswijk (ZH.);9;16,5;-3;-5,5;5;9,2
Roerdalen;22;106,9;16;77,8;5;24,3;Roerdalen;24;116,7;17;82,6;2;9,7;Roerdalen;-2;-9,8;-1;-4,8;3;14,6
Roermond;50;85,8;28;48,1;10;17,2;Roermond;45;77,2;34;58,4;7;12;Roermond;5;8,6;-6;-10,3;3;5,2
Roosendaal;60;77,7;6;7,8;7;9,1;Roosendaal;23;29,8;13;16,8;2;2,6;Roosendaal;37;47,9;-7;-9;5;6,5
Rotterdam;706;108,4;207;31,8;62;9,5;Rotterdam;403;61,9;173;26,6;17;2,6;Rotterdam;303;46,5;34;5,2;45;6,9
Rozendaal;0;0;0;0;0;0;Rozendaal;0;0;0;0;0;0;Rozendaal;0;0;0;0;0;0
Rucphen;17;74,3;2;8,7;6;26,2;Rucphen;11;48,1;4;17,5;2;8,7;Rucphen;6;26,2;-2;-8,8;4;17,5
Schagen;34;73,1;10;21,5;3;6,5;Schagen;16;34,4;9;19,4;1;2,2;Schagen;18;38,7;1;2,1;2;4,3
Scherpenzeel;10;101,2;2;20,2;1;10,1;Scherpenzeel;6;60,7;0;0;0;0;Scherpenzeel;4;40,5;2;20,2;1;10,1
Schiedam;48;61;21;26,7;4;5,1;Schiedam;36;45,7;21;26,7;3;3,8;Schiedam;12;15,3;0;0;1;1,3
Schiermonnikoog;0;0;0;0;0;0;Schiermonnikoog;0;0;0;0;0;0;Schiermonnikoog;0;0;0;0;0;0
Schouwen-Duiveland;14;41,4;4;11,8;0;0;Schouwen-Duiveland;14;41,4;5;14,8;0;0;Schouwen-Duiveland;0;0;-1;-3;0;0
Simpelveld;18;170,5;12;113,7;3;28,4;Simpelveld;13;123,2;12;113,7;1;9,5;Simpelveld;5;47,3;0;0;2;18,9
Sint Anthonis;34;291,5;6;51,4;6;51,4;Sint Anthonis;27;231,5;8;68,6;7;60;Sint Anthonis;7;60;-2;-17,2;-1;-8,6
Sint-Michielsgestel;31;106,1;9;30,8;6;20,5;Sint-Michielsgestel;28;95,9;8;27,4;5;17,1;Sint-Michielsgestel;3;10,2;1;3,4;1;3,4
Sittard-Geleen;91;98,5;42;45,4;17;18,4;Sittard-Geleen;79;85,5;48;51,9;18;19,5;Sittard-Geleen;12;13;-6;-6,5;-1;-1,1
Sliedrecht;16;63,4;5;19,8;2;7,9;Sliedrecht;8;31,7;5;19,8;2;7,9;Sliedrecht;8;31,7;0;0;0;0
Sluis;7;30,2;3;12,9;2;8,6;Sluis;6;25,9;1;4,3;3;12,9;Sluis;1;4,3;2;8,6;-1;-4,3
Smallingerland;12;21,4;3;5,3;1;1,8;Smallingerland;7;12,5;3;5,3;1;1,8;Smallingerland;5;8,9;0;0;0;0
Soest;31;66,5;9;19,3;5;10,7;Soest;21;45,1;13;27,9;2;4,3;Soest;10;21,4;-4;-8,6;3;6,4
Someren;37;191;15;77,4;2;10,3;Someren;33;170,4;17;87,8;1;5,2;Someren;4;20,6;-2;-10,4;1;5,1
Son en Breugel;25;144,3;10;57,7;2;11,5;Son en Breugel;22;127;17;98,1;1;5,8;Son en Breugel;3;17,3;-7;-40,4;1;5,7
Stadskanaal;2;6,3;2;6,3;0;0;Stadskanaal;1;3,2;1;3,2;0;0;Stadskanaal;1;3,1;1;3,1;0;0
Staphorst;21;122,5;5;29,2;2;11,7;Staphorst;5;29,2;4;23,3;1;5,8;Staphorst;16;93,3;1;5,9;1;5,9
Stede Broec;19;87,5;9;41,4;3;13,8;Stede Broec;19;87,5;12;55,2;2;9,2;Stede Broec;0;0;-3;-13,8;1;4,6
Steenbergen;20;81,9;5;20,5;4;16,4;Steenbergen;17;69,6;7;28,7;1;4,1;Steenbergen;3;12,3;-2;-8,2;3;12,3
Steenwijkerland;18;40,8;5;11,3;2;4,5;Steenwijkerland;12;27,2;7;15,9;0;0;Steenwijkerland;6;13,6;-2;-4,6;2;4,5
Stein (L.);38;152;17;68;7;28;Stein (L.);32;128;26;104;7;28;Stein (L.);6;24;-9;-36;0;0
Stichtse Vecht;31;47,7;15;23,1;4;6,2;Stichtse Vecht;30;46,2;19;29,3;4;6,2;Stichtse Vecht;1;1,5;-4;-6,2;0;0
SÃºdwest-FryslÃ¢n;36;40;9;10;3;3,3;Súdwest-Fryslân;24;26,7;13;14,4;1;1,1;Súdwest-Fryslân;12;13,3;-4;-4,4;2;2,2
Terneuzen;43;79;11;20,2;1;1,8;Terneuzen;25;45,9;11;20,2;1;1,8;Terneuzen;18;33,1;0;0;0;0
Terschelling;1;20,5;0;0;0;0;Terschelling;0;0;0;0;0;0;Terschelling;1;20,5;0;0;0;0
Texel;5;36,8;4;29,5;1;7,4;Texel;4;29,5;1;7,4;1;7,4;Texel;1;7,3;3;22,1;0;0
Teylingen;18;48,1;8;21,4;0;0;Teylingen;15;40,1;6;16;0;0;Teylingen;3;8;2;5,4;0;0
Tholen;66;256,2;17;66;11;42,7;Tholen;42;163,1;26;100,9;7;27,2;Tholen;24;93,1;-9;-34,9;4;15,5
Tiel;31;73,5;18;42,7;7;16,6;Tiel;30;71,2;18;42,7;4;9,5;Tiel;1;2,3;0;0;3;7,1
Tilburg;186;84,6;79;35,9;64;29,1;Tilburg;259;117,8;125;56,9;61;27,8;Tilburg;-73;-33,2;-46;-21;3;1,3
Tubbergen;46;216,2;5;23,5;2;9,4;Tubbergen;13;61,1;7;32,9;0;0;Tubbergen;33;155,1;-2;-9,4;2;9,4
Twenterand;19;56,3;6;17,8;1;3;Twenterand;9;26,7;7;20,7;0;0;Twenterand;10;29,6;-1;-2,9;1;3
Tynaarlo;15;44,3;4;11,8;0;0;Tynaarlo;18;53,1;6;17,7;0;0;Tynaarlo;-3;-8,8;-2;-5,9;0;0
Tytsjerksteradiel;10;31,2;4;12,5;1;3,1;Tytsjerksteradiel;5;15,6;3;9,4;0;0;Tytsjerksteradiel;5;15,6;1;3,1;1;3,1
Uden;86;204,2;37;87,8;36;85,5;Uden;110;261,2;57;135,3;30;71,2;Uden;-24;-57;-20;-47,5;6;14,3
Uitgeest;10;73,2;1;7,3;1;7,3;Uitgeest;9;65,9;3;22;1;7,3;Uitgeest;1;7,3;-2;-14,7;0;0
Uithoorn;19;64,5;7;23,7;1;3,4;Uithoorn;17;57,7;8;27,1;0;0;Uithoorn;2;6,8;-1;-3,4;1;3,4
Urk;20;95,1;12;57,1;3;14,3;Urk;16;76,1;10;47,5;2;9,5;Urk;4;19;2;9,6;1;4,8
Utrecht (gemeente);262;73,3;105;29,4;31;8,7;Utrecht (gemeente);277;77,5;105;29,4;22;6,2;Utrecht (gemeente);-15;-4,2;0;0;9;2,5
Utrechtse Heuvelrug;38;76,6;15;30,3;5;10,1;Utrechtse Heuvelrug;31;62,5;12;24,2;2;4;Utrechtse Heuvelrug;7;14,1;3;6,1;3;6,1
Vaals;11;108,9;4;39,6;1;9,9;Vaals;9;89,1;8;79,2;1;9,9;Vaals;2;19,8;-4;-39,6;0;0
Valkenburg aan de Geul;35;213,8;11;67,2;3;18,3;Valkenburg aan de Geul;13;79,4;7;42,8;0;0;Valkenburg aan de Geul;22;134,4;4;24,4;3;18,3
Valkenswaard;71;227,6;9;28,9;18;57,7;Valkenswaard;48;153,9;12;38,5;5;16;Valkenswaard;23;73,7;-3;-9,6;13;41,7
Veendam;4;14,6;1;3,7;0;0;Veendam;5;18,3;1;3,7;0;0;Veendam;-1;-3,7;0;0;0;0
Veenendaal;46;69,2;19;28,6;5;7,5;Veenendaal;21;31,6;12;18;3;4,5;Veenendaal;25;37,6;7;10,6;2;3
Veere;11;50,3;3;13,7;0;0;Veere;11;50,3;3;13,7;1;4,6;Veere;0;0;0;0;-1;-4,6
Veldhoven;35;77;15;33;11;24,2;Veldhoven;35;77;18;39,6;7;15,4;Veldhoven;0;0;-3;-6,6;4;8,8
Velsen;111;161,7;13;18,9;12;17,5;Velsen;47;68,5;16;23,3;2;2,9;Velsen;64;93,2;-3;-4,4;10;14,6
Venlo;109;107,1;65;63,8;30;29,5;Venlo;95;93,3;69;67,8;16;15,7;Venlo;14;13,8;-4;-4;14;13,8
Venray;42;96,3;17;39;9;20,6;Venray;41;94;20;45,9;6;13,8;Venray;1;2,3;-3;-6,9;3;6,8
Vijfheerenlanden;90;158,4;15;26,4;18;31,7;Vijfheerenlanden;55;96,8;14;24,6;6;10,6;Vijfheerenlanden;35;61,6;1;1,8;12;21,1
Vlaardingen;66;89,9;19;25,9;10;13,6;Vlaardingen;46;62,7;14;19,1;2;2,7;Vlaardingen;20;27,2;5;6,8;8;10,9
Vlieland;0;0;0;0;0;0;Vlieland;0;0;0;0;0;0;Vlieland;0;0;0;0;0;0
Vlissingen;30;67,6;4;9;3;6,8;Vlissingen;14;31,6;5;11,3;2;4,5;Vlissingen;16;36;-1;-2,3;1;2,3
Voerendaal;16;128,3;8;64,1;4;32,1;Voerendaal;11;88,2;6;48,1;1;8;Voerendaal;5;40,1;2;16;3;24,1
Voorschoten;17;66,4;7;27,3;3;11,7;Voorschoten;12;46,9;5;19,5;1;3,9;Voorschoten;5;19,5;2;7,8;2;7,8
Voorst;23;93,7;12;48,9;5;20,4;Voorst;23;93,7;12;48,9;2;8,1;Voorst;0;0;0;0;3;12,3
Vught;37;139,3;17;64;9;33,9;Vught;36;135,6;20;75,3;6;22,6;Vught;1;3,7;-3;-11,3;3;11,3
Waadhoeke;42;91,1;5;10,8;2;4,3;Waadhoeke;10;21,7;4;8,7;0;0;Waadhoeke;32;69,4;1;2,1;2;4,3
Waalre;15;85,9;4;22,9;3;17,2;Waalre;12;68,7;3;17,2;0;0;Waalre;3;17,2;1;5,7;3;17,2
Waalwijk;36;74;11;22,6;15;30,8;Waalwijk;51;104,9;19;39,1;17;35;Waalwijk;-15;-30,9;-8;-16,5;-2;-4,2
Waddinxveen;23;78,5;10;34,1;3;10,2;Waddinxveen;12;41;6;20,5;1;3,4;Waddinxveen;11;37,5;4;13,6;2;6,8
Wageningen;14;35,3;7;17,6;5;12,6;Wageningen;9;22,7;6;15,1;2;5;Wageningen;5;12,6;1;2,5;3;7,6
Wassenaar;12;45,6;3;11,4;3;11,4;Wassenaar;4;15,2;2;7,6;0;0;Wassenaar;8;30,4;1;3,8;3;11,4
Waterland;8;45,9;7;40,2;1;5,7;Waterland;10;57,4;8;45,9;1;5,7;Waterland;-2;-11,5;-1;-5,7;0;0
Weert;62;123,7;35;69,9;7;14;Weert;53;105,8;35;69,9;4;8;Weert;9;17,9;0;0;3;6
Weesp;16;81,1;5;25,3;1;5,1;Weesp;15;76;3;15,2;1;5,1;Weesp;1;5,1;2;10,1;0;0
West Betuwe;67;131;21;41,1;7;13,7;West Betuwe;40;78,2;17;33,2;2;3,9;West Betuwe;27;52,8;4;7,9;5;9,8
West Maas en Waal;24;124,2;4;20,7;2;10,3;West Maas en Waal;16;82,8;9;46,6;2;10,3;West Maas en Waal;8;41,4;-5;-25,9;0;0
Westerkwartier;28;44,2;7;11,1;1;1,6;Westerkwartier;22;34,7;9;14,2;1;1,6;Westerkwartier;6;9,5;-2;-3,1;0;0
Westerveld;18;92,5;4;20,6;0;0;Westerveld;9;46,2;2;10,3;1;5,1;Westerveld;9;46,3;2;10,3;-1;-5,1
Westervoort;9;60,1;8;53,4;1;6,7;Westervoort;7;46,8;4;26,7;1;6,7;Westervoort;2;13,3;4;26,7;0;0
Westerwolde;2;7,8;2;7,8;0;0;Westerwolde;4;15,5;4;15,5;0;0;Westerwolde;-2;-7,7;-2;-7,7;0;0
Westland;81;73,4;27;24,5;10;9,1;Westland;56;50,7;24;21,7;4;3,6;Westland;25;22,7;3;2,8;6;5,5
Weststellingwerf;4;15,4;0;0;1;3,9;Weststellingwerf;3;11,6;2;7,7;1;3,9;Weststellingwerf;1;3,8;-2;-7,7;0;0
Westvoorne;12;81,5;2;13,6;0;0;Westvoorne;9;61,1;4;27,2;0;0;Westvoorne;3;20,4;-2;-13,6;0;0
Wierden;17;69,5;4;16,4;3;12,3;Wierden;14;57,3;3;12,3;2;8,2;Wierden;3;12,2;1;4,1;1;4,1
Wijchen;38;92,4;15;36,5;5;12,2;Wijchen;43;104,6;24;58,4;6;14,6;Wijchen;-5;-12,2;-9;-21,9;-1;-2,4
Wijdemeren;10;41,1;5;20,5;0;0;Wijdemeren;7;28,7;5;20,5;0;0;Wijdemeren;3;12,4;0;0;0;0
Wijk bij Duurstede;8;33,5;4;16,7;0;0;Wijk bij Duurstede;8;33,5;4;16,7;0;0;Wijk bij Duurstede;0;0;0;0;0;0
Winterswijk;7;24,3;4;13,9;0;0;Winterswijk;5;17,3;2;6,9;0;0;Winterswijk;2;7;2;7;0;0
Woensdrecht;8;36,6;1;4,6;0;0;Woensdrecht;7;32;4;18,3;0;0;Woensdrecht;1;4,6;-3;-13,7;0;0
Woerden;55;105,2;24;45,9;10;19,1;Woerden;46;88;29;55,5;4;7,6;Woerden;9;17,2;-5;-9,6;6;11,5
Wormerland;19;116,8;10;61,5;2;12,3;Wormerland;13;79,9;12;73,8;3;18,4;Wormerland;6;36,9;-2;-12,3;-1;-6,1
Woudenberg;11;82,3;6;44,9;0;0;Woudenberg;8;59,9;3;22,5;0;0;Woudenberg;3;22,4;3;22,4;0;0
Zaanstad;139;88,7;62;39,5;14;8,9;Zaanstad;84;53,6;58;37;9;5,7;Zaanstad;55;35,1;4;2,5;5;3,2
Zaltbommel;22;76,2;10;34,6;4;13,8;Zaltbommel;16;55,4;8;27,7;2;6,9;Zaltbommel;6;20,8;2;6,9;2;6,9
Zandvoort;17;99,3;4;23,4;3;17,5;Zandvoort;9;52,6;5;29,2;3;17,5;Zandvoort;8;46,7;-1;-5,8;0;0
Zeewolde;10;44,1;5;22,1;0;0;Zeewolde;8;35,3;6;26,5;0;0;Zeewolde;2;8,8;-1;-4,4;0;0
Zeist;49;75,5;20;30,8;8;12,3;Zeist;44;67,8;19;29,3;2;3,1;Zeist;5;7,7;1;1,5;6;9,2
Zevenaar;31;70,9;19;43,4;2;4,6;Zevenaar;24;54,9;24;54,9;2;4,6;Zevenaar;7;16;-5;-11,5;0;0
Zoetermeer;53;42,3;22;17,6;1;0,8;Zoetermeer;38;30,3;25;20;2;1,6;Zoetermeer;15;12;-3;-2,4;-1;-0,8
Zoeterwoude;5;58,1;1;11,6;0;0;Zoeterwoude;3;34,9;2;23,2;0;0;Zoeterwoude;2;23,2;-1;-11,6;0;0
Zuidplas;41;93,4;10;22,8;4;9,1;Zuidplas;26;59,2;14;31,9;2;4,6;Zuidplas;15;34,2;-4;-9,1;2;4,5
Zundert;22;100,8;3;13,7;3;13,7;Zundert;22;100,8;7;32,1;4;18,3;Zundert;0;0;-4;-18,4;-1;-4,6
Zutphen;27;56,3;13;27,1;8;16,7;Zutphen;20;41,7;11;22,9;3;6,3;Zutphen;7;14,6;2;4,2;5;10,4
Zwartewaterland;43;189,6;15;66,1;9;39,7;Zwartewaterland;43;189,6;19;83,8;8;35,3;Zwartewaterland;0;0;-4;-17,7;1;4,4
Zwijndrecht;23;51,4;5;11,2;2;4,5;Zwijndrecht;14;31,3;8;17,9;2;4,5;Zwijndrecht;9;20,1;-3;-6,7;0;0
Zwolle;121;93,9;31;24,1;18;14;Zwolle;93;72,2;33;25,6;14;10,9;Zwolle;28;21,7;-2;-1,5;4;3,1
