Date_of_report;Municipality_code;Municipality_name;Province;Total_reported;Hospital_admission;Deceased
13-3-2020 10:00;GM0003;Appingedam;Groningen;0;0;0
14-3-2020 10:00;GM0003;Appingedam;Groningen;0;0;0
15-3-2020 10:00;GM0003;Appingedam;Groningen;0;0;0
16-3-2020 10:00;GM0003;Appingedam;Groningen;0;0;0
17-3-2020 10:00;GM0003;Appingedam;Groningen;0;0;0
18-3-2020 10:00;GM0003;Appingedam;Groningen;0;0;0
19-3-2020 10:00;GM0003;Appingedam;Groningen;0;0;0
20-3-2020 10:00;GM0003;Appingedam;Groningen;0;0;0
21-3-2020 10:00;GM0003;Appingedam;Groningen;0;0;0
22-3-2020 10:00;GM0003;Appingedam;Groningen;0;0;0
23-3-2020 10:00;GM0003;Appingedam;Groningen;0;0;0
24-3-2020 10:00;GM0003;Appingedam;Groningen;0;0;0
25-3-2020 10:00;GM0003;Appingedam;Groningen;0;0;0
26-3-2020 10:00;GM0003;Appingedam;Groningen;0;0;0
27-3-2020 10:00;GM0003;Appingedam;Groningen;1;0;0
28-3-2020 10:00;GM0003;Appingedam;Groningen;1;1;0
29-3-2020 10:00;GM0003;Appingedam;Groningen;1;1;0
30-3-2020 10:00;GM0003;Appingedam;Groningen;1;1;0
31-3-2020 10:00;GM0003;Appingedam;Groningen;1;1;0
13-3-2020 10:00;GM0010;Delfzijl;Groningen;0;0;0
14-3-2020 10:00;GM0010;Delfzijl;Groningen;0;0;0
15-3-2020 10:00;GM0010;Delfzijl;Groningen;0;0;0
16-3-2020 10:00;GM0010;Delfzijl;Groningen;0;0;0
17-3-2020 10:00;GM0010;Delfzijl;Groningen;0;0;0
18-3-2020 10:00;GM0010;Delfzijl;Groningen;0;0;0
19-3-2020 10:00;GM0010;Delfzijl;Groningen;0;0;0
20-3-2020 10:00;GM0010;Delfzijl;Groningen;0;0;0
21-3-2020 10:00;GM0010;Delfzijl;Groningen;0;0;0
22-3-2020 10:00;GM0010;Delfzijl;Groningen;0;0;0
23-3-2020 10:00;GM0010;Delfzijl;Groningen;1;0;0
24-3-2020 10:00;GM0010;Delfzijl;Groningen;1;0;0
25-3-2020 10:00;GM0010;Delfzijl;Groningen;1;0;0
26-3-2020 10:00;GM0010;Delfzijl;Groningen;2;0;0
27-3-2020 10:00;GM0010;Delfzijl;Groningen;4;0;0
28-3-2020 10:00;GM0010;Delfzijl;Groningen;7;3;0
29-3-2020 10:00;GM0010;Delfzijl;Groningen;7;3;0
30-3-2020 10:00;GM0010;Delfzijl;Groningen;7;3;0
31-3-2020 10:00;GM0010;Delfzijl;Groningen;8;4;0
13-3-2020 10:00;GM0014;Groningen;Groningen;3;0;0
14-3-2020 10:00;GM0014;Groningen;Groningen;3;0;0
15-3-2020 10:00;GM0014;Groningen;Groningen;6;0;0
16-3-2020 10:00;GM0014;Groningen;Groningen;7;0;0
17-3-2020 10:00;GM0014;Groningen;Groningen;7;0;0
18-3-2020 10:00;GM0014;Groningen;Groningen;11;0;0
19-3-2020 10:00;GM0014;Groningen;Groningen;23;1;0
20-3-2020 10:00;GM0014;Groningen;Groningen;34;1;0
21-3-2020 10:00;GM0014;Groningen;Groningen;39;1;0
22-3-2020 10:00;GM0014;Groningen;Groningen;46;1;0
23-3-2020 10:00;GM0014;Groningen;Groningen;53;1;0
24-3-2020 10:00;GM0014;Groningen;Groningen;53;1;0
25-3-2020 10:00;GM0014;Groningen;Groningen;59;1;0
26-3-2020 10:00;GM0014;Groningen;Groningen;77;6;0
27-3-2020 10:00;GM0014;Groningen;Groningen;81;7;0
28-3-2020 10:00;GM0014;Groningen;Groningen;85;7;0
29-3-2020 10:00;GM0014;Groningen;Groningen;87;8;0
30-3-2020 10:00;GM0014;Groningen;Groningen;88;8;0
31-3-2020 10:00;GM0014;Groningen;Groningen;92;9;1
13-3-2020 10:00;GM0024;Loppersum;Groningen;0;0;0
14-3-2020 10:00;GM0024;Loppersum;Groningen;0;0;0
15-3-2020 10:00;GM0024;Loppersum;Groningen;0;0;0
16-3-2020 10:00;GM0024;Loppersum;Groningen;0;0;0
17-3-2020 10:00;GM0024;Loppersum;Groningen;0;0;0
18-3-2020 10:00;GM0024;Loppersum;Groningen;0;0;0
19-3-2020 10:00;GM0024;Loppersum;Groningen;0;0;0
20-3-2020 10:00;GM0024;Loppersum;Groningen;0;0;0
21-3-2020 10:00;GM0024;Loppersum;Groningen;0;0;0
22-3-2020 10:00;GM0024;Loppersum;Groningen;0;0;0
23-3-2020 10:00;GM0024;Loppersum;Groningen;0;0;0
24-3-2020 10:00;GM0024;Loppersum;Groningen;0;0;0
25-3-2020 10:00;GM0024;Loppersum;Groningen;0;0;0
26-3-2020 10:00;GM0024;Loppersum;Groningen;1;0;0
27-3-2020 10:00;GM0024;Loppersum;Groningen;1;0;0
28-3-2020 10:00;GM0024;Loppersum;Groningen;1;0;0
29-3-2020 10:00;GM0024;Loppersum;Groningen;1;0;0
30-3-2020 10:00;GM0024;Loppersum;Groningen;1;0;0
31-3-2020 10:00;GM0024;Loppersum;Groningen;1;0;0
13-3-2020 10:00;GM0034;Almere;Flevoland;1;1;0
14-3-2020 10:00;GM0034;Almere;Flevoland;2;1;0
15-3-2020 10:00;GM0034;Almere;Flevoland;2;1;0
16-3-2020 10:00;GM0034;Almere;Flevoland;3;2;0
17-3-2020 10:00;GM0034;Almere;Flevoland;3;2;0
18-3-2020 10:00;GM0034;Almere;Flevoland;4;3;0
19-3-2020 10:00;GM0034;Almere;Flevoland;5;4;0
20-3-2020 10:00;GM0034;Almere;Flevoland;12;4;0
21-3-2020 10:00;GM0034;Almere;Flevoland;12;8;0
22-3-2020 10:00;GM0034;Almere;Flevoland;15;10;0
23-3-2020 10:00;GM0034;Almere;Flevoland;19;11;0
24-3-2020 10:00;GM0034;Almere;Flevoland;22;11;0
25-3-2020 10:00;GM0034;Almere;Flevoland;29;18;0
26-3-2020 10:00;GM0034;Almere;Flevoland;33;19;0
27-3-2020 10:00;GM0034;Almere;Flevoland;40;21;0
28-3-2020 10:00;GM0034;Almere;Flevoland;49;27;0
29-3-2020 10:00;GM0034;Almere;Flevoland;58;33;0
30-3-2020 10:00;GM0034;Almere;Flevoland;61;36;0
31-3-2020 10:00;GM0034;Almere;Flevoland;74;46;1
13-3-2020 10:00;GM0037;Stadskanaal;Groningen;0;0;0
