Date_of_report;Municipality_code;Municipality_name;Province;Total_reported;Hospital_admission;Deceased
1-7-2020 10:00;GM0003;Appingedam;Groningen;5;3;0
2-7-2020 10:00;GM0003;Appingedam;Groningen;5;3;0
3-7-2020 10:00;GM0003;Appingedam;Groningen;5;3;0
4-7-2020 10:00;GM0003;Appingedam;Groningen;5;3;0
5-7-2020 10:00;GM0003;Appingedam;Groningen;5;3;0
6-7-2020 10:00;GM0003;Appingedam;Groningen;5;3;0
7-7-2020 10:00;GM0003;Appingedam;Groningen;5;3;0
8-7-2020 10:00;GM0003;Appingedam;Groningen;5;3;0
9-7-2020 10:00;GM0003;Appingedam;Groningen;5;3;0
10-7-2020 10:00;GM0003;Appingedam;Groningen;5;3;0
11-7-2020 10:00;GM0003;Appingedam;Groningen;5;3;0
12-7-2020 10:00;GM0003;Appingedam;Groningen;5;3;0
13-7-2020 10:00;GM0003;Appingedam;Groningen;5;3;0
14-7-2020 10:00;GM0003;Appingedam;Groningen;5;3;0
15-7-2020 10:00;GM0003;Appingedam;Groningen;5;3;0
16-7-2020 10:00;GM0003;Appingedam;Groningen;5;3;0
17-7-2020 10:00;GM0003;Appingedam;Groningen;5;3;0
18-7-2020 10:00;GM0003;Appingedam;Groningen;5;3;0
19-7-2020 10:00;GM0003;Appingedam;Groningen;5;3;0
20-7-2020 10:00;GM0003;Appingedam;Groningen;5;3;0
21-7-2020 10:00;GM0003;Appingedam;Groningen;5;3;0
22-7-2020 10:00;GM0003;Appingedam;Groningen;5;3;0
23-7-2020 10:00;GM0003;Appingedam;Groningen;5;3;0
24-7-2020 10:00;GM0003;Appingedam;Groningen;5;3;0
25-7-2020 10:00;GM0003;Appingedam;Groningen;5;3;0
26-7-2020 10:00;GM0003;Appingedam;Groningen;5;3;0
1-7-2020 10:00;GM0010;Delfzijl;Groningen;18;6;0
2-7-2020 10:00;GM0010;Delfzijl;Groningen;18;6;0
3-7-2020 10:00;GM0010;Delfzijl;Groningen;18;6;0
4-7-2020 10:00;GM0010;Delfzijl;Groningen;18;6;0
5-7-2020 10:00;GM0010;Delfzijl;Groningen;18;6;0
6-7-2020 10:00;GM0010;Delfzijl;Groningen;18;6;0
7-7-2020 10:00;GM0010;Delfzijl;Groningen;18;6;0
8-7-2020 10:00;GM0010;Delfzijl;Groningen;18;6;0
9-7-2020 10:00;GM0010;Delfzijl;Groningen;18;6;0
10-7-2020 10:00;GM0010;Delfzijl;Groningen;18;6;0
11-7-2020 10:00;GM0010;Delfzijl;Groningen;18;6;0
12-7-2020 10:00;GM0010;Delfzijl;Groningen;18;6;0
13-7-2020 10:00;GM0010;Delfzijl;Groningen;18;6;0
14-7-2020 10:00;GM0010;Delfzijl;Groningen;18;6;0
15-7-2020 10:00;GM0010;Delfzijl;Groningen;18;6;0
16-7-2020 10:00;GM0010;Delfzijl;Groningen;18;6;0
17-7-2020 10:00;GM0010;Delfzijl;Groningen;18;6;0
18-7-2020 10:00;GM0010;Delfzijl;Groningen;18;6;0
19-7-2020 10:00;GM0010;Delfzijl;Groningen;18;6;0
20-7-2020 10:00;GM0010;Delfzijl;Groningen;18;6;0
21-7-2020 10:00;GM0010;Delfzijl;Groningen;18;6;0
22-7-2020 10:00;GM0010;Delfzijl;Groningen;18;6;0
23-7-2020 10:00;GM0010;Delfzijl;Groningen;18;6;0
24-7-2020 10:00;GM0010;Delfzijl;Groningen;18;6;0
25-7-2020 10:00;GM0010;Delfzijl;Groningen;18;6;0
26-7-2020 10:00;GM0010;Delfzijl;Groningen;18;6;0
1-7-2020 10:00;GM0014;Groningen;Groningen;172;18;3
2-7-2020 10:00;GM0014;Groningen;Groningen;172;18;3
3-7-2020 10:00;GM0014;Groningen;Groningen;172;18;3
4-7-2020 10:00;GM0014;Groningen;Groningen;172;18;3
5-7-2020 10:00;GM0014;Groningen;Groningen;174;18;3
6-7-2020 10:00;GM0014;Groningen;Groningen;174;18;3
7-7-2020 10:00;GM0014;Groningen;Groningen;174;18;3
8-7-2020 10:00;GM0014;Groningen;Groningen;175;18;3
9-7-2020 10:00;GM0014;Groningen;Groningen;176;18;3
10-7-2020 10:00;GM0014;Groningen;Groningen;176;18;3
11-7-2020 10:00;GM0014;Groningen;Groningen;176;18;3
12-7-2020 10:00;GM0014;Groningen;Groningen;176;18;3
13-7-2020 10:00;GM0014;Groningen;Groningen;176;18;3
14-7-2020 10:00;GM0014;Groningen;Groningen;176;18;3
15-7-2020 10:00;GM0014;Groningen;Groningen;176;18;3
16-7-2020 10:00;GM0014;Groningen;Groningen;176;18;3
17-7-2020 10:00;GM0014;Groningen;Groningen;176;18;3
18-7-2020 10:00;GM0014;Groningen;Groningen;176;18;3
19-7-2020 10:00;GM0014;Groningen;Groningen;177;18;3
20-7-2020 10:00;GM0014;Groningen;Groningen;177;18;3
21-7-2020 10:00;GM0014;Groningen;Groningen;178;18;3
22-7-2020 10:00;GM0014;Groningen;Groningen;178;18;3
23-7-2020 10:00;GM0014;Groningen;Groningen;178;18;3
24-7-2020 10:00;GM0014;Groningen;Groningen;179;18;3
25-7-2020 10:00;GM0014;Groningen;Groningen;181;18;3
26-7-2020 10:00;GM0014;Groningen;Groningen;182;18;3
1-7-2020 10:00;GM0024;Loppersum;Groningen;2;0;0
2-7-2020 10:00;GM0024;Loppersum;Groningen;2;0;0
3-7-2020 10:00;GM0024;Loppersum;Groningen;2;0;0
4-7-2020 10:00;GM0024;Loppersum;Groningen;2;0;0
5-7-2020 10:00;GM0024;Loppersum;Groningen;2;0;0
6-7-2020 10:00;GM0024;Loppersum;Groningen;2;0;0
7-7-2020 10:00;GM0024;Loppersum;Groningen;2;0;0
8-7-2020 10:00;GM0024;Loppersum;Groningen;2;0;0
9-7-2020 10:00;GM0024;Loppersum;Groningen;2;0;0
10-7-2020 10:00;GM0024;Loppersum;Groningen;2;0;0
11-7-2020 10:00;GM0024;Loppersum;Groningen;2;0;0
12-7-2020 10:00;GM0024;Loppersum;Groningen;2;0;0
13-7-2020 10:00;GM0024;Loppersum;Groningen;2;0;0
14-7-2020 10:00;GM0024;Loppersum;Groningen;2;0;0
15-7-2020 10:00;GM0024;Loppersum;Groningen;2;0;0
16-7-2020 10:00;GM0024;Loppersum;Groningen;2;0;0
17-7-2020 10:00;GM0024;Loppersum;Groningen;2;0;0
18-7-2020 10:00;GM0024;Loppersum;Groningen;2;0;0
19-7-2020 10:00;GM0024;Loppersum;Groningen;2;0;0
20-7-2020 10:00;GM0024;Loppersum;Groningen;2;0;0
21-7-2020 10:00;GM0024;Loppersum;Groningen;2;0;0
22-7-2020 10:00;GM0024;Loppersum;Groningen;2;0;0
23-7-2020 10:00;GM0024;Loppersum;Groningen;2;0;0
24-7-2020 10:00;GM0024;Loppersum;Groningen;2;0;0
25-7-2020 10:00;GM0024;Loppersum;Groningen;2;0;0
26-7-2020 10:00;GM0024;Loppersum;Groningen;2;0;0
1-7-2020 10:00;GM0034;Almere;Flevoland;454;124;31
2-7-2020 10:00;GM0034;Almere;Flevoland;454;124;31
3-7-2020 10:00;GM0034;Almere;Flevoland;454;124;31
4-7-2020 10:00;GM0034;Almere;Flevoland;456;124;31
5-7-2020 10:00;GM0034;Almere;Flevoland;456;124;31
6-7-2020 10:00;GM0034;Almere;Flevoland;456;124;31
7-7-2020 10:00;GM0034;Almere;Flevoland;456;124;31
8-7-2020 10:00;GM0034;Almere;Flevoland;456;124;31
9-7-2020 10:00;GM0034;Almere;Flevoland;456;124;31
10-7-2020 10:00;GM0034;Almere;Flevoland;453;123;31
11-7-2020 10:00;GM0034;Almere;Flevoland;453;123;31
12-7-2020 10:00;GM0034;Almere;Flevoland;453;123;31
13-7-2020 10:00;GM0034;Almere;Flevoland;453;123;31
14-7-2020 10:00;GM0034;Almere;Flevoland;453;123;31
15-7-2020 10:00;GM0034;Almere;Flevoland;453;123;31
16-7-2020 10:00;GM0034;Almere;Flevoland;453;123;31
17-7-2020 10:00;GM0034;Almere;Flevoland;452;123;31
18-7-2020 10:00;GM0034;Almere;Flevoland;452;123;31
19-7-2020 10:00;GM0034;Almere;Flevoland;452;123;31
20-7-2020 10:00;GM0034;Almere;Flevoland;453;123;31
21-7-2020 10:00;GM0034;Almere;Flevoland;454;124;31
22-7-2020 10:00;GM0034;Almere;Flevoland;454;123;31
23-7-2020 10:00;GM0034;Almere;Flevoland;455;123;31
24-7-2020 10:00;GM0034;Almere;Flevoland;457;123;31
25-7-2020 10:00;GM0034;Almere;Flevoland;460;123;31
26-7-2020 10:00;GM0034;Almere;Flevoland;461;123;31
1-7-2020 10:00;GM0037;Stadskanaal;Groningen;9;2;2
2-7-2020 10:00;GM0037;Stadskanaal;Groningen;9;2;2
3-7-2020 10:00;GM0037;Stadskanaal;Groningen;9;2;2
4-7-2020 10:00;GM0037;Stadskanaal;Groningen;9;2;2
5-7-2020 10:00;GM0037;Stadskanaal;Groningen;9;2;2
